date	Facebook	Twitter	LinkedIn
20111001	72.1	46.5	62.3
20111002	58.9	44.2	79.7
20111003	62.1	67.5	50.6
20111004	75.6	72.6	83
20111005	55.2	64.4	77
20111006	57.8	75.7	61.1
20111007	80.3	59.5	82.4
20111008	55.8	79.5	76.7
20111009	77.2	73.5	34.2
20111010	97	26.2	63
20111011	92.7	39.2	75.9
20111012	92.1	33.4	32.7
20111013	74.9	55.8	76
20111014	96.1	71.1	36.5
20111015	80.3	77.7	60.9
20111016	92.2	25.5	65
20111017	68.4	70.6	43.9
20111018	83.1	44.8	37.1
20111019	75.5	61.3	51.3
20111020	84.6	62.4	37
20111021	68.2	62.2	61.5
20111022	80.2	47.2	65.8
20111023	90.6	47.6	40.3
20111024	55.3	24	86.6
20111025	82.8	52.6	80.5
20111026	96.9	62.3	52.2
20111027	59.6	61.8	81.6
20111028	52	30	76
20111029	50.9	28.8	49.9
20111030	53.4	58.1	78.3
20111031	68.1	22.6	33.4
20111101	83.9	42.2	76.8
20111102	74	34.1	87.9
20111103	61.1	59.5	28.9
20111104	94.7	66.8	37.6
20111105	89.2	54.4	39.3
20111106	74.7	75.1	42.1
20111107	84.6	43.1	67.2
20111108	91.4	45.3	78
20111109	97.3	59.7	43
20111110	53.9	52.2	28
20111111	59.7	44	83.5
20111112	75.9	76.5	78.2
20111113	59.3	64.3	55.6
20111114	75.1	45.3	29.9
20111115	93	24.6	32.6
20111116	61.9	31.4	52.9
20111117	73.1	59.1	78.1
20111118	96.8	24.1	25.7
20111119	68.5	75.5	25.1
20111120	51.8	76.7	84.9
20111121	76.9	37.7	58.8
20111122	82	32.9	84
20111123	84.8	79.3	72
20111124	67.6	28.5	29.9
20111125	87.2	31.8	63.7
20111126	56.4	39.7	75
20111127	99.1	64.9	38.5
20111128	93.8	65	86.7
20111129	55	74.3	84.9
20111130	92.9	20.9	68.4
20111201	53.2	25.7	31.2
20111202	59	69.6	56.6
20111203	66.9	58.4	41
