date	Facebook	Twitter	LinkedIn
20111001	74.5	40	86.8
20111002	85	25.4	70.3
20111003	99.7	27.3	27.3
20111004	98.4	28.9	41
20111005	96.2	78.3	71
20111006	98	20.1	78.7
20111007	87.5	26.9	29.7
20111008	79.6	42.1	86.8
20111009	66.6	40	77.5
20111010	51.4	58	38.1
20111011	93	49.6	32.8
20111012	78.6	22.1	71.8
20111013	98.8	41	54.5
20111014	67.5	38.7	46.1
20111015	69.2	52.6	75.8
20111016	60.9	71.2	41.1
20111017	72.8	20.3	61.8
20111018	76.6	62	69.5
20111019	82.9	30.3	75.9
20111020	85.7	75.8	67.5
20111021	89.1	65.4	60.2
20111022	87.2	36	81.5
20111023	65.5	77.7	38.4
20111024	51.3	78	65.4
20111025	71.8	41.7	30.3
20111026	62.3	38	80.9
20111027	75.6	73.5	26.9
20111028	58.8	32.7	88.9
20111029	98.5	56.7	63.6
20111030	77.3	76.5	26.8
20111031	50.5	33.1	57.8
20111101	70.5	62.8	41
20111102	78.6	48.5	67.1
20111103	84.3	66.1	44.9
20111104	69.6	20.6	79.3
20111105	86.5	40.9	60.7
20111106	58.3	29.8	25.5
20111107	58.1	44.2	29.9
20111108	55.8	71	68.8
20111109	65.6	28.4	62.8
20111110	74.5	55.5	72.2
20111111	98.2	59.9	39.3
20111112	89.1	31.7	86.3
20111113	65.4	41.7	84.6
20111114	85	65.1	77.4
20111115	62.6	64.8	82.6
20111116	59	73.7	55.1
20111117	75.9	75.5	45.4
20111118	98.4	50.7	85.4
20111119	58	76.2	53.1
20111120	78.3	42.1	83.6
20111121	72.2	53.2	53.9
20111122	78.8	38.1	73.5
20111123	61.1	42.2	29
20111124	85.5	77.1	60.2
20111125	61.4	33.9	61.5
20111126	51.5	33.3	40.8
20111127	97	39.2	67.9
20111128	59.3	73.3	48.1
20111129	97.6	47.9	65
20111130	83.6	24.3	68.1
20111201	98.2	50.9	45.5
20111202	71.4	49.9	84.3
20111203	92.4	67.7	45.2
20111204	64.1	65.7	57.8
20111205	71	20.3	26.5
20111206	51.6	79.6	62.9
20111207	92.6	26.7	63.8
20111208	60.6	59.9	30
20111209	92.5	22.7	31.9
20111210	90.5	47.3	62.6
20111211	52.9	35.9	32.5
20111212	74.7	41.3	33.5
20111213	64.5	52.1	76.7
20111214	55.2	49	43.8
20111215	77.6	46.2	29.5
20111216	73.8	36.3	28
20111217	98.8	48.5	59.1
20111218	92.5	79.4	54.7
20111219	55.3	68.8	28.2
20111220	72.1	67	31.2
20111221	58.8	78.3	51.8
20111222	95.1	60	67
20111223	64.1	22.5	44
20111224	87.9	30.4	42.3
20111225	82.6	35.7	52.7
20111226	54.6	55.8	60.4
20111227	68.7	78	83
20111228	99.7	21	35.2
20111229	63	37.6	73.2
20111230	78.7	52.6	62.5
20111231	88.7	29.2	53.2
20120101	79	49.4	52.9
20120102	57.8	39.4	77.6
20120103	94.7	43.5	46.5
20120104	58.7	62.1	63.1
20120105	72.2	24.8	46.9
20120106	57.7	23.6	62.7
20120107	66.4	34.7	44.9
20120108	59.4	70.4	33.4
20120109	58	31.5	78.1
20120110	85.4	70.1	54.7
20120111	98.3	61.5	55.5
20120112	90.7	68	85
20120113	55.2	31.4	67
20120114	50.6	39	51.9
20120115	53.2	63.5	34
20120116	65.1	49.2	45.6
20120117	55.6	40	35.7
20120118	86.8	35.2	78.2
20120119	56.6	69.2	69.2
20120120	94.6	45.8	57.5
20120121	56.8	27.4	29.2
20120122	94.8	65.1	53.4
20120123	64.4	61.4	58.2
20120124	96.5	50.7	44.3
20120125	70.8	54.2	73.8
20120126	67.4	55.9	34.1
20120127	68.1	30.2	85.5
20120128	93.1	80	83.7
20120129	82.1	71	74.5
20120130	70.2	26.2	76.7
20120131	62.7	67.9	42.5
20120201	80.7	40.3	28.9
20120202	81.5	74	74.4
20120203	54.5	79.4	80.3
20120204	52.2	51.3	79.5
20120205	91.8	35	36
20120206	99.9	44	63
20120207	76.3	69	32.1
20120208	68.2	25.5	39.2
20120209	77.4	56.6	80.7
