date	Facebook	Twitter	LinkedIn
20111001	79.9	67.9	85.3
20111002	90.1	79.1	42.6
20111003	85.8	41.6	89.3
20111004	98.2	43	25.6
20111005	84.9	39.7	75.8
20111006	64.2	45.3	53.1
20111007	85.2	37.1	38.3
20111008	84.7	34.7	56.1
20111009	58.2	33	33.3
20111010	54.2	56.5	41.5
20111011	55.5	75.6	46.8
20111012	75.4	51.9	67
20111013	73.4	39	53.3
20111014	92	73.4	68.1
20111015	68.5	34.9	45.6
20111016	52.2	66.9	39.4
20111017	87.1	75.4	25.3
20111018	73.8	62.3	47.8
20111019	86.1	77	25.8
20111020	93.2	73.9	26.9
20111021	84.5	55.1	60.3
20111022	94.3	43.1	34.2
20111023	96.9	67.1	33.3
20111024	75.3	52	42.4
20111025	63.4	23.7	61.2
20111026	74.1	34.3	43.3
20111027	53	37.6	38
20111028	83.8	79.2	88.2
20111029	79.4	77.2	28.7
20111030	57	45.2	36.8
20111031	81.3	46.8	34.5
20111101	52.8	30.2	35
20111102	80.4	49	29.9
20111103	50.8	24.7	31.1
20111104	95.9	62	82.5
20111105	62.4	24.5	34.1
20111106	52.4	76.8	58.5
20111107	86.7	38.2	40.4
20111108	85	77.3	58.6
20111109	67.5	38.4	64.7
20111110	54	38.7	77
20111111	73.4	40.5	80.6
20111112	98.1	75.9	62.9
20111113	82.7	27.6	77.6
20111114	63.1	49.1	79.7
20111115	69.5	56.5	72.3
20111116	59.1	47	81.8
20111117	98.7	52.7	54.9
20111118	61.2	64.7	79.4
20111119	50.1	79.1	64.4
20111120	78.3	27.8	46
20111121	55.4	76.8	81.7
20111122	81.1	69.1	49
20111123	92.6	73.4	32
20111124	90.8	79.2	54.1
20111125	96.5	64.9	72.7
20111126	91.4	27.9	46.3
20111127	55.8	59.1	60.4
20111128	94.6	47.2	81.7
20111129	79.6	55.6	31.5
20111130	94.2	63.1	34.5
20111201	78.6	59.3	37.3
20111202	63.7	37.6	51.6
20111203	69.4	54.7	29.5
20111204	60.3	36.8	80.8
20111205	72.3	66.2	56.5
20111206	62	76.9	38.7
20111207	85.6	21.6	67.4
20111208	77.5	75.1	55.4
20111209	81.7	55	71
20111210	81.3	66.1	56.3
20111211	83.5	36.5	46.8
20111212	86	21.1	33.6
20111213	90.9	73.5	60.5
20111214	81.2	60.6	42.1
20111215	90.8	21.4	79
20111216	76.8	67.9	68.5
20111217	96.9	79.9	34.8
20111218	52.3	63.8	76
20111219	75.1	61.4	58.8
20111220	77.7	20.7	81.9
20111221	78.1	37.3	31.6
20111222	80.9	25.5	81.8
20111223	68.8	39.9	30.9
20111224	52.5	39.4	35.6
20111225	81.4	55.1	78.8
20111226	88.6	75.3	86.3
20111227	74.9	54.1	81.1
20111228	86.9	69.6	25.6
20111229	53	68	88.1
20111230	71.7	59.8	27.3
20111231	79.6	24.5	44.8
20120101	88	34.2	72.4
20120102	88.8	41.6	37
20120103	66.2	35.4	53.5
20120104	95.6	24.9	40.8
20120105	71.1	34.3	28.9
20120106	77.9	75.5	81.9
20120107	63.1	65.1	48.8
20120108	63.1	45.1	42
20120109	59.3	49.5	29
20120110	65.6	73.4	50.1
20120111	98.2	69.7	38.4
20120112	81.1	56.4	77.1
20120113	70.4	68.1	79
20120114	60.6	30.1	33
20120115	93	64.4	79.4
20120116	95.6	47.9	53.3
20120117	67.3	76.8	60.5
20120118	60.3	65.9	33.1
20120119	70.3	29.2	57.4
20120120	69.2	65.9	79.7
20120121	95.5	59.8	45.1
20120122	70.5	58	61.6
20120123	69.6	44.3	73.6
20120124	57.3	45	88.9
20120125	83.2	37.9	45.5
20120126	94.4	38.9	70.7
20120127	88.9	60.3	88.2
20120128	65.7	61.7	86.7
20120129	79.6	57.1	79.5
20120130	65.3	72.2	75.7
20120131	75.3	52.5	87.5
20120201	64.1	79.3	26
20120202	55.5	36.5	59.2
20120203	97.5	54.9	47.6
20120204	91.8	50.3	28.8
20120205	82	55.7	49.7
20120206	91.8	46	59.1
20120207	82.3	77.8	59.9
20120208	83.9	70.8	49.2
20120209	60.2	23.2	31.2
20120210	80.3	24	83.8
20120211	52.5	52.1	76
20120212	71.2	47.2	60.9
20120213	84.5	49.9	70.3
20120214	63.2	44	84.3
20120215	90.6	73.3	56
20120216	89.9	22	66.5
20120217	74.8	53.7	25.4
20120218	83.7	21.5	59.9
20120219	55.9	52.8	28.8
20120220	59.5	34.6	55.4
20120221	56.8	38.4	67.3
20120222	76	29.7	82.9
20120223	56.5	25.7	29.2
20120224	50.5	33.2	35.3
20120225	89.7	61.4	73.8
20120226	66.6	55.6	84.1
20120227	88.5	26.4	64.3
20120228	77	22.1	34.5
20120229	74.6	24.3	45.5
20120301	64.4	65.6	81.1
20120302	71.3	41.3	76
20120303	89.5	52.8	44.6
20120304	70.8	35	78.2
20120305	62.5	50	37.7
20120306	99.7	67.9	62
20120307	92.8	30.2	64.1
20120308	92.4	52	55.6
20120309	78.5	77.9	35.5
20120310	91.8	71.8	63.3
