date	Facebook	Twitter	LinkedIn
20111001	63.4	62.7	72.2
20111002	98.0	99.9	67.7
20111003	93.3	99.1	69.4
20111004	95.7	98.8	68.0
20111005	64.2	98.7	72.4
20111006	98.8	97.0	77.0
20111007	97.9	96.7	82.3
20111008	61.8	96.8	78.9
20111009	69.3	96.7	68.8
20111010	71.2	60.1	68.7
20111011	68.7	61.1	70.3
20111012	61.8	61.5	75.3
20111013	63.0	64.3	76.6
20111014	66.9	67.1	66.6
20111015	61.7	64.6	68.0
20111016	61.8	61.6	70.6
20111017	62.8	61.1	71.1
20111018	60.8	99.2	70.0
20111019	62.1	98.9	61.6
20111020	65.1	97.2	97.4
20111021	95.6	96.4	64.3
20111022	94.4	60.7	72.4
20111023	94.4	65.1	72.4
20111024	94.8	60.9	72.5
20111025	97.9	96.1	72.7
20111026	94.6	94.6	73.4
20111027	94.4	96.1	70.7
20111028	42.5	98.1	96.8
20111029	40.9	97.5	91.0
20111030	38.6	97.7	94.9
20111031	44.2	95.1	98.8
20111101	49.6	97.9	62.6
20111102	47.2	64.6	71.0
20111103	90.1	96.2	98.4
20111104	90.1	90.5	45.1
20111105	43.5	91.3	92.2
20111106	43.8	92.6	73.0
20111107	48.9	91.4	75.4
20111108	95.5	90.6	72.1
20111109	93.7	94.6	96.6
20111110	97.7	95.6	95.4
20111111	48.5	93.9	46.7
20111112	46.8	94.0	62.0
20111113	91.1	93.8	71.6
20111114	96.8	93.5	75.5
20111115	99.7	93.4	72.1
20111116	96.5	92.2	65.7
20111117	49.6	92.7	96.8
20111118	41.5	93.1	49.9
20111119	44.3	49.0	71.7
20111120	94.0	90.4	77.7
20111121	94.1	91.1	76.4
20111122	49.4	92.3	68.8
20111123	90.0	94.6	97.0
20111124	44.0	95.1	95.5
20111125	90.3	91.5	61.6
20111126	92.1	93.6	64.1
20111127	49.6	92.3	91.1
20111128	97.2	91.0	43.0
20111129	99.1	49.5	46.4
20111130	90.6	49.8	48.0
20111201	44.3	60.4	48.1
20111202	43.9	62.2	60.6
20111203	42.1	98.3	62.6
20111204	43.9	92.7	97.1
20111205	90.2	91.5	44.2
20111206	94.2	49.9	37.4
20111207	94.6	48.6	35.0
20111208	43.4	46.4	37.0
20111209	42.2	49.8	45.4
20111210	45.0	92.1	90.7
20111211	33.8	48.8	48.6
20111212	36.8	47.4	92.2
20111213	38.6	47.2	60.8
20111214	41.9	46.1	70.0
20111215	49.6	48.8	64.2
20111216	90.2	47.9	90.9
20111217	40.6	49.8	91.6
20111218	29.1	49.1	95.2
20111219	33.7	48.3	62.1
20111220	45.8	49.3	96.3
20111221	47.4	48.4	47.2
20111222	94.4	93.3	92.3
20111223	47.8	47.5	45.2
20111224	34.9	47.9	43.6
20111225	35.9	48.9	42.9
20111226	43.6	45.9	48.2
20111227	42.9	47.2	45.4
20111228	46.2	48.9	44.2
20111229	30.8	90.9	90.4
20111230	40.8	92.9	92.4
20111231	49.8	90.1	93.5
20120101	46.3	93.9	95.9
20120102	43.2	93.1	48.2
20120103	30.3	49.7	41.0
20120104	19.2	92.7	48.9
20120105	32.1	92.6	94.8
20120106	41.2	49.0	61.2
20120107	47.0	91.0	99.7
20120108	46.0	96.8	92.5
20120109	34.7	92.3	94.0
20120110	39.4	91.6	47.7
20120111	40.4	49.8	49.2
20120112	45.4	91.9	48.4
20120113	40.7	93.7	40.2
20120114	30.4	92.9	43.9
20120115	23.9	49.7	45.2
20120116	22.6	45.3	65.0
20120117	39.8	43.6	68.2
20120118	43.2	45.0	47.5
20120119	26.3	47.3	97.1
20120120	32.8	91.4	61.9
20120121	27.4	93.7	94.6
20120122	25.0	48.3	96.7
20120123	39.4	92.9	94.4
20120124	48.7	49.1	92.7
20120125	43.0	92.1	61.8
20120126	37.1	93.6	95.0
20120127	48.2	90.4	90.7
20120128	43.7	90.3	92.9
20120129	40.1	93.8	44.4
20120130	38.0	91.9	49.1
20120131	43.5	90.0	62.8
20120201	90.4	90.0	64.6
20120202	45.8	91.3	61.1
20120203	37.5	91.5	70.0
20120204	40.8	92.0	61.3
20120205	36.5	93.8	48.2
20120206	39.1	94.6	44.2
20120207	43.2	94.3	91.3
20120208	36.5	91.9	49.2
20120209	36.5	93.8	45.7
20120210	38.3	93.9	94.1
20120211	36.9	92.3	44.9
20120212	29.7	90.1	36.5
20120213	33.1	49.5	44.8
20120214	39.6	48.6	92.3
20120215	42.3	49.9	68.0
20120216	39.7	92.4	94.6
20120217	46.0	49.9	93.8
20120218	41.2	91.6	96.2
20120219	39.8	47.8	90.8
20120220	38.1	48.7	93.0
20120221	37.1	49.7	61.0
20120222	45.5	93.4	68.8
20120223	90.6	94.1	69.4
20120224	42.7	95.9	99.3
20120225	42.6	91.7	47.2
20120226	36.9	47.7	47.7
20120227	40.9	45.4	61.9
20120228	45.9	47.0	67.2
20120229	40.7	49.8	70.1
