date	Facebook	Twitter	LinkedIn
20111001	80.4	45	66.9
20111002	62.4	62.7	72.8
20111003	69.3	47.2	28.7
20111004	67.8	69.3	25.4
20111005	67.9	78.3	57.1
20111006	57.9	44.4	67.5
20111007	56.4	68.3	89.7
20111008	60.5	58.4	25.6
20111009	82.6	47.1	56.7
20111010	95.6	57.6	84.5
20111011	98.6	26.9	31.8
20111012	69	56.3	83
20111013	88.6	36.2	33.2
20111014	63	42.4	46.1
20111015	52.5	62.2	52
20111016	94.5	79.1	67.6
20111017	72.1	32.5	51.9
20111018	74.7	22.9	75.8
20111019	99.8	42.4	29.4
20111020	63.7	31.1	34.9
20111021	69.8	30.3	42.5
20111022	80.5	49	43
20111023	98.4	36.6	68.7
20111024	86.9	78.9	64.8
20111025	98.2	38.9	88.2
20111026	79.6	51.6	29.6
20111027	96.1	47.6	89.6
20111028	85.1	53.6	64.1
20111029	57.8	26.8	38.1
20111030	66.4	58.8	62.2
20111031	81.5	53.6	54.6
20111101	60.7	69.7	85.9
20111102	88.1	69.5	33.4
20111103	82.7	25.3	50.7
20111104	98.5	29.9	86.3
20111105	87.3	51.6	26.7
20111106	96.8	72.1	30.1
20111107	51.5	22.8	32.8
20111108	97.6	40.1	54.5
20111109	93.8	56.5	35.8
20111110	89.9	56.3	41.4
20111111	67	43.6	40.8
20111112	50.7	66.8	27
20111113	66.8	45	42.1
20111114	76.9	22.6	27.1
20111115	66.4	45.5	77.6
20111116	52.7	32	59.7
20111117	97.2	28.3	58.5
20111118	76.1	76.7	46.6
20111119	57.5	28.9	41
20111120	86.7	37.2	71.7
20111121	96.3	23.1	58.5
20111122	94.8	70.2	59.4
20111123	78.7	56.7	82.7
20111124	76.3	72.9	33.9
20111125	54.8	23.2	45.7
20111126	60.6	46.8	54.9
20111127	64.2	65.4	69.3
20111128	50.7	67.7	47.9
20111129	71.7	78.2	85.1
20111130	76.7	22	88.1
20111201	92.3	38.8	64.1
20111202	97.7	67.5	87.5
20111203	76.5	29.7	72.5
20111204	78.4	28.6	61.2
20111205	88.2	33.7	40.3
20111206	79.4	33.7	87
20111207	70.8	73.9	50.7
20111208	64.1	35.5	60.4
20111209	59.9	28	30
20111210	85	71.1	81.3
20111211	63.3	22.1	68.7
20111212	77.1	72.6	48
20111213	89.9	40.4	25.4
20111214	97.3	35.9	42.1
20111215	74.7	47.8	68
20111216	61.9	48.7	46.3
20111217	57.7	72.2	54.5
20111218	95.9	52.8	27.5
20111219	85.3	71.2	26.5
20111220	71.4	75.4	64.9
20111221	70.1	22.2	75.1
20111222	74	51.8	26.4
20111223	52.4	30.3	64.8
20111224	98.9	64.8	66.5
20111225	72	22.1	42.6
20111226	91.8	34.7	51.8
20111227	71.6	49.9	29.8
20111228	60	72.2	64.9
20111229	63.7	25.6	56.6
20111230	94	21.4	58.8
20111231	56.7	57.2	81
20120101	50.8	33.1	66.7
20120102	99.7	58.4	31.2
20120103	63.6	65.5	46.5
20120104	63.7	74.2	38.9
20120105	54.7	64.7	81.4
20120106	94.7	21.2	28.5
20120107	89.5	69.3	49.8
20120108	83.7	78.2	61.7
20120109	76	43	38
20120110	59.8	34.1	51.8
20120111	71	29.4	54.9
20120112	80	58.5	82.8
20120113	72.4	43	32
20120114	95.7	33.4	46.1
20120115	85.3	20.4	64.6
20120116	93.8	60.3	57.5
20120117	63.7	54.8	88.3
20120118	68.1	30.9	74
20120119	93.1	69.8	87.2
20120120	94.2	66.5	76.1
20120121	89.6	23.7	58.4
20120122	88.1	44.4	48.3
20120123	55.9	71.3	81.3
20120124	96.5	45.4	49.7
20120125	94.2	64.7	75.5
20120126	75	31.3	30.5
20120127	92.4	68.4	82.4
20120128	75.4	76.7	43.7
20120129	59	42.3	37.1
20120130	75.5	33.8	85.8
20120131	96	37	26.7
20120201	96.2	43.9	53
20120202	62.4	44.3	36.5
20120203	64.2	25.8	53.5
20120204	91.4	38.5	81.5
20120205	90.8	63.6	35.7
20120206	88.9	40.6	81.8
20120207	50.2	33.2	45.2
20120208	52.7	51.7	87.3
20120209	51.8	62.8	38.3
20120210	63.1	76.4	47.8
20120211	65.7	74.6	76.9
20120212	60.4	54.4	27
20120213	71.1	32.5	59
20120214	85	69.7	87
20120215	60.8	75.5	39.7
20120216	70.3	25.4	61.7
20120217	97.6	28.9	67.9
20120218	89.2	24.5	37
20120219	79.9	24.3	39.9
20120220	69.8	74.8	33.6
20120221	88.2	71.1	25
20120222	55.2	27	67.9
20120223	94	39.4	36.1
20120224	98.2	75.2	30
20120225	78.1	26.9	55.9
20120226	92.3	58.2	65.8
20120227	65.1	20.3	42.3
20120228	53	21.6	25.2
20120229	95.4	54.6	38.9
20120301	75.6	69.2	61.2
20120302	67	48.8	82.4
20120303	60.4	71.5	63.3
20120304	93.9	72.7	65.8
20120305	55.8	52.9	43.9
20120306	87	73.6	60.4
20120307	82.8	54	38.2
20120308	80.5	26.4	54.4
20120309	70.6	79.4	42.5
20120310	84.4	46.9	32.6
20120311	88.6	39.4	80.5
20120312	61	21.4	38.5
20120313	80.3	25.5	45
20120314	80.8	62.5	69.7
20120315	60.6	77.2	85.9
20120316	80.7	54.3	65.6
20120317	54.4	50.2	54.9
20120318	56	46.4	66.9
20120319	66.4	34.9	45.7
20120320	82.5	30.8	57.1
20120321	82.3	43.7	52.8
20120322	76	49.8	53.3
20120323	66.9	45.9	39.1
20120324	60.6	40.5	55
20120325	85.4	61	28.6
20120326	77.6	33.3	59
20120327	87.3	36.5	52.1
20120328	82	79.1	42.8
20120329	53.9	31.4	49.4
20120330	83.5	74.5	27.1
20120331	75.6	43.5	43.5
20120401	52.5	27.7	86.8
20120402	83.2	30.5	72.4
20120403	75	66.4	63.5
20120404	74.4	31	32.2
20120405	51.1	38.7	51.9
20120406	86.6	68.9	54.3
20120407	95.3	78.9	80.9
20120408	79.9	76	42.3
20120409	59.2	39.7	27.8
20120410	57.5	24.2	65.3
20120411	59.6	31.9	40.8
20120412	63.3	55.2	68.9
20120413	57.6	63.8	69.5
20120414	56.7	47.8	49.6
20120415	96.5	30.7	45.7
20120416	81.1	60.1	31.4
20120417	68.9	57.2	63.6
20120418	50.5	37.1	45.6
20120419	96.4	73	52.5
20120420	96.4	72.2	73.2
20120421	67.3	34	78.6
20120422	73.3	61.1	52.1
20120423	90.2	59.4	87.6
20120424	89.8	67.8	69.3
20120425	83.6	68.1	61.3
20120426	91	31.5	30.3
20120427	85.7	73.9	82.9
