date	Facebook	Twitter	LinkedIn
20111001	66.1	55.9	63.4
20111002	60.5	60.1	56.8
20111003	87.2	73.1	36.6
20111004	82.3	40	50.9
20111005	84.8	74.4	59.4
20111006	82.5	23.9	64.7
20111007	79.4	34.8	53
20111008	87.6	54.9	83.8
20111009	80.1	53.1	65.8
20111010	96.6	66.2	37
20111011	60	25.2	25.4
20111012	90.8	70.4	77.9
20111013	52.6	30.8	57.4
20111014	70.3	22	28.3
20111015	83.8	48.3	61.3
20111016	88.7	77.3	63.7
20111017	66.2	29.3	45.7
20111018	66.9	71.1	53
20111019	95.3	60.9	73.2
20111020	83.6	43.8	54.1
20111021	98.4	55.1	51.3
20111022	99.6	68.1	63.7
20111023	51.3	43.3	73.2
20111024	86.5	38.7	56.5
20111025	90	66.5	79.6
20111026	92.2	45.2	71.7
20111027	55	48.9	34.3
20111028	90.6	40.7	49.7
20111029	71.2	54.4	68.9
20111030	70.6	56.5	52.5
20111031	78.4	24.5	63.4
20111101	88.2	65.5	86.2
20111102	86.6	28.1	38
20111103	61.4	54.7	58.5
20111104	98.1	29.5	75.5
20111105	56.5	39.5	33.8
20111106	96.4	56.3	75.2
20111107	71.4	69.9	51.7
20111108	67.2	44.7	41.6
20111109	87.6	51.3	27.7
20111110	77.2	31.4	71.7
20111111	74.1	60.6	74.6
20111112	51.4	61.2	60.7
20111113	87.4	49.5	42
20111114	98.5	29.7	77
20111115	77.4	66.4	74.5
20111116	51.9	58.5	31.2
20111117	68	38.2	41.9
20111118	98.8	35.2	73.7
20111119	97.3	33.4	66.9
20111120	91.3	22.3	57.2
20111121	60	79.2	34.8
20111122	87.3	79	48.5
20111123	63.8	61.3	82.8
20111124	87.5	31.6	63.3
20111125	67.3	71.8	52.4
20111126	95.7	42.4	68.2
20111127	83.1	22.6	63.6
20111128	89.4	26.5	79
20111129	92.7	59.3	32
20111130	55.3	55.1	67.3
20111201	80.3	24.3	61.2
20111202	51.3	64.1	57.6
20111203	55.7	72.7	83
20111204	73.9	77.7	29.8
20111205	50.2	61	60.4
20111206	69.3	75	39.7
20111207	80.3	21.4	68.6
20111208	88.8	79.4	77.8
20111209	87.8	31.1	41.4
20111210	55.9	49.4	44.6
20111211	76.2	21.4	26.8
20111212	68.4	59.7	44.9
20111213	76.8	24.1	54.4
20111214	76.9	22.2	48.3
20111215	89.7	50.4	37.1
20111216	90.9	64.8	60.4
20111217	58.4	70.6	79.1
20111218	76.2	68.3	78.5
20111219	97.4	39.5	81.6
20111220	71.8	49	34.1
20111221	57.1	44.6	27.6
20111222	63.2	37.3	70.4
20111223	69.9	73.2	66
20111224	67	30.2	86.7
20111225	87.6	46.8	50.9
20111226	87.8	77.6	36.6
20111227	78.6	65.2	31.2
20111228	76.6	30.5	75.5
20111229	68.9	41.8	78.4
20111230	78.6	60.6	60.6
20111231	72.5	22.1	68.9
20120101	73	70.8	66.2
20120102	68.8	35.5	53
20120103	68.1	33.9	85.5
20120104	97.7	24	38.2
20120105	79.7	70.8	29.6
20120106	55.4	46.2	47.4
20120107	80.9	54.7	46.5
20120108	86.6	72.2	26
20120109	75.6	42.8	29.3
20120110	80.4	76.6	36.5
20120111	60	32.3	57.7
20120112	91.3	74.3	88.3
20120113	98.8	71	25.1
20120114	67.9	58.7	71.3
20120115	55	30.9	33.8
20120116	84.9	55.4	85.8
20120117	75.9	44.3	36.5
20120118	85.7	40.6	43.5
20120119	98.5	40.7	80
20120120	57.9	28.2	35
20120121	51.9	74.4	51.8
20120122	72.2	45.1	46.8
20120123	95.4	30.4	57.6
20120124	82.7	28.1	33.7
20120125	94.6	69.1	38.5
20120126	95	51	69.2
20120127	99.2	67.9	47.7
20120128	72.7	47.2	51.7
20120129	99.5	48.7	88.3
20120130	66.4	65.7	86.3
20120131	51.4	60.9	55.1
20120201	59.7	74.4	76.6
20120202	70.2	38.1	78.4
20120203	89.9	20.8	70.9
20120204	59.2	47.8	25.8
20120205	65.7	32.8	59.1
20120206	98.5	43.6	52.6
20120207	62.8	59.4	79.5
20120208	84.3	47.4	79.4
20120209	93.8	64.6	83.6
20120210	69.7	23.4	54.2
20120211	61	44.9	58.2
20120212	71.3	38.5	80.5
20120213	62	52.3	79.1
20120214	69	63.6	27.6
20120215	80.1	63.4	52
20120216	87.4	39.1	74.6
20120217	57.7	28.1	78.6
20120218	61.5	68.5	82.9
20120219	57.3	26.6	68.4
20120220	50.2	75.4	62.8
20120221	84.2	59.3	85.6
20120222	74.2	75.4	48.6
20120223	50.4	27.8	83.9
20120224	68.6	70.1	57
20120225	78	61.6	33.2
20120226	51.3	23.9	36.5
20120227	98.2	39.7	29.9
20120228	70.8	40.5	57.7
20120229	68.2	49.4	65.4
20120301	61.6	30.5	36.6
20120302	86.9	64.4	51.2
20120303	95.3	36.3	53
20120304	56.6	72.5	66.4
20120305	79.7	56.7	67.9
20120306	98.4	45.4	30.1
20120307	69.7	26.3	70.1
20120308	90.6	51.1	31.4
20120309	67.9	22.7	73.7
20120310	64.9	51.8	31.8
20120311	51.9	66.2	52.8
20120312	55.1	76.9	75.8
20120313	83.3	35.5	49.3
20120314	55	44.4	80.8
20120315	59.1	54.2	51.8
20120316	59.1	71.5	51.2
20120317	85.3	40.8	43.4
20120318	65.7	34.4	79.1
20120319	59.7	67.6	45.5
20120320	90.6	32.6	34.4
20120321	67.6	70.9	66.3
20120322	97.1	63.7	29.4
20120323	52.7	48.5	74.4
20120324	65.4	56.4	32.9
20120325	91.4	35.9	68.3
20120326	81.9	37.3	76.2
20120327	59.5	68.7	70.4
20120328	95.4	47.7	44.2
20120329	92.6	50.5	83.3
20120330	98	38.4	71.1
20120331	54.4	65.3	64.3
20120401	50.3	46.8	46
20120402	90.5	64.4	53.6
20120403	86.1	75	61.3
20120404	56.4	34.4	89.6
20120405	88.5	63.6	80.6
20120406	70.7	28.5	79.9
20120407	99.8	68.9	42.6
20120408	59.9	56.2	73.1
20120409	81.7	49.1	74.7
20120410	68.5	24.9	26.9
20120411	61.7	56.7	49.8
20120412	77.3	57.8	72.1
20120413	59.1	33.2	78.6
20120414	77.7	31.4	74.3
20120415	50.8	32.8	32.4
20120416	70	67.2	44.4
20120417	94.7	40.8	46.5
20120418	59.4	71.3	39
20120419	96.6	64.9	67.2
20120420	91.2	26.2	28.6
20120421	63.8	53.8	34.7
20120422	75.7	57.5	32.1
20120423	54.7	51.4	31.6
20120424	67.2	32.5	52.6
20120425	94.2	51.3	72.6
20120426	74.4	20.5	81.7
20120427	88.6	50.6	68.5
20120428	91	22.6	63
20120429	85.1	35.9	60.4
20120430	98.3	32.3	51.7
20120501	83.2	72.3	56.6
20120502	54	63	36.9
20120503	70.7	77.7	54.7
20120504	94.5	34.1	85.6
20120505	64.4	22	68.5
20120506	89.4	22.1	49.9
20120507	53.1	45.6	61.7
20120508	99.5	78.5	46.3
20120509	50.5	65.9	27.7
20120510	54.5	30.7	72
20120511	77.8	75.1	87.2
20120512	74.2	57	65.7
20120513	59.9	69.6	29.2
20120514	75.2	23.1	43.7
20120515	79.8	63.6	85
20120516	63.7	21	26.4
20120517	50.3	57.5	54
20120518	77.9	66.9	70.5
20120519	72.4	22.8	31.6
20120520	58.4	49.1	86.9
20120521	64.1	45.2	87.2
20120522	84.5	73.4	53.2
20120523	55.3	57.8	29.4
20120524	79	47	74.4
20120525	55.7	53.9	84.6
20120526	94.9	56.5	85.7
20120527	67.4	64.3	81.7
20120528	62.3	53.5	51.4
20120529	74.8	36.5	83.4
20120530	82.3	72	28.7
20120531	57	71.6	25.1
20120601	72.5	60.8	74.5
20120602	81.3	46.1	31.3
20120603	76.1	46.4	46.4
20120604	97.5	63.8	45
20120605	62.3	38.7	87.2
20120606	66.9	76.5	83.8
20120607	57.7	64.9	58.9
20120608	70.9	27.3	47.8
20120609	59.1	74.4	44.9
20120610	57.7	25.3	36.8
20120611	93.6	69.6	27.3
20120612	96.3	76.2	70.7
20120613	51.4	56.2	43.3
20120614	73.5	48	70.7
20120615	81.5	76.8	65
20120616	76.1	24.1	69.5
20120617	51.2	72.1	30.2
20120618	68.8	75.4	45.2
20120619	84.4	44	81.2
20120620	87.2	53.2	28.2
20120621	55.3	53.1	40.1
20120622	79.4	22.7	41.2
20120623	76.3	77	31
20120624	90.8	51.2	31.3
20120625	82.6	70.8	76.2
20120626	51.5	60	37.8
20120627	76.9	46	87.3
20120628	85.8	43.8	73.1
20120629	61.8	59.8	62
20120630	76.6	76.2	56.4
20120701	98.4	21.3	54.8
20120702	81.6	76.2	25.8
20120703	93.5	74.9	89.5
20120704	57.8	44	25.6
20120705	79.6	59.3	70.4
20120706	65.1	50	58
20120707	63.2	32.3	86.2
20120708	83.1	57.1	47.2
20120709	83.4	27.6	25.9
20120710	85.3	28.3	42.6
20120711	79	46.4	40
20120712	79.3	70.5	58.3
20120713	81.8	39.2	82
20120714	83.7	77.5	65.7
20120715	60	69.9	32.1
20120716	73.6	31.4	25.5
20120717	53.3	27.7	34.3
20120718	92.2	36.2	53.8
20120719	99.4	70	48.1
20120720	84.8	73.3	53.8
20120721	68.1	50.7	31.8
20120722	75.8	21.4	48
20120723	78.1	47.8	52.2
20120724	73	21.9	53.1
20120725	86.6	33.7	80.5
20120726	93.5	21.5	51
20120727	53.4	53.2	34.3
20120728	69.3	43.1	34.8
20120729	94.2	62.9	56.3
20120730	53.9	46.9	66.1
20120731	98.1	44.4	60.2
20120801	62.3	62.9	30.5
20120802	50.7	58.6	61.9
20120803	89.6	26.9	34
20120804	64	41.3	34.7
20120805	66.7	29.9	56
20120806	75.6	57.3	58.3
20120807	74.5	24.8	27
20120808	96.9	64.4	53.5
20120809	97.1	29.4	87.4
20120810	97.1	53.6	35.4
20120811	62	79.2	80.4
20120812	75.9	67.5	77.2
20120813	74.4	39.8	82.7
20120814	88.8	32.1	42.2
20120815	65.3	62.6	86.3
20120816	52.6	75.7	63.9
20120817	88.1	21.6	79.9
20120818	68.5	38.6	41.2
20120819	57.6	67.7	40.9
20120820	66.8	77.7	74.7
20120821	90.2	67.2	81.1
20120822	85.3	20.8	76.7
20120823	66	29.7	27.3
20120824	60.7	62.5	57.8
20120825	95.1	44.4	78.3
20120826	69.1	68.8	73.1
20120827	84.4	57.2	32.5
20120828	70.1	51	59.5
20120829	62	20.9	59.3
20120830	67.6	65.7	77.1
20120831	80.6	58.5	86
20120901	63.9	32.4	49.4
20120902	82.5	61.6	26.4
20120903	96.7	36.2	64.5
20120904	71.5	76.5	36
20120905	60.7	74.6	43.1
20120906	50.3	27.2	59.7
20120907	77.8	27.2	60.7
20120908	93.3	39.7	37.8
20120909	93.8	39.5	33.3
20120910	87.7	65.8	67.5
20120911	88.3	25.6	86.4
20120912	89.9	41.1	30.7
20120913	52.9	73.5	88.4
20120914	52.5	26	37.6
20120915	99.2	67.5	26.9
20120916	95.6	33.3	55.5
20120917	75	41.4	65.1
20120918	52.4	42.3	40.4
20120919	76.7	26.1	41
20120920	86.8	51.7	81
20120921	61.1	36.1	72.6
20120922	90.2	42.8	81.6
20120923	69.6	69.2	49.4
20120924	77.2	34.1	87.6
20120925	92.5	72	31.9
20120926	65.5	68.8	33.3
20120927	61.3	77.1	86.9
20120928	82.4	47.5	47.7
20120929	72.9	73.9	51
20120930	58.6	56.2	64.3
