date	Facebook	Twitter	LinkedIn
20111001	95	49.1	53.4
20111002	50.9	26.4	70.4
20111003	62.8	64.1	67.5
20111004	94.7	48.2	81.5
20111005	54.6	38.3	47.1
20111006	87.8	73.3	80.1
20111007	51.4	29.5	64.5
20111008	82.7	64.6	55.8
20111009	50.3	75.7	67.3
20111010	77.2	44.2	44.3
20111011	84.1	72.7	66.1
20111012	73.1	31.7	33.6
20111013	65.3	48.4	39.7
20111014	52.4	46.1	52.2
20111015	93.4	21	35.1
20111016	66	24.6	79.6
20111017	76.6	20.6	46.6
20111018	92.8	67.9	86.7
20111019	83.7	33.3	54
20111020	90.4	54.7	72.8
20111021	51.3	57.2	30.6
20111022	69	25.7	51.3
20111023	87	57.6	75.2
20111024	86.1	50.9	76.4
20111025	68.8	42.8	54.6
20111026	68.1	48.5	36.5
20111027	56.9	77.4	49.3
20111028	79.8	39.3	54
20111029	92.7	63.7	46.5
20111030	76.2	77.4	78.7
20111031	75.5	38.4	74.3
20111101	79.6	68.4	69.1
20111102	68.3	65.8	35.9
20111103	92.3	66.5	28.9
20111104	97.1	24.2	77.7
20111105	64.3	32.8	26.8
20111106	69.9	76.6	69.8
20111107	98.5	35.3	84.4
20111108	55.6	52.5	38.9
20111109	90.9	23	27.9
20111110	73.6	62	35
20111111	61.2	64.3	64.8
20111112	59.1	59.5	69.8
20111113	96.6	33.1	70.1
20111114	80.3	47.2	70.2
20111115	89.9	21.8	65.6
20111116	97.2	45.6	61.7
20111117	69.4	75	37.7
20111118	63.5	52.9	39.7
20111119	76.2	73.1	52.1
20111120	86	49.1	34
20111121	62.4	69.8	77
20111122	67.8	56.1	51.6
20111123	90	22.1	50.4
20111124	75.9	41.1	49.1
20111125	78.2	27	26.3
20111126	82.5	64.4	37.3
20111127	56.8	34.4	58.3
20111128	97.2	68.1	50.8
20111129	95.3	59.5	76.3
20111130	64.7	36.6	51
20111201	91.8	73.4	34
20111202	68	76.5	47.6
20111203	65.8	27.3	29.5
20111204	89	36.5	85.6
20111205	65	57.4	59.2
20111206	90.3	44.4	89.2
20111207	54.7	36.7	50.6
20111208	95.8	52	88
20111209	73.2	49.8	60.2
20111210	58.2	34.8	68.8
20111211	50.1	28	81.2
20111212	66	48.6	76.3
20111213	93	30.8	28.6
20111214	54.4	77.5	33.2
20111215	66	39.4	29.8
20111216	95.4	47.7	66
20111217	90.4	61.3	59.6
20111218	59	30.7	58.7
20111219	64.9	38.3	56.2
20111220	94.2	79.4	33.7
20111221	62.2	29.4	44.9
20111222	96.4	52.5	49.9
20111223	73.6	69.9	71.8
20111224	86.8	39.5	79.3
20111225	83.3	28.2	28.7
20111226	93.9	31.8	79.3
20111227	68.8	32.4	48.4
20111228	87.2	22.1	40.6
20111229	85.7	76.5	88
20111230	79.7	48.8	64.4
20111231	55.9	70.2	63.7
20120101	73.9	75.7	86.9
20120102	94.2	51	30.8
20120103	91.8	35.1	51.3
20120104	67.1	53	50.2
20120105	90.3	74.5	49.6
20120106	93	40.9	48.6
20120107	75.7	43.8	30.3
20120108	53.5	33.2	59.9
20120109	95.5	34.6	57.1
20120110	99.1	74.4	82.5
20120111	94.6	78.3	33
20120112	95.6	29.3	38.6
20120113	90.2	63.9	36.2
20120114	67.1	28.1	77.7
20120115	77.1	51.9	86.6
20120116	58.8	67.7	50.7
20120117	92.4	37.4	63.6
20120118	50.4	46.9	57
20120119	77.5	26	59.9
20120120	66.8	30.2	77.6
20120121	89	47	38
20120122	93.9	68	42.9
20120123	74.3	38.3	81.1
20120124	69.5	59.7	72.8
20120125	86.8	35.5	72.9
20120126	83.2	35.2	58.3
20120127	80.9	31	66.8
20120128	79.7	52.5	45.8
20120129	89.2	25.6	80
20120130	74.9	56.6	41.1
20120131	94.3	27.7	84.6
20120201	53.6	67.7	76
20120202	73.5	73.2	72.6
20120203	83.7	53.7	31.9
20120204	56	50.8	85
20120205	90.7	64.1	31.8
20120206	92.1	35.8	51
20120207	51.2	72.8	81.7
20120208	51.5	48	77.2
20120209	77	73.7	65.3
20120210	75.2	25.1	86.4
20120211	70.2	28.8	41.5
20120212	71.6	38.6	65.9
20120213	97.8	62.4	29.9
20120214	58.1	73.9	52.4
20120215	91.4	50.4	47.1
20120216	62	29.4	39.7
20120217	93.9	48.4	65.7
20120218	58.6	68.7	75.1
20120219	86.1	78.3	41.9
20120220	84.8	30	46.7
20120221	87.3	26.9	41.9
20120222	80.1	35.7	46.1
20120223	90.4	65	58.6
20120224	69.2	78	61.9
20120225	99.9	32.4	37
20120226	64.1	32.2	48.7
20120227	56.2	26.3	58.9
20120228	72.9	63.9	71.2
20120229	92.6	68	65.9
20120301	68.8	32.2	41.2
20120302	82.5	36.1	78.6
20120303	83	44.8	77.4
20120304	96.8	51.7	65.3
20120305	97.4	76.8	65.1
20120306	55	72.1	59.2
20120307	78.5	59.1	62.8
20120308	66	49.9	35.6
20120309	51.3	59.1	34.6
20120310	65.3	44	50
20120311	80.8	69.2	69.1
20120312	70.6	48.1	51
20120313	84.2	74.1	50.2
20120314	87.7	34.5	32.7
20120315	67.1	65.4	38.2
20120316	62.3	68.6	36.5
20120317	81	42.4	34.7
20120318	87.1	61.4	50.4
20120319	71.1	58.1	31.2
20120320	81.9	65.4	62.6
20120321	86.8	79.3	88.2
20120322	83.2	52.1	25.1
20120323	97	50.2	77.5
20120324	86	45.7	82.7
20120325	61.3	78	35
20120326	96.7	60.8	73.8
