date	Facebook	Twitter	LinkedIn
20111001	74.3	63.3	69.5
20111002	82.1	41.5	32
20111003	89.7	49.7	86.5
20111004	93.8	55.9	45.9
20111005	59	33.4	77.8
20111006	72.9	35.4	57.5
20111007	59.4	29.7	45.3
20111008	93.6	27.4	53.5
20111009	75.6	46.1	81.5
20111010	95.3	54.1	37.3
20111011	66.4	70.7	64
20111012	57.9	67.2	73.1
20111013	75.7	66.2	46.4
20111014	77.4	70.1	77.2
20111015	52.6	25.6	33
20111016	62.4	49.9	66.8
20111017	57.3	41	56.5
20111018	83.8	39.7	37.6
20111019	91.8	51.9	57.7
20111020	74.9	44.1	85.7
20111021	57.6	36	65.6
20111022	87.6	57.6	39
20111023	54.4	35.7	77.8
20111024	77.5	59.2	29.9
20111025	96.5	36	42.9
20111026	98.9	63.2	69.5
20111027	85.8	76.3	27.7
20111028	57.2	78.9	87.3
20111029	94.7	40.3	26.2
20111030	74.6	29.2	27.1
20111031	70.9	79.7	49.5
20111101	91.4	52.1	62.4
20111102	92.6	62.4	47.8
20111103	84.7	62.7	35.2
20111104	62.8	52.6	77.1
20111105	51	51.5	35.7
20111106	94	64.4	34.6
20111107	59.9	27.3	87.2
20111108	98.3	44.6	58
20111109	99.2	27.9	42.7
20111110	59.7	36.5	35.1
20111111	96	38.9	28.9
20111112	76.4	71.7	65.5
20111113	57.4	33.3	42.2
20111114	77.2	70.4	29.8
20111115	89.6	62.2	40.7
20111116	74.3	48	74.4
20111117	66.6	39.4	76.3
20111118	79.9	37.8	70.3
20111119	79.9	79.9	27.7
20111120	76.6	58	82
20111121	66.6	44.9	67.8
20111122	91.6	43.1	65.7
20111123	72.3	24.2	29.1
20111124	91.5	37.6	87.5
20111125	70.1	78.4	70
20111126	71.3	61.3	27.2
20111127	68.6	40.1	55.5
20111128	80.3	35.6	26
20111129	54.6	69.5	89.7
20111130	83.2	49.7	26
20111201	78	30.8	35.7
20111202	74	64.3	82.3
20111203	99.7	36.4	36.5
20111204	66.6	25	89.3
20111205	85.5	75.3	36.7
20111206	53.3	49.8	48.1
20111207	91.9	21	25.5
20111208	81.8	74.6	69
20111209	50.7	68.1	72.7
20111210	65.8	31.7	34.4
20111211	74.4	40.5	26.6
20111212	55.1	32.6	33.9
20111213	63.9	51.3	57.3
20111214	55.7	43.1	32.8
20111215	65.3	27.2	62.3
20111216	99.9	50.2	49.6
20111217	83	68.1	60.1
20111218	82.2	59.2	50.9
20111219	69.8	23.9	76.5
20111220	87.3	51.1	26.8
20111221	77.3	49.1	56.2
20111222	99.1	46.7	72.6
20111223	61.7	68	27.6
20111224	92.6	21.1	62.2
20111225	52.9	60.5	45.4
20111226	73.4	21.5	72.1
20111227	58.3	31.5	42
20111228	91.3	23	68.2
20111229	83.5	44.1	53.8
20111230	66.3	27	47.8
20111231	64.9	48.7	76.8
20120101	81	24.9	89.7
20120102	74.1	39.7	50.2
20120103	51	61.8	44.8
20120104	62.3	60.8	33.6
20120105	52.6	54.4	40.2
20120106	79.9	20.1	70.7
20120107	94.6	46.6	67.8
20120108	64.5	67.9	31.1
20120109	87.8	46.6	59.2
20120110	57.6	26.8	62.1
20120111	76.3	41.1	46.9
20120112	69	37.4	88.4
20120113	55.8	77.1	29.9
20120114	72.4	39.4	63.9
20120115	69.8	20.5	84.2
20120116	77.4	40.8	32.6
20120117	85.5	49.3	43.1
20120118	86.8	26.1	44
20120119	61.8	21.5	38.1
20120120	58.5	45.9	52.3
20120121	88.6	66.5	85
20120122	55.9	26.8	73.2
20120123	84.5	27.9	39
20120124	81.8	57.6	44.8
20120125	56.6	78.8	87.8
20120126	54.1	57.8	88.6
20120127	84.9	45.7	81.8
20120128	93.8	35.1	64.5
20120129	59.1	33.9	48.9
20120130	58.1	49.2	59.6
20120131	57.4	38.2	30.3
20120201	64	36.4	85
20120202	67	23.6	57.2
20120203	61.2	24.1	69.6
20120204	63.9	50.1	63.4
20120205	74	79.5	82.4
20120206	75.2	34	63.7
20120207	94.9	70	84.1
20120208	66.2	72.1	38.1
20120209	76.9	51.5	82.5
20120210	51.7	50.6	78.6
20120211	80.8	71.9	89.5
20120212	97	34.1	74.6
20120213	99.2	54.2	73.4
20120214	85.9	67.9	48.3
20120215	89.5	78.5	49
20120216	92.6	78.5	57.4
20120217	62.3	76.7	78.3
20120218	62.5	34.3	28.8
20120219	81.4	69.1	33.1
20120220	63.7	63.5	34.4
20120221	98.3	45.9	27.5
20120222	86	60.3	38.5
20120223	52.7	54.3	38.9
20120224	79.3	65.2	51.7
20120225	84.1	43.2	51
20120226	79.2	22.6	77.8
20120227	64.4	56.9	47.3
20120228	87.7	49.9	41
20120229	69.7	58.8	51.1
20120301	83.1	31.9	87.9
20120302	76.4	66.9	29.6
20120303	50.4	65.6	53.2
20120304	75.5	33.1	84
20120305	81.8	56.2	77
20120306	64	56.7	62.5
20120307	64	23.7	89.7
20120308	83.6	34.9	87.8
20120309	76.8	47.6	55.1
20120310	90	30	66.7
20120311	94	59.7	84.3
20120312	97.7	67.2	28.9
20120313	87.2	64.4	70.7
20120314	59	71.8	44.8
20120315	97.3	63.7	68.1
20120316	97.4	69.7	44.6
20120317	50.2	58.1	57.3
20120318	78	70.9	71.8
20120319	56.6	30.7	30.1
20120320	61.3	28.6	29.7
20120321	96.3	74.4	41.7
20120322	97.8	44.6	70.2
20120323	53	60.4	26
20120324	83.8	43.3	64.3
20120325	74.8	58.6	30.4
20120326	61.7	75.1	53.6
20120327	50.9	36.3	47.1
20120328	60.9	20.7	89.4
20120329	55.1	76.9	64.9
20120330	85.3	68.4	89
20120331	71.2	35.1	72.8
20120401	70.5	45.8	35.2
20120402	77.1	20.4	84.5
20120403	92.2	25.5	76.9
20120404	76.1	54.7	78.5
20120405	71	20.3	41.5
20120406	77.9	25.8	86.5
20120407	82.5	74.6	32.1
20120408	93	53.3	30.9
20120409	93.7	37.7	25.9
20120410	67.9	78.9	31.5
20120411	56.3	57	50.9
20120412	99.8	26.3	35.4
20120413	55.3	25.8	58.9
20120414	82.5	33.7	43.9
20120415	69.2	74	63.8
20120416	98.8	34.2	79.8
20120417	62.8	66.2	87
20120418	84.1	76.1	33.6
20120419	94.9	46.1	55.5
20120420	53	29.6	59.8
20120421	88.4	40.8	73
20120422	88.7	41.5	67.8
20120423	68	54.5	70.1
20120424	59.9	53.7	52
20120425	88.2	75.5	68.7
20120426	93.3	78	33.2
20120427	84.2	54.8	33.1
20120428	88.3	52.8	87.8
20120429	89.6	71.4	55.1
20120430	78.4	43.6	49.8
20120501	81.6	72.4	74
20120502	52.2	63.9	45
20120503	72.3	32.3	40
20120504	60.4	67.7	43.7
20120505	78.7	70.5	81.1
20120506	98.8	20.2	80.2
20120507	69.3	20.3	53.2
20120508	69.3	28.1	72
20120509	93	59.7	81.2
20120510	82.2	46.4	74.4
20120511	61.1	67.1	73.7
20120512	77	72.1	66.9
20120513	67.4	60.3	46.7
20120514	51.5	73.1	73.7
20120515	88.6	74.4	50.4
20120516	50.1	51.9	71.9
20120517	76.8	66.1	73
20120518	75.8	61.4	68.6
20120519	60.7	29.3	48.3
20120520	53.4	65.2	26.8
20120521	92.1	40.6	47.5
20120522	81.8	26.6	53.5
20120523	80.3	28.4	34.7
20120524	78.6	30.2	44.6
20120525	74.6	35.5	79.8
20120526	79.7	71.5	74.5
20120527	64.2	78.1	50.4
20120528	72.7	65.2	43.7
20120529	78.3	41	33.1
20120530	51	40.3	37.2
20120531	82.8	62.6	85
20120601	92.4	22.5	65.3
20120602	81.8	78.4	76.3
20120603	74.9	20.4	89
20120604	92.4	28.3	78.7
20120605	57.8	67.4	76.2
20120606	78.6	24.5	78.2
20120607	66.4	45.4	44.8
20120608	87.5	36.2	82.6
20120609	82.1	51.7	68.4
20120610	97.2	38.5	87.1
20120611	53	46.7	37.9
20120612	96.5	30.6	89.7
20120613	50.7	51.5	32.5
20120614	78.8	61.1	42.1
20120615	63.5	25.2	85.1
20120616	96.8	55.6	25.4
20120617	76.6	59.9	33.4
20120618	85.4	35	49.8
20120619	54.9	52.7	30.1
20120620	73.3	67.9	58.7
20120621	54.5	64.3	29.8
20120622	65.8	38.1	88.9
20120623	51.5	72.1	28.3
20120624	96.3	37.6	32
20120625	91.5	58	56.1
20120626	51.4	58.9	83.4
20120627	72.2	68.4	43.2
20120628	93.1	65.5	57.7
20120629	87.3	77.1	83.4
20120630	59.3	43.7	54.8
20120701	70.3	38.4	80
20120702	88.6	67.5	37.7
20120703	89.6	51	46.9
20120704	77.4	65.8	58.1
20120705	60.7	30.2	80.6
20120706	89.9	76.7	89.6
20120707	99.7	38.5	73.3
20120708	54.4	47.1	65.9
20120709	60.4	42.7	36
20120710	89.9	52	26.7
20120711	53.8	37.8	29.6
20120712	73	22	26.9
20120713	66.4	54.4	84.7
20120714	64.4	64	68.4
20120715	53.6	61.7	51.1
20120716	78	72.7	67.5
20120717	96	31.7	48.9
20120718	88.9	48	85.5
20120719	72.9	26.7	66.9
20120720	87.1	27.1	87.7
20120721	65.1	66.7	61.5
