date	Facebook	Twitter	LinkedIn
20111001	57.2	73.6	78.7
20111002	77	32.7	64.3
20111003	82.3	52	76.1
20111004	76.4	32.8	38.4
20111005	94.7	64.3	83.7
20111006	76.3	39.1	42.4
20111007	81.7	71.1	39.6
20111008	97.4	22.9	82.2
20111009	77.5	42	44.9
20111010	98.3	76.4	34.2
20111011	90.3	56.7	53.3
20111012	61.7	65.6	74.9
20111013	98.5	57.4	89.4
20111014	51	46.7	30.7
20111015	68.3	71.8	58.8
20111016	92.7	56.5	35.8
20111017	56.9	66.9	50.2
20111018	56.7	60.6	25.7
20111019	77.7	41	31.3
20111020	66.6	77.1	30.7
20111021	67.5	23.6	65.6
20111022	86.7	32.4	65.3
20111023	56.8	22.8	49
20111024	91.4	55.1	51.7
20111025	57.5	37.5	61.9
20111026	90.9	73.6	32.5
20111027	95.5	25.9	41.9
20111028	92.4	56.9	40.9
20111029	76.3	36	36.3
20111030	95.6	31.4	46.2
20111031	86.2	60.7	31.9
20111101	78.7	42.5	88
20111102	93	33.4	67.9
20111103	95.5	66.8	76.8
20111104	73.5	35.1	53.1
20111105	67.2	71.7	55.9
20111106	56.1	20.6	89.8
20111107	64.5	77.8	44.5
20111108	81.1	64.5	43.5
20111109	86.8	32.8	30.6
20111110	92.1	43.6	38.4
20111111	60.8	40.6	44.4
20111112	86.9	27.4	65.4
20111113	89.9	64.2	69.4
20111114	65	22.8	89
20111115	50.7	38	80.1
20111116	74.9	74.9	43.8
20111117	94.9	76.4	58.5
20111118	75.2	60.5	34.1
20111119	76.2	64.5	53.8
20111120	86	24.7	28.4
20111121	85.6	28	38
20111122	70.1	69	47.4
20111123	91.6	58.8	44.7
20111124	95.3	70.2	37.3
20111125	91.4	22.3	52
20111126	92.8	68.3	70.8
20111127	94.8	73.2	63.6
20111128	88.1	73.9	35.3
20111129	74.3	76.8	76.3
20111130	93.1	42.5	67.1
20111201	75.9	70.6	31.6
20111202	62.4	55.6	79.3
20111203	98	74.9	55.8
20111204	76.8	47.2	65.3
20111205	61.6	37.5	79.7
20111206	81.3	45	77
20111207	51.7	48.9	84.3
20111208	67.1	55	32.2
20111209	77.4	25.5	31.8
20111210	99.5	48.9	38.9
20111211	57.5	46.2	44.5
20111212	54.3	52	56.8
20111213	53.8	29.3	54.5
20111214	91.9	43.3	73.2
20111215	82.6	26.6	40
20111216	57.2	52.9	34.6
20111217	52.2	30.9	35.5
20111218	55.8	79.9	28.5
20111219	83.4	62.5	28.1
20111220	73.6	66.1	55.9
20111221	83.5	62.9	62.5
20111222	63.7	57.2	50
20111223	56.7	30.7	49
20111224	92.2	38.5	34.4
20111225	97.1	76.9	86.4
20111226	92.2	26.1	68.7
20111227	71.4	26.4	45.4
20111228	93.1	49.9	38.4
20111229	62.7	70.4	36
20111230	99.5	40.6	73.3
20111231	57.4	29.6	84.8
20120101	60.4	66.6	58.4
20120102	71.6	20.2	25.5
20120103	79.6	62.4	30.5
20120104	75	53.5	41.5
20120105	82.7	65.1	86.6
20120106	81.7	72.6	38.7
20120107	65.7	70.6	68.4
20120108	92.2	24.4	71
20120109	66.5	75.4	88.3
20120110	81.6	61.9	32.2
20120111	59.3	46.2	47.7
20120112	91.8	24.9	89.1
20120113	87.1	53.3	25.6
20120114	98.7	64.3	34.2
20120115	59.1	40.1	46.4
20120116	86.5	27.8	44.1
20120117	51.9	33.2	31.4
20120118	76	40.8	77
20120119	65.9	57.4	36.6
20120120	63.9	53.5	38.4
20120121	52.2	49.7	52.2
20120122	93.1	35.4	61.4
20120123	86.3	24.9	86
20120124	89.3	58.5	72.8
20120125	76.8	39.3	31.2
20120126	56	61.8	39
20120127	63.2	53.7	75.7
20120128	89.3	66.4	30.4
20120129	64	51.9	79.1
20120130	80.7	66.3	36.1
20120131	55.3	66.8	72.6
20120201	91.7	31.1	63.7
20120202	65.7	20.8	80.9
20120203	96.2	58.5	36.2
20120204	92.2	20.6	88.2
20120205	97.3	61.7	50.5
20120206	99.6	24	70.5
20120207	91	78.6	88.6
20120208	80.2	31.2	37.6
20120209	57.8	20.1	38.2
20120210	64.2	43.5	41.4
20120211	78.9	32	56
20120212	81.9	75.9	59.4
20120213	85.2	20.2	82.9
20120214	91	35.3	69.3
20120215	58.2	21.1	72.8
20120216	97.8	78.9	60
20120217	67.9	59.4	35.4
20120218	59.7	38.4	66.9
20120219	90.7	63.9	57.6
20120220	71.7	50.8	75.8
20120221	68	72.5	87.5
20120222	51.2	53.7	45.1
20120223	73.6	70.1	66.4
20120224	97.1	74.6	53
20120225	74.9	77	31.2
20120226	63.3	22.7	71.2
20120227	81.4	44.1	25.2
20120228	98	44.1	55.8
20120229	90.8	21.3	56.9
20120301	63.3	55.2	83.9
20120302	50.9	65.2	42.6
20120303	61	28.8	88
20120304	72.2	24.2	69.6
20120305	55	36.9	55.2
20120306	85.5	74.6	37.7
20120307	91.5	32.4	81.4
20120308	53.1	77.6	25.2
20120309	81.2	27	73.8
20120310	53.8	40.1	77.6
20120311	70.7	75.8	84.2
20120312	74.8	80	83.7
20120313	91.2	35.1	60.7
20120314	56.3	47.3	29.7
20120315	88	35.6	30.7
20120316	96.4	53.2	28
20120317	93.7	47.1	56.7
20120318	86.8	48.2	54.7
20120319	72.6	45.9	35
20120320	62.8	30.5	59.3
20120321	74.6	32	75.8
20120322	62.4	77.1	88.3
20120323	51.8	56.4	72.5
20120324	53.3	67.4	78.5
20120325	50.6	77.2	76.9
20120326	97.5	63.2	34.5
20120327	57.7	73.2	54.8
20120328	87.1	43.9	84
20120329	86.8	23.9	85.9
20120330	96.8	50.6	51.9
20120331	60.9	35.8	71.6
20120401	60.2	69.2	30.2
20120402	51.3	72.2	45.5
20120403	92.1	75	56.8
20120404	53	77.9	52.6
20120405	88.2	78.9	87.9
20120406	83	45.3	76.4
20120407	98.4	28.5	34.6
20120408	55.3	62.9	50.2
20120409	81.6	33.7	40.2
20120410	96.3	43.8	75.7
20120411	63.2	20.1	87.7
20120412	76.6	44.2	72.3
20120413	76.6	30.2	55.3
20120414	99.6	59.7	51.7
20120415	86	64.6	56.9
20120416	97.6	60	81.3
20120417	97.6	54.5	74.4
20120418	50.6	79.3	55.6
20120419	80	27.6	49.1
20120420	54	72.7	63
20120421	76.5	67.2	57.7
20120422	74.5	46.5	70.2
20120423	54.8	38.4	83.4
20120424	96.1	22.8	67.2
20120425	53	30.6	78.8
20120426	70.2	75.3	80.5
20120427	91.1	79.5	58.9
20120428	97.5	27.8	57
20120429	81.7	28.6	43.5
20120430	79	42	35.5
20120501	85.6	43.5	75.6
20120502	90.1	35.3	55.8
20120503	70.1	28.1	36.6
20120504	90.7	26.7	58
20120505	89.6	46.8	37.2
20120506	98.2	40.6	37.9
20120507	73.9	32.3	33
20120508	63.1	75.5	89.5
20120509	66.2	70.9	61.8
20120510	98.5	59.8	51.4
20120511	72.8	57.2	42.2
20120512	78.4	30.4	43.8
20120513	91.5	40	44.4
20120514	80.2	66.1	85.3
20120515	53.7	79	70.9
20120516	62.9	61.1	45.6
20120517	75.3	66.8	28
20120518	80.1	42.1	38.1
20120519	74.3	44.4	66
20120520	94.2	64.1	72.9
20120521	75.2	54.5	50.3
20120522	67.7	55.9	81.3
20120523	84.1	32.4	63.8
20120524	70.8	63.6	74.2
20120525	79.5	66.3	85
20120526	56.5	31.8	83.9
20120527	76.3	59	60.6
20120528	69.8	20.1	73.9
20120529	84.8	51.9	43.7
20120530	64.1	25.9	82.4
20120531	96.2	33.2	89.6
20120601	67.4	40.1	38.9
20120602	91.7	41.3	66.7
20120603	98.4	76.7	71.1
20120604	81.3	75.4	83.3
20120605	96.4	54.2	57.5
20120606	95.1	55.2	29.8
20120607	93.8	78.8	58.2
20120608	57.6	28.5	73.4
20120609	67.2	76	84.4
20120610	93.1	63.4	54.9
20120611	72.6	73.4	27.7
20120612	67.4	49.9	44.9
20120613	75.9	49.5	63
20120614	89.7	79.4	42.2
20120615	56.7	21.4	36.2
20120616	53.6	36.8	64
20120617	75.4	36.7	69.8
20120618	67	62.7	75
20120619	53.9	52.3	85.9
20120620	75.4	72.6	59.5
20120621	84.5	55	54.8
20120622	50.9	77.7	42.3
20120623	95.1	77.4	67.7
20120624	80.3	66.5	72.3
20120625	58.4	73.6	59.3
20120626	95.7	20.5	68.3
20120627	96.9	57.4	65.5
20120628	58.1	54.2	30.4
20120629	99.1	79.8	30.7
20120630	62.9	21.9	29.6
20120701	73	55.1	80.3
20120702	50.6	51.3	55.1
20120703	75.9	65.3	48.1
20120704	68.9	57.9	75.2
20120705	72.6	41.7	50.2
20120706	93.2	28.4	33.3
20120707	86	21.4	81.5
20120708	76.6	57.8	38
20120709	67.7	29.5	71.2
20120710	62.7	38.9	46.3
20120711	76.1	34.4	30.3
20120712	55.8	58.4	45.1
20120713	66	76.9	68.4
20120714	57.1	48.2	64.3
20120715	52.2	30	76.7
20120716	87.8	76.3	83.7
20120717	74.4	20.3	57.3
20120718	81	35.8	43.1
20120719	52.9	38.3	82.6
20120720	88.8	26.6	51.9
20120721	86.8	38.7	51.7
20120722	62.9	38.5	65.2
20120723	58.8	47.1	81.4
20120724	77.3	79.1	64.1
20120725	73.1	44.3	40.9
20120726	79.2	46.7	39.5
20120727	66.3	75.9	74.3
20120728	60.3	41.3	71.5
20120729	92.5	26.9	68.8
20120730	59.3	22.4	29.6
20120731	97.5	79.1	74.7
20120801	63.8	79	63.1
20120802	57.8	63	57.2
20120803	96.8	68.9	75.7
20120804	74.4	68.6	43.9
20120805	81.5	43.4	35.2
20120806	74	20.1	56.1
20120807	93.2	63.6	60.4
20120808	79.3	66.5	74
20120809	68.8	75.8	87.7
20120810	78.2	64.8	42.9
20120811	56.9	41.7	43.1
20120812	78.9	36.9	71.7
20120813	54	59.3	28.8
20120814	53.7	26.2	84
20120815	84.3	43.1	53.2
20120816	85.6	67.5	80.6
20120817	94.9	47.2	80.7
20120818	94.6	43.2	45.6
20120819	97.5	50.7	26.7
20120820	81.9	51.3	38.3
20120821	53.8	79.1	54.2
20120822	96	67.3	55.4
20120823	62.3	51.1	46.9
20120824	82	36.8	42.1
20120825	66	74	79.6
20120826	93.9	49	60.3
20120827	64.7	67.5	78.1
20120828	56.6	79	50.1
20120829	78.1	69.9	66
20120830	80.6	59.7	69.3
20120831	66.3	74.3	69.1
20120901	94.6	39.4	25.4
20120902	79.6	61.3	67
20120903	69.9	77.7	76.7
20120904	68.7	64.2	69.3
20120905	79	25.2	35.5
20120906	53.8	63.5	25.1
20120907	88	68.9	86.6
20120908	57.3	57.3	64.3
20120909	98.5	59.4	80.9
20120910	72.6	73.8	32.1
20120911	64.3	32.3	77.2
20120912	52.4	22.4	84.1
20120913	73.6	29	72.5
20120914	59.8	20.1	33.4
20120915	97.5	39.8	66.4
20120916	92.4	40	31.8
20120917	69.2	64	58.7
20120918	99	26.6	48.3
20120919	71.6	60.8	52.1
20120920	71.8	77.9	44
20120921	70.5	55.2	82.3
20120922	60.1	66.3	29.5
20120923	97.8	21.7	54.3
20120924	62.5	69	51.5
20120925	96.3	22.1	25.4
20120926	69.9	51.1	42.6
20120927	55.6	69	30.9
20120928	90	20.4	67.2
20120929	75.3	40.3	60.1
20120930	51.2	28.3	85.9
