date	Facebook	Twitter	LinkedIn
20111001	67.9	26.2	39.6
20111002	63.2	45.6	35.1
20111003	98.3	57.7	44.9
20111004	80.8	77.8	87.5
20111005	69.6	20.1	47.9
20111006	52.3	75.7	41.9
20111007	71.7	40.4	82
20111008	81.6	43.1	57.9
20111009	58.7	71.6	77.1
20111010	71.9	33.1	33.6
20111011	88.4	38.2	42
20111012	93.8	23.3	28.2
20111013	62.4	39.7	26.8
20111014	90.8	46.7	74.8
20111015	92.3	25.3	67.7
20111016	55.4	61	50.6
20111017	84	45.7	69.8
20111018	69.8	67.9	87
20111019	88.2	42.4	58.9
20111020	71.7	52.9	74.3
20111021	85.1	72.9	75.5
20111022	63.6	47.8	77.9
20111023	77.4	22	44.1
20111024	99.2	37	55.3
20111025	81.4	25.7	28.6
20111026	92.7	40.1	75.3
20111027	69.3	29.4	69.3
20111028	59.6	60.3	46.1
20111029	75	37.8	45.5
20111030	57.5	22.3	55.7
20111031	91.8	46.3	25.5
20111101	62.2	79.6	38.2
20111102	50.3	41.2	86.8
20111103	72.9	63.5	33.2
20111104	78.4	51	34.2
20111105	55.9	44.6	43.8
20111106	57.7	63.5	47.9
20111107	96	29.3	78
20111108	54.1	61.9	55.7
20111109	89.2	71.9	60.9
20111110	59.1	25.5	64.2
20111111	72.9	54	40.3
20111112	97.6	56.3	55.4
20111113	50.1	22.7	82.4
20111114	61.9	28.7	25.9
20111115	79.6	69.7	48.9
20111116	53.1	33.3	43.8
20111117	64	71.2	53.3
20111118	65.4	21.5	86.8
20111119	81.9	42.6	64
20111120	67.5	71.9	88.9
20111121	71.9	76.1	67.8
20111122	94.7	75.9	57.6
20111123	88.8	46.5	76.9
20111124	77.7	53	71.8
20111125	65.5	63.4	58.3
20111126	98.1	43.3	53.4
20111127	75.3	23.5	77.1
20111128	73	37	65.8
20111129	53.7	52.4	49.9
20111130	80.9	60	25.6
20111201	99	41	81.8
20111202	58.1	64.5	67.9
20111203	85.7	32.5	37
20111204	53	72.5	28.1
20111205	85.6	57.4	63
20111206	90.9	73.4	28.9
20111207	55.1	63	35.4
20111208	63.7	32.1	82.7
20111209	58.5	63	67
20111210	70.6	79.2	81.4
20111211	61	44.8	80.8
20111212	99.6	69.5	64.3
20111213	86.9	29.8	36.4
20111214	51.2	50.7	25.6
20111215	50.1	34.3	78.4
20111216	69.2	78.5	29.2
