date	Facebook	Twitter	LinkedIn
20111001	82.2	61.6	29.2
20111002	90.5	23.7	70.4
20111003	60.5	48.9	29.5
20111004	60.5	23.8	28.3
20111005	68	80	29.4
20111006	61	42.9	70.6
20111007	99.9	75.2	49.3
20111008	81.6	64.3	83.1
20111009	61.4	51.5	25.3
20111010	70.8	71.4	38
20111011	51.4	60.2	88.5
20111012	86.8	48.7	50.3
20111013	84.5	27.6	40
20111014	97.9	54.9	53.2
20111015	78.9	49.9	43.6
20111016	67.1	25.4	83.8
20111017	99	27.1	88.6
20111018	65.7	59.5	37.4
20111019	53.8	60.6	81.2
20111020	73.5	41	45.7
20111021	67.2	48	36
20111022	86.8	35.7	43.2
20111023	94.5	47.7	46.9
20111024	67	45	35
20111025	76.4	60.4	61.4
20111026	74.8	50.3	54.1
20111027	81.1	48.1	82.1
20111028	99.2	35.7	51.4
20111029	99.5	67.3	69.7
20111030	50.3	54.9	41
20111031	69.6	48.3	74.4
20111101	50	59.2	61.3
20111102	69.7	26.4	33.9
20111103	66	62.1	46.2
20111104	82.4	26.9	55
20111105	96.2	29.6	44.2
20111106	92.5	20.7	66.1
20111107	75.6	38.1	69.2
20111108	97.9	21.1	80.5
20111109	86.9	62.2	50.7
20111110	69.7	49.1	53.3
20111111	71.8	22.9	46.4
20111112	65.9	68.3	86.6
20111113	50.2	28.1	46.7
20111114	61.9	66.3	61.6
20111115	67.9	27.4	86.7
20111116	73.4	52.7	70.9
20111117	56.3	41.2	28.6
20111118	63.6	62.7	46
20111119	98.6	37.8	85.7
20111120	84.4	25.3	52.4
20111121	62.2	47.4	54.9
20111122	65.8	33.7	68.2
20111123	65.1	37	51.4
20111124	81.9	69.8	36.1
20111125	62.8	45.6	28.9
20111126	81.1	48.3	79.8
20111127	98.2	73	68
20111128	83.1	42.5	78.3
20111129	73.5	71.3	47.2
20111130	56.9	28.1	84.1
20111201	66.1	44.3	61.9
20111202	55.9	56.6	31.7
20111203	68.7	31.5	45.3
20111204	51	44.9	57.7
20111205	51.3	73.1	50.6
20111206	60.5	61.8	43
20111207	52.7	23	73.6
20111208	95.2	28.9	56
20111209	70.7	55	62.5
20111210	90.9	47.4	78.7
20111211	86.3	21.1	64.8
20111212	71.4	55.8	78.3
20111213	65.1	35.4	86.7
20111214	91.5	61.7	73.1
20111215	95.2	52.2	37.7
20111216	75.2	43.7	52.1
20111217	82.6	64.2	82.6
20111218	74.8	74	81.2
20111219	84.7	37.1	51.8
20111220	92.5	29.8	31.9
20111221	81.1	36.9	83.9
20111222	62.9	73	77.6
20111223	85.8	57.2	78.6
20111224	63.8	36.6	61.8
20111225	74.4	32.2	38.7
20111226	80.2	68.4	85
20111227	57.8	52.3	78.7
20111228	61.1	37.7	58.2
20111229	97.6	38.3	68.3
20111230	71.3	28.4	80
20111231	72.7	61.3	60
20120101	52.2	53	71
20120102	66	54.6	72
20120103	68.2	20.4	32.3
20120104	55.3	73.9	82.8
20120105	78.3	43.6	45
20120106	53.4	61.9	75.9
20120107	84.1	47.8	46.4
20120108	55.4	65.3	49.8
20120109	69	57.1	89.6
20120110	64.1	68.6	57.4
20120111	55.7	30.1	52.5
20120112	76.1	62.8	29.1
20120113	69.7	51.1	53.8
20120114	74	24.8	59.4
20120115	62.4	78.4	54.1
20120116	83.7	34.2	36.3
20120117	57.1	27.1	64.4
20120118	65.5	53.2	39
20120119	94.4	75.4	54.9
20120120	74.1	48.4	90
20120121	67.3	24.4	45.3
20120122	81.3	67.1	71.9
20120123	96.6	29.5	87.6
20120124	70.3	78.9	51.1
20120125	61.6	62.7	68.7
20120126	72.2	65.4	31.2
20120127	62.7	34.5	52
20120128	76.9	77.8	60.7
20120129	54.9	65.1	77.9
20120130	64.4	55.1	76.2
20120131	54.3	42.8	44.9
20120201	65.3	53.6	47.2
20120202	81.8	29.9	52.9
20120203	69.4	50.4	31.7
20120204	70.3	23.9	44.3
20120205	66.3	60.1	26
20120206	75.5	63.1	66.1
20120207	64.3	59.3	31
20120208	91.3	57.3	85.5
20120209	93.3	67.5	54.4
20120210	84.4	59.4	66.6
20120211	65.2	27.4	50.5
20120212	74.8	30.3	51.4
20120213	72.2	46	68.4
20120214	51.3	23.3	75.3
20120215	69.9	68	57.6
20120216	74.5	49.6	84.7
20120217	53.2	51.5	25.2
20120218	80.1	40.3	41.9
20120219	94.3	50.5	25.1
20120220	61	38.6	29.3
20120221	78.1	42.6	57.4
20120222	65.9	46.5	48.9
20120223	77.6	75	38.9
20120224	67.2	48.5	78.7
20120225	80.1	60.7	87.5
20120226	62	29.1	47.7
20120227	82.3	64.4	77.3
20120228	83.2	54.4	63.7
20120229	89.5	21.8	40
20120301	59.8	25.7	70.4
20120302	62.2	63.2	78.5
20120303	77.8	45.7	76.7
20120304	70.4	50.6	33
20120305	56.9	73.5	40.3
20120306	74.4	74.4	70.2
20120307	68.8	21.4	60.3
20120308	65.1	66.1	62.7
20120309	87.2	77.9	57.2
20120310	61.2	62.4	66.7
20120311	69.8	40.1	83.4
20120312	68.6	29.9	57.5
20120313	89.1	51.2	85.9
20120314	74.9	33.2	28.1
20120315	85.9	54.2	35.4
20120316	60.3	46.7	74.5
20120317	86.5	30	56
20120318	71.7	42.7	42.9
20120319	85.4	38.8	73.5
20120320	67	46.5	86.7
20120321	56.8	63.5	78.4
20120322	50.4	40.7	51.4
20120323	71.9	25.6	33.3
20120324	82.3	39	41.2
20120325	62.6	60.1	34
20120326	58.8	62.9	53.6
20120327	80.7	71.1	46.9
20120328	67.8	70.3	28.9
20120329	70.3	64.5	58.9
20120330	95	80	52.7
20120331	76.2	69.3	59.9
20120401	59.7	31.4	75.8
20120402	81.8	34	76.4
20120403	77.5	73.2	27.4
20120404	74.1	39.4	35.3
20120405	58.2	69.4	43.9
20120406	53.7	44.6	31.5
20120407	58.4	68	30.3
20120408	63.8	77.6	32.3
20120409	72.3	70	65.6
20120410	79.3	56.5	80.7
20120411	56.7	33.7	55.6
20120412	56.5	63.8	60.6
20120413	96.9	42.6	47.3
20120414	58.4	49.4	55.4
20120415	85.3	41.3	31.8
20120416	82.5	53.4	70.3
20120417	95.3	57.8	30.3
20120418	79.3	77.4	50.9
20120419	95.8	47.5	39.5
20120420	64.8	62.5	43.2
20120421	64.3	66	77.4
20120422	89.4	33.4	28
20120423	69.2	56.6	69.2
20120424	92.1	58.7	88.1
20120425	54.8	49.5	41
20120426	77.4	53.2	85.1
20120427	73.5	28.9	68.6
20120428	67.4	66.3	53.4
20120429	74.4	55.1	27.2
20120430	94.1	29.2	69.2
20120501	67.1	46.6	50.8
20120502	56.6	56.1	53.4
20120503	96.2	20.6	26.1
20120504	85.4	63.4	51.8
20120505	69.5	46.6	35.7
20120506	62.3	69.4	57.3
20120507	99.4	21.6	43.2
20120508	63.2	30.7	77.7
20120509	77.4	50.5	53.6
20120510	98	67.2	66.6
20120511	65.5	72	47.7
20120512	88.9	21.2	64.8
20120513	98.5	21.8	46.9
20120514	87.3	73.8	70.1
20120515	57	45.4	30.5
20120516	94.7	72.5	82.1
20120517	80.2	40	27.8
20120518	63.5	44.7	67.4
20120519	52.1	49.3	75.3
20120520	67.5	60.8	62.7
20120521	56.7	41.6	69.9
20120522	93.8	29.7	65.2
20120523	60.3	21.5	83.9
20120524	70.2	23.2	25.1
20120525	90.2	59.4	36.3
20120526	54.8	60.2	76.8
20120527	95.3	77.6	34.5
20120528	76.8	37.8	55.4
20120529	81	26.9	51.2
20120530	81.8	30.7	29.5
20120531	79.1	22.1	25
20120601	93.4	54.7	82.2
20120602	71.7	21.9	57.1
20120603	69.8	26.4	65.5
20120604	52.3	30.4	68
20120605	93.8	66	62
20120606	70.2	75.6	51.7
20120607	98.3	43.5	35.2
20120608	65.8	73.3	61.7
20120609	91.3	45.6	87.8
20120610	66.7	60	60.2
20120611	57.3	35.3	34.1
20120612	79.3	34.2	32.2
20120613	74.2	48.6	63.9
20120614	69.4	41.2	71.9
20120615	97.8	72.9	67.7
20120616	91.3	67.3	32.2
20120617	78.1	20.3	82.3
20120618	84.9	51.1	37.3
20120619	83.3	50	43.9
20120620	74.9	28.5	50.4
20120621	72.1	64.5	40.9
20120622	66.3	25.4	89.5
20120623	65.5	42.4	64.6
20120624	95.7	48.8	32.1
20120625	81.4	62.4	29.7
20120626	56.7	58.6	46.6
20120627	60.9	32.7	69.1
20120628	85.8	59.2	41.8
20120629	73.2	49.7	86.7
20120630	50.4	46.7	47.6
20120701	52.6	48.8	36.4
20120702	99.7	37.7	81
20120703	80.7	64.2	72.9
20120704	98.5	66.8	79.7
20120705	91.7	27.4	60.5
20120706	75.7	49	47.7
20120707	88.9	33.2	87.1
20120708	84.2	23.4	54.2
20120709	74.8	32.4	73
20120710	79.8	45.5	66.9
20120711	58.9	29.7	89
20120712	90.3	32.5	73.8
20120713	70.5	77.1	25.2
20120714	55.6	61.2	52.7
20120715	64.4	29	63.3
20120716	87.6	71.9	78.3
20120717	72.6	62	41.5
20120718	55.2	47.2	30.7
20120719	66	34.1	41.1
20120720	65.9	69.9	71.4
20120721	51.9	36.4	57.7
20120722	77.5	39.5	83
20120723	98.3	61.8	77.6
20120724	84.4	39.8	51.9
20120725	84.6	35	80.5
20120726	87.2	28.7	77.6
20120727	94.9	77.2	87
20120728	66.1	52	70.1
20120729	79.7	59.2	62.1
20120730	90.5	42.2	60.9
