date	Facebook	Twitter	LinkedIn
20111001	91.3	51.7	63.8
20111002	93.3	50.3	46.5
20111003	55.6	36.1	56
20111004	92.1	25.1	61.9
20111005	93.1	59.7	62.6
20111006	66.8	66.6	75.3
20111007	90.3	63.5	61.8
20111008	91	70.8	63.2
20111009	79.6	52.5	31.5
20111010	60.2	68.1	59
20111011	67.9	51.2	47.9
20111012	70.9	47.3	25.5
20111013	74	26.1	33.2
20111014	76.4	42.1	69.6
20111015	64.8	40.7	85.8
20111016	66.1	35.5	52.1
20111017	91.6	24.7	66.2
20111018	74.9	28.3	73.2
20111019	90.9	54.4	54
20111020	94.3	38.8	73.9
20111021	76.3	75.2	56.5
20111022	68	49.9	64.3
20111023	60.7	53.1	33.2
20111024	66.1	60.2	34.6
20111025	61.6	56.5	78.7
20111026	98.9	45.7	50.2
20111027	51.4	24.5	38.8
20111028	87.3	77.8	73.4
20111029	82.6	73.9	63
20111030	75.8	75.5	48.7
20111031	74	50.4	34.1
20111101	81.4	66.6	84.4
20111102	62.3	47	59
20111103	87.8	46.4	64.6
20111104	81.9	23.9	62.4
20111105	54.9	37.8	54
20111106	99.1	43.6	47.6
20111107	76.5	72.3	79.7
20111108	92.6	66.1	73.6
20111109	82.3	65.3	36.3
20111110	78.4	66.8	51.1
20111111	90.5	54.8	86.5
20111112	96.6	52.4	64.3
20111113	84.8	28.6	59.3
20111114	85.1	47.7	51.9
20111115	94.7	76.3	71
20111116	79.4	78.5	43.8
20111117	78	63.9	60.4
20111118	91.4	72.6	78
20111119	61.9	75.6	38.5
20111120	80.7	35.9	52.4
20111121	63.2	71.4	77.8
20111122	94.4	34	33.1
20111123	71.3	35.1	53.7
20111124	66.8	67	71.2
20111125	88.4	50.3	80.8
20111126	78.6	57.5	83.3
20111127	87.1	50.6	64.4
20111128	90.8	70.2	49
20111129	52.3	30.2	56
20111130	79.9	52.2	73.3
20111201	94.8	72.5	63.2
20111202	64.5	23.7	80.5
20111203	78	50.8	57.4
20111204	73.1	36.3	84.3
20111205	68.6	70.4	34.2
20111206	69.3	20	52.5
20111207	80.4	37	57.4
20111208	60.7	66.9	86
20111209	94.6	48.1	42
20111210	79.1	39.3	89.9
20111211	52.3	23.2	87.2
20111212	86.8	44.9	81
20111213	76.4	62	40.5
20111214	70.5	32.7	81
20111215	94.9	32.7	47.4
20111216	50.8	24.4	57.9
20111217	96.6	31.3	84.5
20111218	96.8	45	67.2
20111219	66.9	65.3	68.3
20111220	96.6	36.1	46.7
20111221	59.7	30	65.7
20111222	98.9	47	36.5
20111223	77.6	42.4	85.3
20111224	51.8	56.1	48.1
20111225	91.9	71.4	47.1
20111226	78.6	48	62.4
20111227	99.1	37.8	29.1
20111228	92	29	64.7
20111229	71.7	74.1	55.8
20111230	60.8	36.8	40.7
20111231	72.4	46.9	76.6
20120101	56.2	35.5	72.1
20120102	67.5	41.3	85.2
20120103	67.2	23.6	31.9
20120104	82.1	42.4	84.7
20120105	85.9	34.7	25.8
20120106	56.6	60.7	75.2
20120107	78.1	30.1	72
20120108	75.6	47.4	62.3
20120109	65.4	51.1	68.5
20120110	50.1	37.6	36.4
20120111	57.4	60.9	68.3
20120112	51	75.3	83.5
20120113	87.4	55.8	58
20120114	99.9	29.8	88.2
20120115	64.3	22.7	73.7
20120116	88.7	26.9	69.1
20120117	68.1	53.4	75.9
20120118	61.6	74.4	54.7
20120119	78.6	44.5	61.6
20120120	52.5	55.1	50.7
20120121	88	41.8	61.6
20120122	89.5	77.2	81
20120123	63.1	27	78.5
20120124	83.7	45.7	41
20120125	82.6	58.2	36.8
20120126	87.4	33.4	26
20120127	89.3	70.8	27.4
20120128	65.8	46.3	63.2
20120129	58.9	38.9	41
20120130	91.3	71.4	71
20120131	50	75.9	89.3
20120201	80.9	51.8	46.6
20120202	61.1	63.8	71.9
20120203	58	47.7	40.1
20120204	85.3	39	60.1
20120205	87.1	77.1	75.3
20120206	62.5	55.4	62.3
20120207	86	45.1	66.1
20120208	95.8	61.6	40.9
20120209	88.9	66.9	48.9
20120210	56.6	43.2	56.5
20120211	91.8	61.7	33.5
20120212	68.9	37.5	43.3
20120213	76.1	32.8	85.9
20120214	74.5	61.4	33.1
20120215	68.6	62.9	41.4
20120216	92.7	69.4	38.5
20120217	57.8	27.1	79.7
20120218	51.8	72.4	57.7
20120219	50.9	65.2	34
20120220	82	25.6	26.3
20120221	64.6	44.2	61.7
20120222	70.5	64.1	82.2
20120223	60.7	42.4	61.3
20120224	93.3	66.3	27.3
20120225	94.5	58.4	41.9
20120226	51.7	52.4	73
20120227	60.2	43.2	31.3
20120228	50.8	69.2	31.3
20120229	78.6	50.1	72.1
20120301	73.2	77.9	46.8
20120302	85.4	71.7	28.4
20120303	61.7	25.1	62.8
20120304	89.9	47.4	46.5
20120305	87.3	47.1	44.9
20120306	87.5	59.9	58.4
20120307	93	52.7	72.7
20120308	71.9	36.3	49.8
20120309	63.7	49	80.1
20120310	54.1	21.3	33.5
20120311	87.1	63.3	78
20120312	59.9	67	52.3
20120313	82.8	35.4	87.1
20120314	87.7	58.4	30.2
20120315	88.5	64.9	61.9
20120316	72.9	48.2	88.3
20120317	54.1	36.1	40.7
20120318	66.1	70.6	71.6
20120319	60.1	56.3	56.8
20120320	97.7	37.4	40.7
20120321	84.8	39.2	76.9
20120322	58.1	35.3	52.4
20120323	61	20.3	53.7
20120324	93.4	39.3	39.8
20120325	73.5	45.1	67.7
20120326	71.3	50.4	34.3
20120327	61.7	46.9	28.2
20120328	89.1	61.1	77.4
20120329	54.2	26	43.4
20120330	56.8	49.6	32.5
20120331	73.6	75.8	54
20120401	50.5	34.3	40.4
20120402	65.6	59.2	67.9
20120403	94.3	59.4	43.8
20120404	64	68.8	77.2
20120405	90.8	54.4	65.1
20120406	70.4	65.9	52.6
20120407	84.3	67.8	86
20120408	86	41.6	38.5
20120409	50.3	67.2	75.5
20120410	99.8	23.9	62.9
20120411	71.7	76.3	87.6
20120412	94.3	45.4	46.6
20120413	70	52.4	32.6
20120414	98.4	24.9	43.2
20120415	75.9	62.7	50.1
20120416	74.7	67.7	53.1
20120417	84.4	74.4	82.2
20120418	94.1	27.1	34.2
20120419	52	66.9	59.8
20120420	61.2	63.5	35.5
20120421	57.6	50.1	49.8
20120422	68.1	51.8	69.3
20120423	58.6	68.3	52.8
20120424	65.1	25.1	69.9
20120425	89.2	43.3	67.6
20120426	50.5	74.5	42.9
20120427	57.5	45.7	78.6
20120428	93.2	62.5	68.4
20120429	63.3	37.7	29.5
20120430	65.8	61.2	38.2
20120501	68.8	68.9	58.2
20120502	76.8	42.3	55
20120503	67.3	55.1	48.4
20120504	53.5	59	41.5
20120505	58.9	33	39.8
20120506	90.2	77.7	41.4
20120507	53.6	52	65.2
20120508	89.1	70.9	51
20120509	83.5	23.9	78.8
20120510	80.8	36.5	52.3
20120511	71.5	43	71.7
20120512	80.2	46.2	27.3
20120513	63	26.9	31.7
20120514	87.2	79.7	73.9
20120515	91.8	61.1	69.6
20120516	63.1	74.4	43.3
20120517	63.7	26.8	78.1
20120518	69.9	39.6	88.5
20120519	51.4	45.5	57.7
20120520	74	34.5	80.9
20120521	61.4	50.2	51.9
20120522	80	67.4	31.6
20120523	91	45.9	80.7
20120524	70.6	48.5	27.2
20120525	60.2	60	85.5
20120526	90.5	60.2	29.7
20120527	62.4	54.7	47.1
20120528	79.5	29.8	32.1
20120529	93.7	32.2	63.9
20120530	64.7	57.8	41.5
20120531	79.3	35.4	62.4
20120601	92.9	36	25.4
20120602	82.1	64.1	66
20120603	88.3	79.4	38.9
20120604	87.2	59.2	76.6
20120605	91.1	76	51.2
20120606	71.3	65.8	71.3
20120607	88.3	29	47.2
20120608	77.5	37.5	47.8
20120609	65	62.9	85.6
20120610	77.8	22.3	68
20120611	65.3	61.9	74.7
20120612	69.9	42.5	69.4
20120613	63.7	59.8	87.2
20120614	65.3	79.3	77.7
20120615	62.8	59.3	31.2
20120616	89.6	44.5	38.3
20120617	92.2	71.6	51.5
20120618	78.1	59.8	60.8
20120619	99.8	43.2	56.6
20120620	62.5	56.2	67.4
20120621	85.1	70.7	36.9
20120622	55.5	63.5	62.9
20120623	91	61.1	57.8
20120624	55.3	54.1	48.5
20120625	79.2	47.7	65.4
20120626	52.5	78.3	48.8
20120627	79.2	49.8	46.1
20120628	83.9	67.7	89.5
20120629	62.4	56.2	60.1
20120630	92.8	73.5	40.2
20120701	55.9	69.5	72.8
20120702	65.7	44.8	37.7
20120703	72.2	43	46.6
20120704	77.2	65.6	72.5
20120705	94.5	36.4	54.8
20120706	91.4	64.4	71.4
20120707	69.5	31.9	66.7
20120708	74.2	65.7	65.2
20120709	71.2	66.4	44.2
20120710	90.5	26.8	53.1
20120711	63.1	33	31.1
20120712	66.5	59.6	30.2
20120713	98.2	76.8	62.6
