date	Facebook	Twitter	LinkedIn
20111001	55.8	20.9	57.4
20111002	74.4	61.4	77.8
20111003	69.9	52.7	62.1
20111004	54.1	23.7	72.6
20111005	88.6	34	49.4
20111006	53.5	61.6	88.8
20111007	71.8	45.6	54.7
20111008	76.8	32.5	44.5
20111009	96.8	72.5	28.5
20111010	83.5	23.2	77.6
20111011	78.6	22.3	76.8
20111012	91.4	26.9	45.4
20111013	57.4	61.4	28.4
20111014	53.4	38.7	67.9
20111015	70.2	66.3	75.9
20111016	79	35.2	32.7
20111017	79.8	61.4	26.3
20111018	82.4	37.5	26.8
20111019	53.6	50.1	43.2
20111020	53.4	49.7	34.1
20111021	91.9	59.1	59.7
20111022	59.9	44.4	52.6
20111023	70.8	34.7	62.9
20111024	50.4	57.1	44
20111025	76.2	21.2	85.7
20111026	92	49.9	53.9
20111027	69	47.4	57.3
20111028	87.2	57.1	80
20111029	81.3	64.5	74.2
20111030	79.3	63.3	59.6
20111031	59.9	49.8	39
20111101	65.3	36.7	39.1
20111102	83.1	49.4	39.2
20111103	50.9	77.1	86.1
20111104	89.7	65.3	59.9
20111105	92	52.6	38.4
20111106	72.1	68.8	41.9
20111107	80.6	34	48.8
20111108	98.5	76.4	82.4
20111109	96.8	30.5	36.7
20111110	89.8	60.8	68.6
20111111	58.6	66.1	77.4
20111112	91.5	21.1	66.6
20111113	65.7	30.9	70
20111114	91.3	76.9	75.4
20111115	95.2	75.6	29.6
20111116	98	39.5	45.1
20111117	69.9	53.4	28.2
20111118	57.2	34.3	36.6
20111119	81.2	68.7	58.3
20111120	93.6	39.5	89.1
20111121	63.9	66.3	45
20111122	81.8	62.7	30.9
20111123	78.9	70.1	53.4
20111124	59.3	52.5	66.9
20111125	76.5	54.8	39.7
20111126	59.9	36	70.8
20111127	70.4	71.1	70.9
20111128	54	28.7	73.1
20111129	71.6	55.7	67.3
20111130	50.6	58.7	34.8
20111201	86.7	38.8	27.2
20111202	73.9	61.4	66.3
20111203	53	29	79.6
20111204	90.1	76.3	58.2
20111205	93.7	78.1	55.8
20111206	76	52	46.6
20111207	87.1	77.2	40.5
20111208	79.7	21.4	51.3
20111209	59.6	55	63.7
20111210	87.5	43.5	27.3
20111211	71.1	21	37.3
20111212	74.8	43	66.4
20111213	78.3	32.8	80.5
20111214	79.3	54.3	25.7
20111215	68.6	42.7	30.2
20111216	98.5	71.6	52
20111217	74.9	50.2	67.4
20111218	76.4	41.2	43.1
20111219	90.3	26.8	53.9
20111220	55.2	68.2	66
20111221	66.9	50.9	63.4
20111222	81.6	22.7	65.2
20111223	93	26.7	57.1
20111224	70	28.7	70.9
20111225	57.8	56.4	52
20111226	86.1	30.8	50
20111227	73	29.8	63.6
20111228	78	71.5	58.6
20111229	86	69.9	34.4
20111230	93.9	43.6	66.9
20111231	77.8	68.9	36.9
20120101	88.6	41.5	81.3
20120102	56.3	43	84.1
20120103	82.6	46.4	33.5
20120104	62.6	50.8	66.2
20120105	50.5	37.1	27.4
20120106	76.8	53.9	87
20120107	78.1	73.4	58
20120108	65	52.7	60.9
20120109	91	32.9	83.8
