date	Facebook	Twitter	LinkedIn
20111001	80.1	42.1	79.6
20111002	83.7	50.9	67.5
20111003	59.3	54.8	51.8
20111004	89.9	68.3	76.3
20111005	93.9	35.4	87.7
20111006	83.3	78.9	42.9
20111007	64.4	77.8	77.8
20111008	88.6	65.6	54.2
20111009	93.5	33.4	60.1
20111010	73.8	55.9	87.7
20111011	86.9	68.7	60.3
20111012	72.6	68.7	81.9
20111013	60.5	39.6	58.1
20111014	92.2	51.9	86.8
20111015	56	63.9	57.2
20111016	65.2	38	86.7
20111017	59.2	67.5	51
20111018	66.5	44.1	78.6
20111019	98.3	56.6	87.4
20111020	76.9	33.2	31.1
20111021	60.3	62.3	63.9
20111022	90.8	32.3	78.8
20111023	78.3	38.8	73.2
20111024	74.2	34.7	89.2
20111025	53.3	71.7	52.9
20111026	94.3	52.3	31.5
20111027	87.9	68.3	47.2
20111028	54.7	35.6	55
20111029	70.5	36.1	61.6
20111030	79	55.5	48.9
20111031	62.1	30.3	70.9
20111101	54.1	77	31
20111102	99.8	68.8	39.8
20111103	51.4	46.5	61.5
20111104	94.2	23.4	27.3
20111105	59.4	74.8	89.1
20111106	59.2	56	73.5
20111107	73.9	26.9	82.6
20111108	76.5	20.5	36
20111109	53.1	69.1	41.6
20111110	59.5	45.8	82.8
20111111	58.6	77.2	78.9
20111112	91.4	33.9	26.9
20111113	64.7	24.8	69.3
20111114	79.9	76.8	60.2
20111115	81.9	65	64.8
20111116	77	35.6	66.3
20111117	52.9	55.5	29.7
20111118	80.7	77.4	36.7
20111119	91.2	30.5	62.3
20111120	93.8	21.8	36.8
20111121	94.9	78.5	78.1
20111122	79.4	43.3	69.4
20111123	82.4	79.6	25.9
20111124	65.9	71.7	69.6
20111125	56.5	72.6	32.8
20111126	63.7	45.5	86.2
20111127	69.4	53.5	87.1
20111128	72.6	71.8	70.5
20111129	69	67.5	53.3
20111130	67.7	37.4	76.3
20111201	74.4	25.5	49.1
20111202	65.6	33.9	63.1
20111203	87.5	75.8	63.4
20111204	86.1	32.2	74.4
20111205	60.8	35.2	46.3
20111206	85.5	78.5	81.3
20111207	55.8	56.6	31.8
20111208	50.3	78.9	34.6
20111209	85.7	49.8	63.7
20111210	54.4	52.1	33.6
20111211	52.4	61.6	36.9
20111212	92.6	69	82.7
20111213	96.1	61.9	36.6
