date	Facebook	Twitter	LinkedIn
20111001	77.7	39.1	36.3
20111002	93.9	21	57.6
20111003	68.4	70.2	25.6
20111004	98.5	44.3	43.8
20111005	72.9	60.9	54
20111006	77.4	78.9	52.5
20111007	89.5	52	72.4
20111008	86.6	29.9	37.1
20111009	75.5	63	28.5
20111010	58.2	35.1	58.2
20111011	62.5	34.4	74.8
20111012	97.1	48.6	41.1
20111013	86.5	53.8	35.3
20111014	97.8	50.2	54.5
20111015	96.6	24.4	71.2
20111016	52.7	44.5	65
20111017	71.1	45	81.7
20111018	84.6	49.2	29.9
20111019	77.4	30.1	73.7
20111020	98.2	46.8	32.4
20111021	80.5	49.9	41.9
20111022	60.1	67.6	52.1
20111023	61.2	67.7	67.1
20111024	76.3	49	82.6
20111025	74	46	52
20111026	51.1	30.2	27.9
20111027	81.2	27.6	27.7
20111028	72.8	54.6	55.7
20111029	66.4	52.9	30.9
20111030	83.7	72	26.8
20111031	91.9	30.9	59.9
20111101	55.6	20.4	78
20111102	75.4	54	51.9
20111103	53.2	51	32
20111104	76.3	44.6	34.6
20111105	81.8	26.4	72.3
20111106	94.1	33.4	34.6
20111107	75.8	23.5	62.1
20111108	90.3	47.1	59.3
20111109	50.3	43.7	43.6
20111110	64.4	36.9	27
20111111	96.9	30.7	44.5
20111112	70	53	59.6
20111113	71.8	48.3	68.8
20111114	74.7	48.4	69.6
20111115	80.5	68.4	59.1
20111116	77.2	27.3	63.6
20111117	83.9	33	87.2
20111118	58.3	69.8	62.7
20111119	55.1	28.3	74.4
20111120	56.4	79.8	51.7
20111121	84.6	66.1	45.3
20111122	66.7	76.8	62.2
20111123	91.2	61.1	53.8
20111124	81.2	68.7	54.3
20111125	59.5	67.1	37.6
20111126	93.7	57.8	57.9
20111127	85.4	72.6	73.4
20111128	61.5	23.8	76
20111129	78.6	49.2	85.4
20111130	73.6	49.1	50.1
20111201	75.4	61	31.3
20111202	90.2	39.3	71.4
20111203	86.7	20	43
20111204	81	73.2	64.8
20111205	61.7	66.6	82.5
20111206	50.9	26.6	73
20111207	62.8	48	51.6
20111208	54.6	72.8	75.5
20111209	61.3	64.3	80.4
20111210	64.9	76	45.8
20111211	73	46.9	79.8
20111212	71.6	48.6	60.1
20111213	66.9	66.8	69.8
20111214	99.5	79	88.5
20111215	93.3	27.3	77.8
20111216	97.8	72.2	28.9
20111217	88.3	51.3	44.9
20111218	65.1	78.8	37.2
20111219	75.6	64.6	62.7
20111220	86.8	23.8	57.1
