date	Facebook	Twitter	LinkedIn
20111001	82.4	79.5	32.2
20111002	76.7	65.9	55.3
20111003	82.3	34.7	25.8
20111004	60.4	30	35
20111005	55.3	79.5	90
20111006	88.7	44.2	81.2
20111007	61	39.8	33
20111008	98.6	26.6	81.3
20111009	51.7	47.7	33.8
20111010	76.5	50.2	70
20111011	81.8	30.4	32.2
20111012	79.3	25.1	73.3
20111013	95.6	20	58.8
20111014	96.7	69.4	79.9
20111015	71.5	36.6	79.3
20111016	87.4	30	25.3
20111017	61.9	49.7	28.2
20111018	84.4	46.2	78.4
20111019	79.6	61	67.9
20111020	79.1	45	42.8
20111021	95.8	64	25.3
20111022	52.8	32.7	81.6
20111023	75.9	71.9	26.8
20111024	89.1	61.6	49
20111025	93.4	61	78.9
20111026	64.1	25	61.2
20111027	72.2	50.5	63.6
20111028	69.5	50.5	76.2
20111029	72.2	75.4	73.5
20111030	93	55.8	43.3
20111031	95.5	63.4	53.2
20111101	84.7	43.9	49.5
20111102	51.8	63.9	69.3
20111103	59.4	35	40.3
20111104	85	28.6	78
20111105	88.4	40.8	70.6
20111106	74.7	41	25.4
20111107	55.3	27.1	44.7
20111108	90.6	47.4	26.9
20111109	56.3	64	64.1
20111110	87.9	73.3	63.3
20111111	90.7	35.3	50.6
20111112	95.6	70	77
20111113	51.1	39.5	53.6
20111114	63.1	44.3	69.3
20111115	82.5	43.2	72.9
20111116	90	66.1	74
20111117	93.2	68	60
20111118	79.9	58.1	31.2
20111119	64.1	43.6	63.4
20111120	69.2	70.1	54.2
20111121	63.2	37.6	45.5
20111122	95.6	73.7	39.4
20111123	87	23.9	84.5
20111124	82.4	70.5	56.9
20111125	60.6	50.4	64.4
20111126	78.8	57.6	47.5
20111127	92.9	59.4	56
20111128	56.8	74.7	37.2
20111129	94.5	69.5	68.7
20111130	80.2	27.1	76.6
20111201	78.9	63	83
20111202	71.3	77.6	44.2
20111203	80	78.8	51.8
20111204	65.7	72.7	49.7
20111205	81.7	62.4	32.8
20111206	55.9	25.3	45.7
20111207	66.7	65.2	41.8
20111208	88.4	30.1	69.9
20111209	56.3	74.2	82.9
20111210	91.3	43.3	81.8
20111211	73.2	32.7	42
20111212	71.7	32.3	68.3
20111213	72.9	25.5	62.4
20111214	83.4	59	65.9
20111215	53	77.8	81.6
20111216	81.4	50.3	25.4
20111217	58.2	51.7	90
20111218	88	49.5	44.8
20111219	67.5	78.6	84
20111220	60.1	74.6	83.3
20111221	55.7	62.9	70.6
20111222	61.1	43.5	40.5
20111223	89.8	44.6	39.7
20111224	98.9	65.5	60.4
20111225	79.4	45.7	32.8
20111226	59.2	27.4	26.6
20111227	64.8	79.1	62
20111228	72.2	63.3	26.9
20111229	87.5	53.6	40.5
20111230	64.4	27.3	70.8
20111231	51.8	44.4	32
20120101	60.2	68	89
20120102	98.6	33.3	35.5
20120103	60.1	34.2	28.1
20120104	72.2	37.4	37.1
20120105	83.9	79	62.1
20120106	78.2	59.3	33.4
20120107	82	44.8	49.2
20120108	89.3	29.5	73.2
20120109	77.9	23.6	44.3
20120110	68.5	44.2	56.6
20120111	69.1	66.3	54.3
20120112	95.1	76.7	85.3
20120113	76	25.7	32.9
20120114	86.8	37.7	30.2
20120115	89.7	56.1	88.6
20120116	77.3	52.8	52.9
20120117	84.2	24.5	51.6
20120118	68.8	61.2	64.6
20120119	68.1	66.4	31.3
20120120	93.8	74.7	87
