date	Facebook	Twitter	LinkedIn
20111001	71	71.7	34.8
20111002	91.4	35.6	39.4
20111003	66.3	69.6	79
20111004	69.7	20.8	33.7
20111005	93.9	26.4	69.8
20111006	91	24.9	43.5
20111007	84.5	27	46.9
20111008	60.8	22.1	71.7
20111009	59.1	66.9	83.1
20111010	93.3	40.4	36.2
20111011	72.6	43.3	57.9
20111012	83.2	44.4	73
20111013	55	69.9	50.4
20111014	59.8	41.7	31
20111015	76.2	49.5	60.9
20111016	60	72.4	58.6
20111017	74	29.8	57.4
20111018	62.2	56.2	38.8
20111019	97.6	62.8	60.4
20111020	92.4	24.5	61.8
20111021	80.2	46.7	62.5
20111022	70.1	23.8	52.3
20111023	67.5	39.9	47.7
20111024	79.3	66.9	57.5
20111025	91.5	53.5	69.3
20111026	58.3	48.4	58.3
20111027	91.8	25.7	33.8
20111028	68.1	30.7	66
20111029	97.7	32.3	27.6
20111030	57.9	67.2	46.1
20111031	98.8	26.2	86.4
20111101	62.3	60	74.9
20111102	92.6	31.5	80.3
20111103	75.6	46.4	44.9
20111104	61.5	55.3	79.1
20111105	59.8	63.4	69.8
20111106	93.1	71	82.2
20111107	58.4	74.4	27.8
20111108	70.1	27.6	29.5
20111109	98.4	36.4	78.6
20111110	70.9	28.6	51
20111111	75.6	22.1	38.4
20111112	79.7	64.7	84.3
20111113	82.3	26.3	65.3
20111114	72.9	74.7	84.6
20111115	96.1	59.9	54.4
20111116	58	46.8	53.7
20111117	65.3	70.1	30.6
20111118	52.7	67.4	40.7
20111119	83.9	22.6	75.2
20111120	58.7	58	87.9
20111121	65.6	72.8	28.9
20111122	91.3	36.9	48
20111123	87.6	50.8	74.3
20111124	94.6	77.5	57.3
20111125	86	79.4	66.2
20111126	79.4	49.5	64.1
20111127	99.3	79.1	47.2
20111128	86.2	24.3	75.1
20111129	67.3	68.1	43.9
20111130	88.2	21.4	70.5
20111201	56.8	62.7	53.8
20111202	60.1	67.1	48.8
20111203	96.3	75.9	39.8
20111204	52.4	51.9	28.9
20111205	65.3	69.4	30.9
20111206	73.2	28.4	48.8
20111207	96.9	26.3	48.9
20111208	91	46.1	85.2
20111209	62.9	30.3	55
20111210	86.4	74	31.3
