date	Facebook	Twitter	LinkedIn
20111001	85	36.9	28.2
20111002	88.1	48.2	70
20111003	85.6	34.8	31.4
20111004	66.9	49.1	88.2
20111005	59.7	52.3	89.6
20111006	59.1	36.8	88.2
20111007	82.5	21.3	63.9
20111008	64.2	30.5	25.7
20111009	70.7	74.4	69.4
20111010	88.9	30.5	37.3
20111011	88.6	21.5	40.6
20111012	58.9	26.8	27.5
20111013	92.8	24.5	49.6
20111014	75.2	48.3	32.9
20111015	79.2	65.6	66.3
20111016	84.4	74.2	61.8
20111017	60.4	21.9	76.4
20111018	96.3	67.5	74.7
20111019	60.6	71.8	60.9
20111020	95.8	45.5	69.6
20111021	82.3	35.8	70.1
20111022	54.3	54.3	60.6
20111023	57	46.8	57.5
20111024	64	53	77.9
20111025	57.1	42.5	64.9
20111026	75.9	26.4	72.2
20111027	60	26.3	66.2
20111028	88.4	58.5	81.7
20111029	62.9	56.8	29.2
20111030	93.8	58.3	56
20111031	66.1	25.1	55.2
20111101	53.7	40.2	52.3
20111102	98.4	68.1	81.8
20111103	85.3	78.1	37
20111104	76.4	27	83.8
20111105	55.8	27.7	39
20111106	98	31.1	28.4
20111107	91.3	26.2	51.8
20111108	84.4	43.7	32.1
20111109	71.5	32.4	72
20111110	98.1	61.5	73.6
20111111	93	47.1	29.4
20111112	76	34.1	67.3
20111113	96.9	27.1	29.2
20111114	78	25.4	74.2
20111115	68.7	22.4	42.3
20111116	67.9	72.5	57.3
20111117	80.4	60.5	84.3
20111118	51	54.4	31.3
20111119	58.7	36.1	49.4
20111120	58.4	76.9	45.3
20111121	74.1	60.9	78.2
20111122	81	34.5	35.8
20111123	59.6	62.3	73.9
20111124	65.2	26.7	62.6
20111125	79	75.2	56.8
20111126	99.1	79.8	86.3
20111127	77.3	44.8	69.6
20111128	77.2	40.2	26.5
20111129	60.1	76.4	57.5
20111130	95.7	41.3	74.9
20111201	59.1	38.9	25.8
20111202	92.9	41.1	81.5
20111203	54	27.6	87
20111204	61.8	59.6	37.5
20111205	84.4	24.9	85.2
20111206	72.2	65.7	51.1
20111207	96.9	52.7	62.5
20111208	57.1	32.4	50.2
20111209	85.4	24.8	57.3
20111210	75.1	38.5	47.7
20111211	95.5	25.2	74.3
20111212	76.9	67	65.4
20111213	74.9	69.4	48.5
20111214	64.3	68.3	63.2
20111215	67.3	43.3	27.1
20111216	94.7	27.2	44.7
20111217	55.3	49.3	32.2
20111218	94	33.5	66.9
20111219	75	22.5	57.3
20111220	55.4	64.4	31.3
20111221	84	76.8	81.8
20111222	63	47.3	60
20111223	79.1	54.9	69.5
20111224	92.8	63.9	63.6
20111225	70.6	70.2	63.2
20111226	54	31.8	52.8
20111227	85.5	66.3	48.2
20111228	98.3	75.5	28.9
20111229	80.2	30.8	54.8
20111230	86.6	52.9	61.8
20111231	61.2	59.8	74.5
20120101	64	78.9	73.2
20120102	68.3	20.7	33
20120103	57.8	63.4	31
20120104	94.3	76.9	77.7
20120105	76.1	73.3	41
20120106	71.8	54.6	89.1
20120107	94.5	47.2	33
20120108	73	25.1	71.7
20120109	84.2	42.2	56.4
20120110	82.2	51.4	42.2
20120111	95	51.7	68.3
20120112	58.4	63.5	61.9
20120113	70.1	62.4	68.5
20120114	74.6	60.4	38.8
20120115	82	20.8	80.3
20120116	76.1	74.8	45.6
