date	Facebook	Twitter	LinkedIn
20111001	57.9	29.2	59.4
20111002	78.4	52.4	34.3
20111003	70.5	69.3	89.9
20111004	69.5	69.8	42.8
20111005	90.1	70.3	40.3
20111006	78.5	73.9	31.8
20111007	84.8	76.8	52.6
20111008	89.3	59.1	89.8
20111009	52.4	47.4	35.2
20111010	55.3	29.9	68.7
20111011	64.5	77.6	77.8
20111012	78.3	66.2	39.2
20111013	54.7	45.2	27.8
20111014	80.1	26.3	54
20111015	50	42.8	86.9
20111016	74.3	76.2	47.8
20111017	62.4	31.1	77.7
20111018	57.9	69.9	64.5
20111019	65.9	45	51.5
20111020	58.7	79.4	48.7
20111021	98.1	20.8	50.2
20111022	79.8	67.7	75.9
20111023	89.3	63.6	36.7
20111024	53.3	75.6	28.2
20111025	81.9	72.7	47.6
20111026	70.5	23.7	80.1
20111027	68.1	56.4	55.3
20111028	73.6	50.9	56.5
20111029	84.2	22.1	82.5
20111030	53.9	42.4	36.4
20111031	64	24.1	87.2
20111101	63.8	75.9	37.3
20111102	65.6	64.8	63.4
20111103	63.7	50.5	78.7
20111104	96.6	40.7	39.3
20111105	87.8	76.9	55.7
20111106	80.5	60.9	60.5
20111107	71.7	43.8	36.1
20111108	61.7	37.8	66.5
20111109	52.6	28.1	55.3
20111110	67.5	47.8	41
20111111	60.8	53.6	55.3
20111112	50.6	33.5	52.5
20111113	86.6	57.4	48.3
20111114	53.2	72.7	78
20111115	66.9	37.8	81.1
20111116	94.1	56.7	37.2
20111117	50.9	72.5	45.2
20111118	92.7	34.8	29.5
20111119	64.5	31	48.6
20111120	57	34.7	63.2
20111121	56.3	20.8	61.9
20111122	74.4	47.4	81.1
20111123	71.6	40.7	39
20111124	57.8	36.6	59.5
20111125	61.5	30.5	42.2
20111126	60.6	29.4	43.1
20111127	98	21	41
20111128	88	60.7	54.5
20111129	78.2	43.6	52.5
20111130	92.4	56.1	32.8
20111201	63.1	73	66.7
20111202	57.4	56.7	35.2
20111203	57.9	51.9	65.7
20111204	81.3	60.3	39.4
20111205	57.3	62.8	68.1
20111206	89.5	32.4	71.7
20111207	84.2	64.3	84.2
20111208	63.9	52.2	30
20111209	72.5	66.7	77.8
20111210	91.1	35.2	87.9
20111211	97.4	76.5	46
