date	Facebook	Twitter	LinkedIn
20111001	59.6	55.5	49.4
20111002	94.9	51.9	60.9
20111003	80.8	23.4	47.4
20111004	83.5	38.9	88.9
20111005	93.7	40.8	82.6
20111006	87.7	23.3	85.7
20111007	95.3	53.9	87.8
20111008	52.1	32.3	38.4
20111009	72.9	35.8	55.8
20111010	57.5	27.8	29.6
20111011	78.9	46.2	26.8
20111012	54.7	40.1	84.5
20111013	72	26.3	78.9
20111014	63.1	71.4	39.2
20111015	76.4	33.9	37.5
20111016	94.2	59.7	63.3
20111017	73.4	72.2	62.4
20111018	68.6	26.4	77.8
20111019	52.7	65.2	38.7
20111020	60.4	66.5	35.8
20111021	61.7	66.6	71.2
20111022	64.7	35.6	53.8
20111023	54.7	22.5	38
20111024	95.3	62.8	52.5
20111025	57.3	44.9	81.2
20111026	84	32.9	75
20111027	71.6	67.9	89.7
20111028	64.3	37.9	60.5
20111029	61.7	52.6	81.5
20111030	84.6	30.8	81.8
20111031	71.9	61.9	30.1
20111101	59.2	51.1	50.7
20111102	90.9	23.1	34.8
20111103	78	66.1	61.7
20111104	89.7	27.6	61
20111105	57.1	46.4	87.3
20111106	71.5	55.9	53.4
20111107	76.3	71.2	31.7
20111108	86.4	69.2	70.9
20111109	61.6	29.3	57.7
20111110	74.2	42.9	43.1
20111111	82.8	63.9	83.2
20111112	62.8	75.3	65.1
20111113	99.6	35.9	84
20111114	60.7	55.8	82.7
20111115	51.6	23.4	64.7
20111116	96.3	76.5	47.6
20111117	50	43.9	70.2
20111118	67.4	21.7	76.7
20111119	91.7	24	40.3
20111120	78	27.9	37.8
20111121	78.9	36.1	41.6
20111122	52.1	40	78.5
20111123	89.3	55.2	63.5
20111124	75.3	66.1	58.1
20111125	55.8	65.5	74
20111126	79.1	46.9	81.5
20111127	74.6	39.8	75.1
20111128	94.9	70.6	62
20111129	76.8	52.6	40.4
20111130	65.9	61.3	26
20111201	57	78.2	26.8
20111202	70.3	60.4	27.6
20111203	68.7	65.4	52.7
20111204	68.2	79.4	54
20111205	55.2	50.7	64.4
20111206	50.5	74.3	57
20111207	50.4	30.6	71.2
20111208	77.8	68.7	69.9
20111209	94.9	46	25.4
20111210	62.5	46.9	56.3
20111211	74.4	47.8	77.9
20111212	57.2	32.8	68.6
20111213	51.8	28	38.2
20111214	75.8	68.1	70.2
20111215	76	75	68.8
20111216	88.5	53.9	30.1
20111217	62.4	27.9	43.9
20111218	90.3	38.3	68.9
20111219	53.4	36.8	89.9
20111220	58.4	47	61
20111221	79.7	55.6	30.4
20111222	75.4	67.3	63.7
20111223	54.5	24.5	26.2
20111224	56.7	32.3	37.7
20111225	97.2	56.5	34.4
20111226	84.5	27.9	64.9
20111227	94.3	78	85.6
20111228	62.7	57.3	82
20111229	66.9	65.9	75.1
20111230	68.9	35.3	43.5
20111231	80.1	60.8	60
20120101	93.6	39.5	82.6
20120102	86.8	51.1	51.1
20120103	67.3	79.1	60.2
20120104	67.2	75.7	62
20120105	91	37.6	49.2
20120106	81.5	69.8	89.3
20120107	95.6	41.8	73.6
20120108	71.2	73.6	37.7
20120109	70.4	22.7	32.6
20120110	52.6	56.1	76.2
20120111	62	70.7	45
20120112	62	64.6	41.3
20120113	57.7	79.7	33
20120114	72.2	43.2	32
20120115	81.4	74.9	47.7
20120116	63.8	59.7	65.2
20120117	88.8	47	58.2
20120118	96.2	73.8	56.8
20120119	66.5	57	88.1
20120120	87.2	77	46.7
20120121	96.9	67.2	40.5
20120122	70.9	67.1	79.5
20120123	67.7	49	61.1
20120124	67.2	57.4	81.3
20120125	62.7	36.4	34
20120126	58.8	32.9	88.7
20120127	88.9	43.1	67.3
20120128	82.7	24.6	30.5
20120129	51.4	23.7	74.7
20120130	58.2	63.5	36.7
20120131	53.7	67.1	84.4
20120201	82.7	35.9	53.5
20120202	63.7	70.3	61.6
20120203	92.3	71.5	30.6
20120204	95.7	74.4	65.8
20120205	93.9	75.5	77.2
20120206	73.4	57.5	80.4
20120207	91.1	26.1	65.3
20120208	50.6	38.4	43
20120209	84.4	40	59.7
20120210	78.5	35.2	33.1
20120211	93.7	55.4	45.2
20120212	72	42	70.4
20120213	59.3	25.9	38.5
20120214	89	79.5	35.8
20120215	93.2	26.1	62.1
20120216	98.5	31	43.7
20120217	62.5	49.3	61
20120218	78.6	70.2	56.4
20120219	51.5	71	51.5
20120220	95	42.8	75.8
20120221	59.9	67.4	30
20120222	73.5	77.6	61.2
20120223	57.6	52.5	30.1
20120224	95.4	39.3	31.5
20120225	79.3	32.8	81.6
20120226	53.3	69	51.4
20120227	54.8	34	37.7
20120228	69.3	34.4	74.4
20120229	81.5	68.8	33.1
20120301	90.9	45.2	88.2
20120302	62.1	48.2	74.3
20120303	89.7	66.6	48.1
20120304	87.7	78.1	78.7
20120305	53.9	36	77.8
20120306	64.4	32.2	66.5
20120307	75.3	45.4	63.7
20120308	89.1	72.6	34.1
20120309	94.7	45.5	65.5
20120310	96.9	20.4	89.9
20120311	83.8	42.9	52.3
20120312	62	56	89.8
20120313	52	37.3	28.9
20120314	97.8	23.7	35.3
20120315	79.5	40	68.7
20120316	64.6	27.8	48.6
20120317	91.7	49.4	50.8
20120318	55.4	46.5	51
20120319	51.6	56.9	80.2
20120320	91.1	20.1	70.6
20120321	58.8	47.6	56.4
20120322	74.5	30.2	38.8
20120323	57.7	38.5	51.3
20120324	55.9	76	33.4
20120325	68.3	30.3	59.2
20120326	86	54.5	56.1
20120327	67.4	64.2	33.3
20120328	85	20.7	74.4
20120329	58	51	37.3
20120330	76	45.1	32.2
20120331	80.8	72.4	30.6
20120401	89.2	73.9	73.4
20120402	79.3	72.3	57.6
20120403	58.5	39	64.6
20120404	97.9	29.5	66.3
20120405	92.6	54.9	57.5
20120406	50.6	37.6	31
20120407	67.1	76.8	30.8
20120408	62.5	33.9	89.7
20120409	93.9	29.8	65.6
20120410	98.7	74.1	40.2
20120411	91	51.8	39.4
20120412	56.7	24	82.6
20120413	82.9	30.5	26.1
20120414	62.3	74.4	38.4
20120415	79.5	26.8	66.2
20120416	70.3	21.5	73.5
20120417	89.5	75.9	68.9
20120418	83.9	68.1	55.9
20120419	90.6	27.4	40.9
20120420	70.8	38.5	89.7
20120421	88.3	45.6	69.7
20120422	63.7	32.4	37.1
20120423	58.8	62.9	27.8
20120424	98.2	39.9	82.8
