date	Facebook	Twitter	LinkedIn
20111001	96.6	43.4	36.4
20111002	80	59.4	41.1
20111003	89.5	43.8	79.2
20111004	69.9	44	54.7
20111005	80.2	43.4	76.3
20111006	73.7	78.7	51.5
20111007	71.5	45.6	27.1
20111008	52.3	57.5	47.4
20111009	64.3	58.8	30.2
20111010	61.6	55.5	63.3
20111011	76.3	42.4	40.2
20111012	62.5	53.6	25.3
20111013	88.2	44	60.6
20111014	99.8	58.7	44.7
20111015	55.4	72.6	81
20111016	97.9	56.1	71.1
20111017	89	51.1	57.6
20111018	79.8	20.4	67.2
20111019	68.3	22.9	55.9
20111020	80.4	51.6	56.7
20111021	62.7	25.6	43.7
20111022	87.2	52.4	57.9
20111023	52.5	77	70.8
20111024	53.2	63.5	63.9
20111025	99.5	76.2	29.4
20111026	91.4	44.1	52.2
20111027	81.9	34.5	25.7
20111028	70.1	62.3	86.1
20111029	70.8	49.8	68.7
20111030	92.2	73.8	67.9
20111031	87	49	74.1
20111101	55.1	44	84.2
20111102	90	60.9	26.6
20111103	97.6	40.9	25.5
20111104	63.4	56.2	31.4
20111105	55.2	64.6	38.5
20111106	74	25.2	65.5
20111107	57.7	50.7	69.9
20111108	92.8	21.1	37.6
20111109	61.9	22.7	28.7
20111110	80.6	28.5	63.6
20111111	80.9	21.6	27.3
20111112	51.9	75.5	39.5
20111113	77.4	58	51.2
20111114	94.7	59.6	77.5
20111115	55.9	43.6	45.2
20111116	83.6	34.4	72.2
20111117	99	38.3	59
20111118	90.8	38.3	62
20111119	55.1	20.1	41.4
20111120	56.2	62.4	74.5
20111121	98.3	22.8	63.7
20111122	95.5	47.7	48.6
20111123	94.8	60.4	75.9
20111124	85.2	59.7	49.4
20111125	68.5	52	70.5
20111126	74.8	21	36.3
20111127	76.9	35.6	52.9
20111128	92.9	77.9	83
20111129	65.8	76.2	74.7
20111130	71.7	53.6	81.7
20111201	86.3	65.7	85
20111202	80.5	54.4	58.8
20111203	70.4	49.8	86.8
20111204	69.5	48.8	35.5
20111205	71	49.4	57.3
20111206	88.1	38.1	74.8
20111207	90.7	43	89
20111208	54.7	48.8	63.8
20111209	77.3	65.5	48.8
20111210	67.2	33.1	36.9
20111211	86.8	41.2	85.4
20111212	55.4	20.1	35.9
20111213	67.4	56.9	84.5
20111214	91	32.9	84.6
20111215	88	60.9	82.6
20111216	79.8	23.9	86.7
20111217	92.9	26.4	29.2
20111218	77.5	34.2	62.5
20111219	78.6	72.7	35.2
20111220	79.7	20	45.4
20111221	50.3	54.4	46.2
20111222	50.1	59.8	85.4
20111223	79	61.6	46.9
20111224	64.7	56.9	39.4
20111225	92.3	49.8	29
20111226	60.8	41.5	82.8
20111227	94.1	75	79.8
20111228	91.4	35.1	28.9
20111229	71.1	41.3	52.4
20111230	51.7	72.7	47.9
20111231	57	46.2	51
20120101	52.1	35.6	61.8
20120102	87.6	22.1	56.5
20120103	78.3	40.1	46
20120104	90.9	27.1	86.8
20120105	89.9	43.5	44.7
20120106	72.6	36.5	30.3
20120107	71.4	45.6	81.5
20120108	65	76.1	59.1
20120109	63.2	55	39.1
20120110	74.1	58.3	78
20120111	61	27.7	50.3
20120112	69.7	74.3	59.2
20120113	85.6	60.1	73.1
20120114	76.2	51.2	74.7
20120115	88	51.8	70.7
20120116	85.6	38.4	89.5
20120117	65.6	49.7	88.5
20120118	74.3	61.9	50.5
20120119	79.1	41.2	53.9
20120120	71.1	60.8	42.1
20120121	72.5	76.6	54.5
20120122	81.8	74.9	33.7
20120123	59	57.1	43.8
20120124	94.3	26.9	65
20120125	51.5	42	85.6
20120126	93.4	79.3	36.4
20120127	75.1	78	56.3
20120128	84.2	38.8	46.2
20120129	64.5	76.2	76
20120130	79.7	78	86.2
20120131	60.2	29.3	37.3
20120201	74.7	77.5	69.3
20120202	80.6	43.9	53.9
20120203	87.9	68.9	73.6
20120204	58.1	32	36
20120205	68.7	70.9	52.7
20120206	92.8	64.2	52.2
20120207	75.1	28.4	35.9
20120208	86.3	61.3	41.4
20120209	95.8	39.3	34.9
20120210	83.6	35.1	48.8
20120211	96.5	46.2	62.5
20120212	61.8	65	34.4
20120213	88.5	48.6	33.7
20120214	67	52.8	73.4
20120215	76	43.5	50.9
20120216	64.7	30.6	27.4
20120217	53	59.6	31.8
20120218	79.6	75.3	59
20120219	83.2	62.4	59.4
20120220	64.2	33.3	60.7
20120221	58.3	65.6	54.9
20120222	98	61	54.8
20120223	91.8	77.4	55.2
20120224	82.1	52.6	55.5
20120225	70.2	65.4	53.1
20120226	55.2	71.6	53.8
20120227	93.9	79.5	65.2
20120228	70	68.8	78.6
20120229	52.9	25.8	68.5
20120301	83.5	69.9	51.9
20120302	96.5	42.2	46
20120303	72.9	49.5	74.5
20120304	65.8	38.5	76.4
20120305	56.4	41.7	46.6
20120306	74	39.4	26.7
20120307	56.1	35.1	73.5
20120308	78.4	46.5	48.1
20120309	56.4	52.8	72.1
20120310	52.5	65.7	37.1
20120311	70.3	54.3	62.4
20120312	79.7	66.2	76.4
20120313	92.9	30.6	44.6
20120314	100	68.5	47.7
20120315	78.3	79.2	71.4
20120316	56.3	36.8	74.3
20120317	95	80	32.9
20120318	98.4	42.7	84.6
20120319	70.5	49.6	53.5
20120320	64.2	47.3	54.2
20120321	55	44	80
20120322	72.3	37	32.5
20120323	91.9	57.5	44.6
20120324	70.2	70.3	47.3
20120325	96.5	79	60.4
20120326	98.2	42.5	67.1
20120327	58.3	61	51.7
20120328	86.5	72.7	82.4
20120329	93	55	62.2
20120330	71.5	33.4	60.2
20120331	83.7	57.4	27.1
20120401	74.8	53.9	64.9
20120402	62.1	29.6	25.5
20120403	53.8	70.1	69.3
20120404	96.3	26.6	89.8
20120405	94.1	40.9	41.3
20120406	59	27.5	36.2
20120407	77	73.8	60.2
20120408	67.3	33.4	53
20120409	67.3	70.5	37.3
20120410	95.8	53.9	70.1
20120411	79.3	23.9	64.5
20120412	76.2	40.1	45.1
20120413	92.3	68.8	87.4
20120414	61	73.2	67.7
20120415	97.2	66.7	88.9
