date	Facebook	Twitter	LinkedIn
20111001	76	32	80.1
20111002	99	23.9	49.7
20111003	97.2	50.9	30.5
20111004	56.7	43	87.9
20111005	57.8	38.9	70
20111006	70.3	73.3	77.5
20111007	78.1	37.1	36.4
20111008	58.3	41	30.4
20111009	84.9	53.9	55
20111010	90.2	60.7	51.8
20111011	92.9	47.3	74.1
20111012	89.9	38.3	67.5
20111013	66	41.3	52.5
20111014	90.8	70.7	60.3
20111015	56.1	57.1	60.2
20111016	51.6	72.4	80.1
20111017	88.4	35.5	85.3
20111018	53.3	72.4	28.4
20111019	65.7	63.1	74.8
20111020	59.8	60.3	74.7
20111021	84.2	26.9	35.7
20111022	88.2	75.6	46.3
20111023	60.6	60.5	42.1
20111024	96.4	49.5	49.2
20111025	85.3	37.6	71.2
20111026	59	63.1	41.6
20111027	78.7	44.4	66
20111028	64	20.4	66.2
20111029	90	57	52.1
20111030	75.6	31	66.1
20111031	89.1	66.5	86.8
20111101	72.6	51	46.3
20111102	68	46.4	31.5
20111103	80.6	45.5	59
20111104	75.6	75.9	62.8
20111105	83.1	33.7	28.3
20111106	78.1	43.7	61
20111107	55.7	47.1	27.9
20111108	94.6	54.9	58.4
20111109	82	54.3	85.5
20111110	73.3	37.4	49.4
20111111	71.3	31.8	31.9
20111112	84.1	58.9	76.6
20111113	62	23.2	58.2
20111114	68.5	60.7	32.3
20111115	55	39.3	63.1
20111116	96.5	71.4	58.4
20111117	85.5	28	46.7
20111118	96.5	54.4	39.4
20111119	54.7	38.7	54
20111120	83.4	63.3	81.3
20111121	52.8	59.4	72.3
20111122	75.9	70.1	47.2
20111123	70	41.1	44
20111124	53.6	47.3	74.8
20111125	53	38.2	41.6
20111126	67.6	62.7	50.4
20111127	77.8	49	81.9
20111128	83.2	35.8	60.4
20111129	70.9	54.9	50.5
20111130	92.7	23	88.6
20111201	76.6	53.1	26.9
20111202	99.6	54.8	37.8
20111203	75.2	71	81.1
20111204	89.9	58.8	65.5
20111205	75.6	46.4	61.4
20111206	66	61.7	71
20111207	63.5	73.2	37.1
20111208	83.6	36.7	44.7
20111209	51.4	25.2	61.7
20111210	91.5	37.2	86
20111211	88.3	48.8	84
20111212	91.3	73.3	77.5
20111213	99.7	66.9	70.4
20111214	90.8	43.1	62.9
20111215	90.2	53.8	26.8
20111216	92.9	45.3	52.1
20111217	55.7	35.5	82.7
20111218	69.7	33.5	69.7
20111219	61.5	42.9	32.2
20111220	87.9	70.2	50.6
20111221	58.1	23.9	87.9
20111222	60.3	51.2	40.4
20111223	67.1	31.5	63.7
20111224	65.1	66.2	76.2
20111225	82.4	63.2	76
20111226	81.7	58.8	44.9
20111227	96.3	20	76.6
20111228	60.4	41	29.3
20111229	68.1	29.3	39.1
20111230	50.5	33.9	43.8
20111231	71.7	70.4	30.1
20120101	76.9	61.6	27.8
20120102	64.6	76.8	67.7
20120103	67.1	59.4	68.8
20120104	88.7	24.3	74.6
20120105	92.7	52.6	67.3
20120106	71.5	69.1	52.2
20120107	51.8	78.2	83.7
20120108	62.2	33.9	36.9
20120109	82.1	54.6	25.2
20120110	97.3	77.2	63.7
20120111	56.2	62.6	76.3
20120112	54.2	74.3	54
20120113	73.3	72.1	43.6
20120114	62.6	53.9	80.9
20120115	74.3	28.1	25.2
20120116	58	28.8	51
20120117	69.6	20.7	88.2
20120118	71.5	36.2	70.3
20120119	80.1	42	33
20120120	64.3	75	42.7
20120121	58.5	44.8	79.2
20120122	78.1	64.7	63.4
20120123	63.9	76.7	74.3
20120124	83.1	24.8	58.1
20120125	82.7	33.8	43.6
20120126	70.6	29.4	66.5
20120127	94.5	37.4	39.6
20120128	97.1	44.5	45
20120129	99.4	48.7	60.4
20120130	50.4	73.6	32.9
20120131	81.9	54.3	45
20120201	72	29	46.7
20120202	52	67.9	31.1
20120203	79.6	24.3	57.6
20120204	64.4	50	61.9
20120205	98.3	56.2	34.1
20120206	79.9	42.8	88.5
20120207	72.5	39.6	49
20120208	96.8	50.6	72.9
20120209	88.5	35.2	74.3
20120210	90.4	53	51.1
20120211	56.4	43.7	79.3
20120212	62.9	72.3	67.7
20120213	57	75.5	25.6
20120214	68.5	51	35.2
