date	Facebook	Twitter	LinkedIn
20111001	100	41	26.5
20111002	72.9	76.6	43.4
20111003	56.8	70.8	25.3
20111004	92.6	51.7	65.6
20111005	84.5	37.5	29
20111006	68	44	55.8
20111007	52	25.9	30.6
20111008	78	77.8	61.8
20111009	75.2	69.7	33.4
20111010	85.1	76.9	88.9
20111011	88.2	20.2	84.1
20111012	93.6	78.6	78.6
20111013	84.8	79	85.4
20111014	72.7	55.8	63.5
20111015	70.7	39.2	58.7
20111016	87.5	43.7	76.7
20111017	77.5	38.5	52.2
20111018	99.4	77.5	56.1
20111019	52.6	58.8	74
20111020	52.7	67.2	67.2
20111021	52.2	45.3	55.6
20111022	83.8	47.7	79.5
20111023	76.8	70.6	66
20111024	95.4	57.4	41
20111025	99.9	46.2	31.3
20111026	56.6	55.9	38.9
20111027	55.9	56.6	59.6
20111028	96.9	63.5	89.1
20111029	61.9	69	72.8
20111030	78.9	62	89.6
20111031	64.7	63.9	72
20111101	94.3	50.3	32
20111102	63	28.3	32.2
20111103	91.5	65.2	65.5
20111104	70.4	48.9	68.6
20111105	55.3	48.9	84.3
20111106	95.1	35.2	34.9
20111107	71.4	65.2	89.2
20111108	75.7	60.8	70.4
20111109	72.1	55.4	54.1
20111110	75.6	42.6	56.9
20111111	69.5	25.3	58.1
20111112	99	75.4	53.3
20111113	99.1	66	33.3
20111114	56.4	54.1	25.6
20111115	54.2	47.5	51.5
20111116	68.1	47.6	64.2
20111117	59.2	40	75.8
20111118	57.8	28.7	87.8
20111119	87.2	70.2	69.2
20111120	50.9	34.2	63.9
20111121	94.7	59.1	68.2
20111122	52.9	48.6	37
20111123	55.2	77.4	41.4
20111124	99.3	56.1	52
20111125	86.8	54.5	83
20111126	76.7	63.4	77.5
20111127	83.5	70.1	79
20111128	80.5	30	48.1
20111129	68.8	30.5	78.7
20111130	86	77	32.7
20111201	55.8	70.6	86.4
20111202	71.1	40.1	30.7
20111203	58.8	35.4	83.6
20111204	94	30.7	85.7
20111205	65.1	67.9	69.1
20111206	88.8	78.5	56.8
20111207	86	30.2	50.1
20111208	55.7	70	28.1
20111209	72	55.3	63.5
20111210	86.9	66.7	79.3
20111211	85.9	43.2	63.5
20111212	77.4	26.7	42.1
20111213	93.3	71.2	47.3
20111214	86.8	64.9	75.9
20111215	89.6	42.5	26.9
20111216	77.8	64.3	55.8
20111217	97.9	30.7	56.9
20111218	72.1	42.7	69.2
20111219	81.9	35.7	88.9
20111220	73	59.8	45.6
20111221	83.6	39.7	89.3
20111222	71.9	77.8	69.8
20111223	53.8	66.2	28.7
20111224	62.8	28.9	83.4
20111225	61	22	82.7
20111226	55.9	55.7	40.1
20111227	72.9	76.7	34.2
20111228	91.2	65.9	29.8
20111229	68.1	66.7	70.5
20111230	66.9	38	40.7
20111231	99.3	30.3	46.3
20120101	58	68.8	77.1
20120102	91.5	29.8	89.1
20120103	66.9	70.6	73
20120104	68.8	78.2	42.1
20120105	54.8	58.2	29.3
20120106	69.8	36.1	65
