date	Facebook	Twitter	LinkedIn
20111001	83	66.2	82.6
20111002	83.8	38.1	66.4
20111003	95.2	77.9	40.7
20111004	96.9	35.9	30.3
20111005	90.1	25.3	89
20111006	52	53.2	77.7
20111007	96.4	68.6	25.8
20111008	83.6	47.4	29.8
20111009	50.4	24.8	43.5
20111010	68.1	53.8	62.6
20111011	92.8	65.4	45.1
20111012	89.3	40	69.2
20111013	91.7	54.5	38.4
20111014	60.6	33.3	27.5
20111015	56.9	45.9	37.6
20111016	75.4	44	71.5
20111017	72	27.9	65
20111018	68	44.8	87.3
20111019	83.4	25.4	79.6
20111020	81.2	39.3	32.5
20111021	98.1	57.7	65.9
20111022	98	29.5	52.6
20111023	54.6	70.8	79
20111024	58.5	65.6	66.1
20111025	93.8	35.2	57
20111026	94.2	37.3	69.7
20111027	68.4	54.1	73.2
20111028	75.9	20.7	87.3
20111029	93.9	45.7	26.5
20111030	83.5	29.7	71
20111031	54	75.1	61.4
20111101	66.5	75.7	77.2
20111102	88.2	26.7	32.5
20111103	80.7	74.9	81.8
20111104	50.6	24.6	52
20111105	94.5	57.1	50.8
20111106	90.8	22.1	78.5
20111107	73.8	64.7	52.8
20111108	73.3	56.3	33.1
20111109	66.1	46.3	86.9
20111110	59.2	40.4	57.4
20111111	66.2	63.6	30.1
20111112	92.2	78.7	28.4
20111113	59.4	65.9	60.8
20111114	88.9	27.6	57.2
20111115	50.2	60.4	44.4
20111116	98.6	36.8	76.8
20111117	97.4	23.4	89.3
20111118	58.5	44.8	86.8
20111119	87.1	50.9	78.7
20111120	84.5	52.8	36.3
20111121	91.2	61.9	28.1
20111122	99.1	20.3	33.2
20111123	68.2	64.4	80.1
20111124	59.5	37.4	27.5
20111125	76.4	27.8	71.3
20111126	65	66.5	77.3
20111127	83.4	40.4	49.1
20111128	80.3	59.5	51.7
20111129	67.9	65.8	79.6
20111130	78.8	71.1	43.3
20111201	69.7	68.6	44.4
20111202	68.3	66.5	52.1
20111203	60.5	30.8	73.8
20111204	77.1	33	50.2
20111205	67.5	60.9	69.9
20111206	89.2	63.6	61.1
20111207	96	27.1	43.2
20111208	80.7	33.1	32.1
20111209	57.6	25.2	71
20111210	71	63.3	75.1
20111211	76.4	64.6	74.3
20111212	66.4	49.5	41.5
20111213	54.7	71.3	74.5
20111214	84.5	73.8	80.1
20111215	94.7	62.3	53.6
20111216	62.4	67.2	70
20111217	82.9	59.5	47.3
20111218	61.1	37.3	65.6
