date	Facebook	Twitter	LinkedIn
20111001	88.1	67.2	43.7
20111002	97.4	58.4	35.9
20111003	70.4	29.8	39
20111004	71.2	76.6	77.1
20111005	78	78.2	43.6
20111006	80.1	38.7	66
20111007	99	35.1	70.4
20111008	77.6	36.3	29.2
20111009	75.5	68.4	26.9
20111010	60.8	65.8	35
20111011	60.7	47.8	25.9
20111012	65.7	65.5	32.2
20111013	81	68.5	76.5
20111014	78.8	29.8	78.3
20111015	81.9	55.6	73.5
20111016	50.6	39.7	62.2
20111017	94.6	33.7	41.2
20111018	54.6	62.1	56.6
20111019	76.8	24.2	85.9
20111020	50.7	49.3	47.3
20111021	91.8	46.7	47.9
20111022	73.3	40.2	77.7
20111023	51.1	55.8	28.1
20111024	77	44.1	42.4
20111025	62.3	79.8	58
20111026	85.8	39.8	71.8
20111027	81.5	63	56.5
20111028	53.6	20	58.2
20111029	86.4	67.3	62.6
20111030	55.6	23.9	77.7
20111031	95.5	66.2	37.8
20111101	95.6	58.1	32.6
20111102	73.9	76.2	37.8
20111103	72.8	58.8	38.1
20111104	75.8	67	79.6
20111105	67.1	65.1	43.1
20111106	90.5	68.5	83.4
20111107	63.4	67.2	45.8
20111108	65.3	64.5	89.9
20111109	96.9	27.2	75.3
20111110	97.8	60.9	62.2
20111111	66.9	49	33.7
20111112	97.3	68	89
20111113	74.6	24.3	32
20111114	80	56.1	71.9
20111115	57.8	78.6	46.1
20111116	75.7	72.9	70.2
20111117	53.7	38.1	79.9
20111118	83.7	72.1	28.2
20111119	86.5	49.2	83.6
20111120	80.8	31.9	27.7
20111121	86.6	61.1	66
20111122	95.4	62.3	80.5
20111123	63.6	35	73.8
20111124	74.4	30.8	53.7
20111125	64.6	58.3	51.1
20111126	81.7	54.5	73.3
20111127	63.7	39.6	66.5
20111128	81.3	38.6	82.2
20111129	91.1	50.6	43.9
20111130	67.4	59.5	35.7
20111201	72.3	62.1	34.7
20111202	70.2	42.4	27.3
20111203	59.8	50.5	72.4
20111204	75.5	20.3	41.6
20111205	53	30.2	28.7
20111206	59.8	57	88.2
20111207	65.2	60.4	39.5
20111208	56	69.1	57.4
20111209	57	50.3	67.5
20111210	75.5	39	83.2
20111211	69.4	41.9	47.3
20111212	76.7	45.8	71.4
20111213	53.1	44.4	58.1
20111214	81.1	35.3	56.7
20111215	50.1	68.3	50.3
20111216	51.8	45.1	79.8
20111217	50.5	65.1	36.1
20111218	60.5	56.9	43.7
20111219	55	28.7	41.2
20111220	83.1	42.8	29.4
20111221	91	56.4	45.3
20111222	74.7	66.1	67.6
20111223	88.1	54.1	87.3
20111224	89.3	73.3	73.1
20111225	85.3	53	78.5
20111226	69.5	49.8	76.9
20111227	52	75.8	53.8
20111228	97.7	24.6	65.5
20111229	68.1	65.2	46.2
20111230	57.6	26	48.4
20111231	72.1	46.1	86.7
20120101	73.5	44.9	87.2
20120102	96.9	42.3	67.6
20120103	51.2	76.3	29.8
20120104	76.5	70.7	69.1
20120105	62	27.3	79.2
20120106	69.9	62.2	74.6
20120107	70.1	71.3	89.6
20120108	58.2	63.5	31.7
20120109	68.4	65.2	50.7
20120110	88.3	58.5	62.2
20120111	99.6	22.5	75.8
20120112	93.2	33.3	55.8
20120113	50.5	46.5	47.2
20120114	86.8	74.6	42.4
20120115	73.8	67.4	61.7
20120116	90.1	73.1	26.6
20120117	98.6	37.9	41.9
20120118	58.6	55	59.9
20120119	59	59.8	80.5
20120120	96.3	20.6	48.7
20120121	78.4	48.3	42.5
20120122	98.9	43.6	40.3
20120123	62.3	54.5	27.7
20120124	85.9	21.5	61.5
20120125	62.2	42.9	55.8
20120126	92.7	39.1	26.1
20120127	90.5	36.9	86.9
20120128	53.2	45.2	52.4
20120129	71.5	55.6	74
20120130	71.6	77.5	49.9
20120131	84.1	67	87.7
20120201	88.6	61.7	54
20120202	58.2	71.4	47.1
20120203	64.3	32.1	69.6
20120204	51.6	27.9	38.2
20120205	60.2	71	25.2
20120206	98.4	69.4	73.3
20120207	65.7	60	62.1
20120208	78.6	29.2	44
20120209	77.4	75.1	35.9
20120210	74	73.7	54.9
20120211	51.2	45.9	48.4
20120212	87.8	54.6	36.4
20120213	60.8	21.4	74.9
20120214	66.1	65.4	27.1
20120215	58.1	53.3	81.8
20120216	73.6	24.8	57.8
20120217	93	48.6	32.4
20120218	87.5	23.4	83.2
20120219	63	72.7	38.1
20120220	87.1	64.2	31.5
20120221	76.8	44.6	85.4
20120222	76.8	65	61.2
20120223	76.2	56.3	83.8
20120224	96.3	42.6	87.4
20120225	74.2	46.5	87.1
20120226	80.5	56.3	63.2
20120227	81.5	31.2	35.7
20120228	96.7	41.7	48.2
20120229	51.9	72.7	74.9
20120301	98.2	41.7	85.4
20120302	94.3	77.8	49.7
20120303	96.4	35.7	56.7
20120304	58.2	77.2	42.7
20120305	64.9	23.9	26.2
20120306	63.5	27.3	69.8
20120307	52.6	77.4	37.7
20120308	57	56.1	50.5
20120309	96.1	22.4	39.9
20120310	92.8	44.7	86.6
20120311	81.6	57.5	41.5
20120312	92.2	35.6	54.1
20120313	71.3	22.6	33.3
20120314	55.8	29.7	67
20120315	71.1	29.8	71.8
20120316	59.3	33	73
20120317	79.1	23.7	28.1
20120318	79.6	24.9	41.6
20120319	65.7	50.8	80.6
20120320	58.2	79.3	76.6
20120321	50.7	37.1	56.2
20120322	73.3	40.5	60
20120323	53.6	43	32.1
20120324	52.6	34	79.5
20120325	56.1	63.3	75.3
20120326	74.1	46.2	42.7
20120327	79	73.8	68.7
20120328	60.4	61.5	85.9
20120329	87.6	79.6	68.6
20120330	89.1	40.9	86.3
20120331	53	58.8	31.2
20120401	51.2	61.1	46.2
20120402	56.5	66.3	33.7
20120403	54	48.6	80.7
20120404	91.8	59.5	55.7
20120405	74.6	57	54.6
20120406	76.8	43.3	25.3
20120407	87.5	72	38.6
20120408	53.2	65.2	70.2
20120409	95.5	22.6	37.7
20120410	62.4	26.2	88.8
20120411	63.7	33.1	63
20120412	99.7	70.9	42.4
20120413	60.5	64.8	74.3
20120414	61.5	51.4	51
20120415	78.9	30.6	51.3
20120416	61	58	37.3
20120417	70.6	42.3	77.3
20120418	53.7	61.7	47.3
20120419	86.8	44.7	78
20120420	71.9	31.3	51.5
20120421	86.1	24.6	39.7
20120422	85.1	40.8	61.3
20120423	78.1	79.3	58.2
20120424	60.6	79	47
20120425	86.9	63.9	34.5
20120426	65.6	67.7	70.6
20120427	79.1	50.5	25.9
20120428	61.6	69.1	86.3
20120429	65.2	28.9	63.1
20120430	54.6	20.8	49.8
20120501	94.1	52.9	81.7
20120502	79.9	28.3	82
20120503	74	70.6	47.3
20120504	58.6	41.6	60
20120505	66.1	72.9	46
20120506	79.1	37.9	39
20120507	57.1	70.2	60.7
20120508	67.1	47.4	65.8
20120509	83	78.8	82.6
20120510	70.6	31.9	39.6
20120511	86.2	79.3	52.2
20120512	50.7	64.7	33
20120513	51.2	38.1	50.3
20120514	77.6	71.7	71.9
20120515	78.3	42.3	70.3
20120516	97.9	31.4	79.5
20120517	63.7	72.4	87.1
20120518	99.4	44.2	56
20120519	70.9	30.4	44.2
20120520	62.8	58.6	61.2
20120521	87.7	58.7	52.3
20120522	51.1	74.9	38.6
20120523	77.5	58	64.9
20120524	52.5	42.8	57.1
20120525	95.1	28.2	69.5
20120526	52.8	65.6	65.6
20120527	100	51.7	29
20120528	75.7	36.4	28.8
20120529	62.8	72.4	58.9
20120530	95	67.1	27.3
20120531	72.7	60.4	42.3
20120601	79.9	29.2	53.4
20120602	66.6	25.4	45.8
20120603	53.4	75.3	27.4
20120604	62.6	78.4	55.9
20120605	50.5	68.7	57.7
20120606	94	34.9	42
20120607	79.3	63.6	74.3
20120608	51	50.1	66.9
20120609	98.8	30.1	59.3
20120610	51.1	68.4	54.4
20120611	90	38.3	36.7
20120612	71.5	27.1	72.2
20120613	60.9	25.7	39.2
20120614	88.2	68.2	56.8
20120615	84.4	30.1	25.2
20120616	80.2	27.2	66.6
20120617	86.4	45	61.9
20120618	69.9	62.5	87.5
20120619	58.8	48.6	64.5
20120620	81.3	45.5	53.8
20120621	87.9	52.7	26.3
20120622	63.3	23.9	51.7
20120623	98.5	33	61.1
20120624	84.4	68.1	36.9
20120625	79.7	37.8	54.8
20120626	70.8	44.9	38.8
20120627	68.1	66.2	36.5
20120628	69.2	56.8	86.8
20120629	77.8	41.7	57.6
20120630	81.9	20.9	84.2
20120701	78.9	44.3	71.5
20120702	80.3	57.4	65.5
20120703	89.1	75.6	65.4
20120704	68.3	69.9	57.3
20120705	54.9	30.1	59.7
20120706	79	38.8	76
20120707	61.9	78	62.5
20120708	98.6	39.3	32.7
20120709	75	61.7	83.6
20120710	77.1	35	48.6
20120711	74.8	61.9	68
20120712	96.3	50.1	73
20120713	64.6	45.5	79.3
20120714	76.2	78.9	53.6
20120715	88.6	61	42.5
20120716	67.9	68	40.2
20120717	63.3	63.7	58
20120718	89.1	78.1	73.8
20120719	85.1	26.2	43.1
20120720	73.4	31.6	53.2
20120721	92.2	46.7	72.4
20120722	67.1	23.1	50.3
20120723	69.2	61	73.7
