date	Facebook	Twitter	LinkedIn
20111001	95.3	47.5	82.9
20111002	92.2	38.7	39.1
20111003	54.2	33.6	49.9
20111004	88.9	42.3	33.8
20111005	59.1	53.5	65.7
20111006	71.8	75.1	47.7
20111007	60.7	60.7	34.6
20111008	70.9	75.1	85.8
20111009	96.6	67.2	63.4
20111010	77.5	61.5	32.7
20111011	80.4	59.6	61.6
20111012	73.3	28.6	50.5
20111013	51.4	37.1	89.5
20111014	81.2	70.5	68.8
20111015	59.2	62.4	35
20111016	68.8	35.2	73.6
20111017	73.3	52.4	67.1
20111018	52.4	62.5	55.3
20111019	69.7	70.7	89.4
20111020	57	74.3	52.1
20111021	58.4	37	65.5
20111022	55.5	22	27.9
20111023	78.8	66.5	53.5
20111024	67.5	68.7	54.2
20111025	51.8	24.2	38.5
20111026	65.6	21.7	45.2
20111027	91.2	77.3	54.8
20111028	95	43.2	70.2
20111029	87.8	20.3	69.7
20111030	78.7	63.4	70.4
20111031	93.1	26.1	89.2
20111101	90.2	75.6	34.1
20111102	93.1	28.2	53.8
20111103	90.1	25.9	77.5
20111104	71.1	55.9	82.5
20111105	83.1	69	86.4
20111106	77.6	20.1	81.1
20111107	68	50.3	88.5
20111108	80.7	38.7	85.6
20111109	61.7	37.4	69.2
20111110	88	70.8	62.7
20111111	94.5	71.9	43.7
20111112	91.2	39.3	52.4
20111113	82.8	32.2	40.4
20111114	98.4	79.3	57.7
20111115	51.8	30.1	59.4
20111116	79.4	23.4	76.1
20111117	89.3	41.6	86.6
20111118	64.7	70.9	37.8
20111119	77	64.4	62.7
20111120	99.4	41	77.8
20111121	58.2	72	49.9
20111122	66	28.9	28
20111123	60.1	68.3	74.2
20111124	52.8	73.5	84.6
20111125	56.2	21.1	47.8
20111126	58.6	65.5	74.5
20111127	62.3	69.6	62.8
20111128	83	56	89
20111129	75.7	33.4	62.3
20111130	68.4	62.5	69.5
20111201	76.9	28.6	57.9
20111202	70.5	44.2	42.9
20111203	77.6	48.3	62.6
20111204	95	71.8	52.3
20111205	60.2	43	29.9
20111206	53.7	75.4	83.8
20111207	66.2	69	41.6
20111208	54.2	64.8	43.2
20111209	55.7	29.3	26.4
20111210	98.9	55	49.4
20111211	69	45.1	65.3
20111212	83.5	22.8	27.6
20111213	87.4	52.8	77.8
20111214	96.5	56.7	69.8
20111215	99.9	55.8	42.3
20111216	84	35.3	59.1
20111217	97.4	73.3	33.6
20111218	56.4	47.6	58.6
20111219	77	46.8	25.8
20111220	76.3	79.3	57.2
20111221	51.6	38.3	78.1
20111222	79.6	28.6	86.4
20111223	73.2	47.5	39.7
20111224	93.6	47.2	48.6
20111225	90.4	54	71.1
20111226	79.5	78	42.5
20111227	72.7	62	48.3
20111228	87.5	55.5	38.8
20111229	97.6	62.4	88.4
20111230	78	31.3	49.7
20111231	58.6	21	35.3
20120101	71.2	41.4	67.2
20120102	63.5	76.2	47.9
20120103	52.8	24.4	37.4
20120104	57.8	66.6	30.2
20120105	75.9	60.8	87.1
20120106	66.9	40.5	79.7
20120107	58.8	71.7	67.4
20120108	66.5	58.6	50
20120109	94.9	54.8	29.4
20120110	51	71.7	47.2
20120111	50.5	29.4	78
20120112	82.9	73.5	53
20120113	89.9	76	81.5
20120114	68.7	23.3	71.8
20120115	79.3	32.7	55.9
20120116	70.4	65.1	67.5
20120117	85.1	44.8	44.3
20120118	70.8	29.6	79.1
20120119	90.9	58.1	81.8
20120120	78.4	37.2	73.7
20120121	74.8	24.6	74.9
20120122	64.5	75.2	88.7
20120123	97.9	79.4	87.9
20120124	93.5	39.2	59.3
20120125	67.4	27.5	52.4
20120126	64.4	62.7	44.8
20120127	52.9	70.1	75.2
20120128	97.9	72.7	88.5
20120129	93.2	38.9	68.9
20120130	64	47.1	66.1
20120131	96.6	58.2	41.7
20120201	58.7	61	25.6
20120202	99.1	51.9	64
20120203	99.7	67.4	41.4
20120204	55.9	27.4	46
20120205	74.2	30.4	51.3
20120206	56.9	21.6	64.9
20120207	84.7	25.1	34.3
20120208	67.4	52.1	46.6
20120209	50.8	53.6	53.3
20120210	58.1	68.6	88.9
20120211	86.5	60	33.7
20120212	51.2	36.9	71.6
20120213	87.6	45.3	70.1
20120214	72.4	62.1	67.3
20120215	73.2	73.3	58.4
20120216	59.6	51.2	34.4
20120217	90.9	40	64.3
20120218	93.6	53.4	81.6
20120219	54.1	47.1	62.2
20120220	76.5	28	74.2
20120221	96.7	21.5	33.2
20120222	98	27.6	36.4
20120223	89	52.1	63.7
20120224	91.1	57.3	87.8
20120225	73.6	55.3	35.3
20120226	90.6	26.4	33.7
20120227	91.6	31.3	76.4
20120228	72.8	44.8	46.4
20120229	82.3	31.9	32.7
20120301	64	69.5	54.4
20120302	51.5	51.5	68.2
20120303	70.8	24	88.8
20120304	67	73.4	39.6
20120305	95.3	25.8	81.9
20120306	50.8	31.9	46
20120307	63.7	74.1	33.9
20120308	52.6	71.9	88.3
20120309	55	64.6	51.3
20120310	98.7	59.1	40.7
20120311	84.7	51.8	34.9
20120312	74.3	69.2	44.1
20120313	54.5	36.3	47.6
20120314	61.2	60.6	86.5
20120315	97.1	67.9	68.6
20120316	62.2	69.8	83.6
20120317	55.1	31.9	67.7
20120318	58.7	63.4	35.6
20120319	94.1	58.5	45.3
20120320	59	35.1	47.8
20120321	66.2	53.5	32.6
20120322	58.2	52.1	82.6
20120323	99.9	40.8	54
20120324	92.6	30.4	42.3
20120325	54.9	23.2	78.3
20120326	84	51.9	83.9
20120327	95.4	63.7	58.9
20120328	81.7	73.3	42.5
20120329	94	42.4	56.1
20120330	73	50.1	42
20120331	94.4	62.5	55.5
20120401	96	75	31.5
20120402	72.2	30	27.4
20120403	98	24.3	34.8
20120404	94.3	69.1	68.4
20120405	99.9	22.7	53
20120406	92.7	31	32.8
20120407	85.8	47.6	75.3
20120408	78	25.6	88.4
20120409	50.8	75.4	81.1
20120410	83.7	24.2	75.2
20120411	53.7	20.9	64.9
20120412	90.4	73.7	46.1
20120413	80.2	60.6	65.6
