date	Facebook	Twitter	LinkedIn
20111001	75.9	49.4	81.3
20111002	79.7	32.9	64.6
20111003	95.4	47.3	64.6
20111004	85.3	54.6	52
20111005	67.3	28.9	62
20111006	91.9	67.2	26.1
20111007	76.3	38.4	42.4
20111008	81.1	52.1	60
20111009	67.1	70.4	31.6
20111010	77.1	59.4	78.3
20111011	65.9	79.8	48.9
20111012	91.3	34.9	86.2
20111013	82.9	39.6	51.3
20111014	71.4	58	65.4
20111015	98.3	25.9	53.6
20111016	64.7	79.7	39.4
20111017	95.7	30	89.2
20111018	65.4	64.7	46
20111019	68.8	45.7	83.8
20111020	78.8	76.8	31.4
20111021	91.9	40.7	54.2
20111022	98.3	41.2	86.6
20111023	55.5	32.1	85.7
20111024	53	72.9	33.8
20111025	80.8	23.8	78.9
20111026	96.3	54.7	49.7
20111027	91	55.5	51.1
20111028	68.4	45.2	66.7
20111029	76.6	31.9	41.9
20111030	79.2	48.8	61.4
20111031	59.4	31.8	49.4
20111101	68	38.4	43
20111102	66.6	74.7	54.1
20111103	61.7	53.3	65.2
20111104	93.4	75.6	70.6
20111105	64.4	33.1	79.8
20111106	93.2	75.5	55.1
20111107	73.2	79.4	54.3
20111108	96.4	67.5	33.4
20111109	78.7	56.6	74.5
20111110	73.1	77	47.6
20111111	71.3	33.4	40.1
20111112	65.4	25.9	59.5
20111113	85.2	26.1	73.9
20111114	79.3	67.5	27.7
20111115	75.5	36.4	49.2
20111116	88.1	54.4	67.6
20111117	88.5	73.3	37.9
20111118	60.6	55.4	33.2
20111119	92.8	42.2	52.3
20111120	91.5	72.4	88.8
20111121	56.5	61.9	70.6
20111122	74	64.5	82
20111123	64.4	41.3	51
20111124	64.4	21	32.1
20111125	84.8	66.7	46.7
20111126	55.1	78.4	34.3
20111127	54.7	42.5	30.9
20111128	81	34.3	40.4
20111129	67.9	44.8	29.5
20111130	50.3	24.4	59.7
20111201	60.2	41.7	74.1
20111202	99.2	63.4	37.6
20111203	51.3	49.4	85.3
20111204	87.6	67.3	53.1
20111205	61.8	67.7	77
20111206	59.4	67.2	60.6
20111207	90.7	54.9	43.5
20111208	59.7	42.9	45.1
20111209	96.5	34.7	82.3
20111210	58.3	75.9	42.4
20111211	92.2	25.1	83
20111212	95	40.3	81.6
20111213	72.6	32.8	87
20111214	73.1	40.5	55.1
20111215	59	72.6	30.6
20111216	90.5	65	58.4
20111217	54.4	64.8	74.4
20111218	60.3	35.8	69.7
20111219	69.8	20.8	68.9
20111220	84	70.7	63.5
20111221	90.1	40.3	41.5
20111222	56	69.4	44.8
20111223	63.3	78.2	27.4
20111224	87	31.1	26.1
20111225	59.2	57.3	56.4
20111226	99.5	63.6	52.4
20111227	54.2	73.9	82.9
20111228	57.3	21.3	67.3
20111229	63.9	40.5	50.5
20111230	59	43.3	83.2
20111231	56.1	46.2	42.8
20120101	82.3	38.4	27.4
20120102	89.1	26.6	30.1
20120103	81.4	77.9	83.1
20120104	85	53.3	38.2
20120105	52.1	72.7	85.7
20120106	56.3	47.4	89.6
20120107	92.1	67.7	59.9
20120108	70.4	74.9	59.2
20120109	93.3	37.2	36.4
20120110	96.9	59	62.3
20120111	71	65.5	31
20120112	96.4	37.4	55.3
20120113	91.8	67.7	46.8
20120114	69.3	69.2	78.4
20120115	77.9	22.2	40.7
20120116	50.7	50.4	48.7
20120117	77.9	22.1	71.6
20120118	94.3	71.2	46
20120119	53.4	66.9	84.6
20120120	54.1	45.3	31.5
20120121	99	69.5	35.4
20120122	85.4	54.4	38.9
20120123	69.6	32.6	37.9
20120124	96.6	46.5	71.7
20120125	55.3	58.5	35.3
20120126	97.7	63.2	62.6
20120127	56.7	55.4	75.9
20120128	55.2	24.1	72.5
20120129	72.6	35.8	76.9
20120130	70.3	31.9	76.4
20120131	79.2	59	58.5
20120201	68	79	65.9
20120202	88.5	23.7	25.6
20120203	88.2	27.1	44.9
20120204	87.7	73.2	56.3
20120205	90	30.5	29.5
20120206	75.7	47.7	66.3
20120207	88	27.2	50.1
20120208	70.4	37.9	36.9
20120209	54.4	55.1	42
20120210	78.8	23.5	78.4
20120211	82.3	49.3	42.3
20120212	80.2	20.7	42.3
20120213	67	68.1	28
20120214	87.4	73.4	39
20120215	78.5	52.6	41.9
20120216	62	40	45.5
20120217	55.2	37.6	35.6
20120218	73.7	43.1	56.7
20120219	66.3	69.6	46
20120220	55.1	62	39.5
20120221	100	59.3	38.1
20120222	66.2	46.9	68.2
20120223	98.7	53.5	59.7
20120224	95.5	22.8	65
20120225	73.3	44.9	74.9
20120226	86.9	33.7	75.7
20120227	92.9	73.9	26.9
20120228	94	24.8	80.8
20120229	57.5	71.7	45.2
20120301	76.3	21.9	47.4
20120302	74.4	48.4	82.6
20120303	63.9	77.9	32.2
20120304	71	44.8	35.6
20120305	80.4	73.9	33.6
20120306	90.2	62.4	53.2
20120307	74.5	75.3	87.5
20120308	75.2	20.8	42.5
20120309	76.3	40.7	75.5
20120310	66.1	45.1	58.2
20120311	54	33.8	33.2
20120312	88.4	24.4	31
20120313	59.8	65.6	70
20120314	82.9	33.2	35.7
20120315	68.5	28.6	70.8
20120316	80.5	46.5	40.1
20120317	70.8	78	77.3
20120318	96.5	31.3	44.3
20120319	50.3	33.3	58.5
20120320	74.5	74.4	39
20120321	81.7	45.9	64.2
20120322	76.8	39.8	73.2
20120323	52.5	53.5	89.3
20120324	79.5	64.9	89.5
20120325	73.3	59.4	25.4
20120326	91	39.8	43.8
20120327	52.3	46.2	33.7
20120328	80.1	68.3	65.1
20120329	73.5	32.6	60.4
20120330	55.2	24.8	35
20120331	81	72.7	28.8
20120401	56.9	55.7	65.2
20120402	83.3	75.7	48.5
20120403	80.5	49.9	49.5
20120404	53.4	56.9	62.3
20120405	64.2	77.3	61.9
20120406	66.1	66.4	59.2
20120407	87.7	28	69
20120408	72.1	77.7	47.4
20120409	88.2	63.7	46.6
20120410	74.3	71.4	36
20120411	66.3	22.7	40.6
20120412	83	26.6	33.5
20120413	62.5	79.1	59.3
20120414	88.7	26.6	85.1
20120415	51.9	49.4	86.5
20120416	55.1	39.1	62
20120417	64.2	36	67.4
20120418	95.6	28.4	38.4
20120419	98.3	71.8	60.6
20120420	60.9	51.3	27.7
20120421	67.5	43.1	52
20120422	76.5	62.6	75.4
20120423	67.6	47.5	43.1
20120424	81.9	71.3	31.5
20120425	77.9	33.9	74.8
20120426	85.7	45.1	34.7
20120427	65.2	48.9	51.5
20120428	64.1	54.2	87.2
20120429	73	29.1	31.6
20120430	90.4	20.2	45.1
20120501	93	72.6	40.6
20120502	99.3	72.9	60.8
20120503	74.9	39.5	36.4
20120504	98.5	70.1	40.3
20120505	97	44.8	28.4
20120506	55.9	33	68.5
20120507	79.1	62.3	37
20120508	99.5	23	73.6
20120509	83.9	54.7	55.6
20120510	85.1	41.8	66.5
20120511	64.8	78.2	62
20120512	92.3	71	36.6
20120513	80.8	64.7	76.7
20120514	78	22.9	30.8
20120515	61.2	22.3	88.9
20120516	76.4	48.4	47.2
20120517	65.3	27.1	74.3
20120518	96.2	44.7	43
20120519	96.2	55.2	87.9
20120520	80.5	38.1	46.8
20120521	88.1	79.2	39.8
20120522	54.9	73.8	56
20120523	50.5	27.9	77.6
20120524	54.1	59.4	67.6
20120525	65.4	64.1	47.9
20120526	78.9	22.9	86
20120527	94	27.7	31.4
20120528	96	63.4	32.7
20120529	65.2	29.8	67.4
20120530	60.5	63.2	84.5
20120531	77.8	56.4	55.4
20120601	96.6	30.4	32.5
20120602	62	54.5	60.2
20120603	91.9	31.9	41.3
20120604	58.7	71.4	27.2
20120605	66.9	74.3	68.1
20120606	86.2	29.6	76.7
20120607	97.7	63.4	27.6
20120608	79	57.7	26.2
20120609	81	48.9	76.6
20120610	91.8	29.6	55.6
20120611	92.7	76.4	80.4
20120612	78.8	43	29.7
20120613	55.4	62.4	73.1
20120614	68.2	39.1	73.3
20120615	90.1	64.3	26.3
20120616	63.9	24.3	75.8
20120617	92.3	71.7	54.5
20120618	71.5	26.8	39
20120619	84.7	20.8	57.1
20120620	55.5	77	81.9
20120621	59.1	27.2	85.1
20120622	98.8	36.8	34.2
20120623	86.2	70.6	75.3
20120624	96.7	75.5	64.4
20120625	81.5	56	79.2
20120626	82.3	27	31.8
20120627	78.3	53.8	50.4
20120628	89.7	77.1	80.2
20120629	74.4	55.4	25.5
20120630	76.7	24.7	66.5
20120701	76.7	35.2	55.1
20120702	89.8	76.6	48.8
20120703	84.8	45.9	37.6
20120704	66.1	28.7	43.5
20120705	64	28.7	78.6
20120706	81.5	63.9	75.6
20120707	73.2	54	67.9
20120708	64.5	49.4	63.3
20120709	73.3	45.7	38.4
20120710	59.5	53.6	72.3
20120711	56.7	33.8	31.4
20120712	84.9	75.4	60.7
20120713	98	78.4	89.9
20120714	92.9	56.3	71.4
20120715	91.2	39.6	47.9
20120716	53.6	57.5	89.5
20120717	51	47.6	29.2
20120718	94.4	22.6	35
20120719	64.8	76.5	55.1
20120720	91.8	59.4	51.3
20120721	50	45.4	34
20120722	72	28.7	31.4
20120723	79.6	22.1	58.7
20120724	92.5	66.2	70
20120725	52.1	61.8	42.3
20120726	86.4	74.3	35.9
20120727	96.8	66.6	79.7
20120728	65.5	79.4	50.6
20120729	64.2	67	79.7
20120730	90.3	62.7	35.2
20120731	68.1	23.4	87.9
20120801	76.8	49.2	78.5
20120802	53.3	57	69.4
20120803	73.9	53.1	80.6
20120804	81.2	58.7	87.7
20120805	56.6	34.2	68.3
20120806	82.2	35.2	69.8
20120807	92.3	34.4	59.5
20120808	91.8	51.3	60.7
20120809	51.9	77.5	57.9
20120810	95	77.4	61.5
20120811	98.2	32	65.9
20120812	69.3	71.1	59.7
20120813	96.8	70.7	77.1
20120814	78.4	32	30.7
20120815	57.7	35.9	35
20120816	79.6	28.3	29.9
20120817	78.4	54.5	76.8
20120818	72.9	25	57.3
20120819	71.2	21.6	40.3
20120820	80.5	21.5	41.7
20120821	70.2	26.8	82.2
20120822	58.6	59.1	49.5
20120823	76.3	32.5	50.9
20120824	55.5	35.5	55.9
20120825	60.1	67.4	82.1
20120826	92.6	57.6	68
20120827	56.9	54.9	25.8
20120828	59.3	38.9	34.3
20120829	97.5	30.2	76.9
20120830	70.1	23.2	36.8
20120831	84.5	74.7	54.1
20120901	52.1	31.2	39.1
20120902	83.9	32.4	58
20120903	86.6	41	43.4
20120904	64.6	46.5	51
20120905	95.7	69.5	27.4
20120906	82.6	30.8	80.3
20120907	75	36.1	26
20120908	65.8	44.8	85.8
20120909	87.4	64.8	88.3
20120910	72.6	75.5	71.7
20120911	93.1	36.5	49.4
20120912	54.7	27	70.4
20120913	57.4	38.1	51.8
20120914	71.3	69.8	60.3
20120915	85.9	69.5	33.6
20120916	62.3	79.2	78.9
20120917	52.8	25.7	59.6
20120918	50.7	28.4	74.2
20120919	98.4	23.9	71
20120920	57.2	32.8	29.7
20120921	85.1	24.5	52
20120922	73.3	21.9	68.4
20120923	63.7	45.5	65.9
20120924	99.7	45.1	61.7
20120925	64.8	67	87.7
20120926	71.5	78.8	43.8
20120927	90.9	58.6	27.7
20120928	52.8	70.1	78.4
20120929	99.5	35	34.5
20120930	96	74.2	65.2
