date	Facebook	Twitter	LinkedIn
20111001	67	61.3	63.5
20111002	77.7	26.2	39.7
20111003	89.7	59.6	85.3
20111004	92.5	30.7	78.6
20111005	70.2	64.8	33.5
20111006	73.1	61.2	87
20111007	76.2	38.4	28.1
20111008	72.7	30.7	59.1
20111009	54.8	51.3	68.6
20111010	52.2	53.8	81.9
20111011	81.1	59.3	46.2
20111012	52.9	37.6	63.3
20111013	99.6	29.8	49.2
20111014	51.6	62.8	78.9
20111015	87.3	72.2	55.8
20111016	79.3	74.2	51.2
20111017	77.1	57.3	78.7
20111018	98.5	54.5	27.5
20111019	92.4	27.6	84
20111020	99.8	70.7	62.5
20111021	58.4	75.1	65.3
20111022	84.5	76	30.4
20111023	66.4	58.4	84.1
20111024	69.5	27.8	29.1
20111025	79.8	24.2	39
20111026	58.5	54.7	44.4
20111027	84.7	56.6	47.6
20111028	87.1	61.2	88.7
20111029	98	29.6	66.5
20111030	63.9	35.6	34.3
20111031	61.1	53.8	55.2
20111101	88.7	58.2	65.4
20111102	57.4	25.3	57.2
20111103	94.6	45.3	88.6
20111104	56.1	56.9	40.8
20111105	71.9	56.9	35.2
20111106	95.6	48.5	77
20111107	93.9	33.2	77.6
20111108	85.1	28.7	78.2
20111109	77.4	57.3	59.4
20111110	60.9	33.1	32.4
20111111	74.3	40	55.1
20111112	52.3	42.1	55.8
20111113	51.5	74	26.9
20111114	68.2	33	58.3
20111115	79.7	22.9	70.4
20111116	84.3	39.9	70.1
20111117	64.9	42.1	30.3
20111118	67.3	65.6	80.4
20111119	66.8	28.4	75.3
20111120	89.5	69	76.6
20111121	63.4	24	70.9
20111122	98.6	23.5	81.8
20111123	81.2	21.8	86.2
20111124	66.9	58.3	63.6
20111125	74.9	29.1	36.5
20111126	62.3	47.8	64.4
20111127	51.5	64.2	50.3
20111128	90.5	72.9	70
20111129	97.3	75.5	49.3
20111130	74.2	68.7	63.6
20111201	77.9	26	33.3
20111202	94.4	51.1	75.1
20111203	94.1	43.4	46
20111204	85.3	48	53.6
20111205	89.8	68.3	45.3
20111206	82.1	77.5	57.1
20111207	69.7	71.3	52.8
20111208	88.2	49.2	35.3
20111209	96.8	60.9	58
20111210	86.7	79.6	54.8
20111211	53.1	23.4	83.3
20111212	86.8	48.9	81.1
20111213	59.3	67.2	50.7
20111214	56.1	59.9	71.2
20111215	61.1	40.3	80.7
20111216	53.4	56.5	40.7
20111217	52.6	67	52.8
20111218	88.4	51.9	47.4
20111219	69.8	40.3	67.7
20111220	98.5	34.3	49.6
20111221	50.2	25.7	84.3
20111222	92.5	70.9	66.8
20111223	65.8	64.5	81.8
20111224	78.3	66.8	49.1
20111225	50.7	40.9	27.7
20111226	98.6	30	45
20111227	55.3	52.4	57.2
20111228	65.4	29.9	42.5
20111229	74.2	55.9	49.4
20111230	94.7	69.7	40.3
20111231	53.8	40.8	77.4
20120101	56	49.6	79.8
20120102	52.1	70.7	40.8
20120103	62.3	72.9	49.9
20120104	82.3	34.3	54.6
20120105	91.2	40.1	66.7
20120106	86.2	39.5	64.7
20120107	88	74.2	36.5
20120108	95.6	58	39.5
20120109	65.1	31.8	83.1
20120110	51.6	26.4	81.6
20120111	75.1	33.7	25.2
20120112	66	62	88.5
20120113	95.7	58.9	71.2
20120114	68.4	46.6	30.2
20120115	80	25.9	41.6
20120116	99.4	68.7	45.8
20120117	83.9	56.3	31.9
20120118	67.8	46.3	34.5
20120119	99.7	32.5	54.9
20120120	57.4	51.5	52.5
20120121	84.5	36.4	47.3
20120122	76.6	48.6	54
20120123	83.6	30.3	87.1
20120124	60.7	56.2	61.4
20120125	66	35.7	30.1
20120126	96	77.1	49.9
20120127	95.9	43.7	67
20120128	99.4	54	78.5
20120129	81.7	40.3	80
20120130	99.3	66.4	50.9
20120131	52.9	71.5	45.7
20120201	74.5	36.8	60.4
20120202	79.6	41.6	46.9
20120203	73.4	29.8	84.7
20120204	61.4	38.7	26.7
20120205	95.4	24.8	82.9
20120206	74.7	71.8	25.6
20120207	79.5	33.8	72.4
20120208	80.9	42.6	27.6
20120209	59.8	76	35.5
20120210	58.6	67.9	57.8
20120211	57.1	70.3	45.8
20120212	87.2	23.6	81.2
20120213	89.4	27.9	43
20120214	72.1	77.1	50.5
20120215	98.2	35.4	66.8
