date	Facebook	Twitter	LinkedIn
20111001	65.3	27.7	61.5
20111002	51.3	33.4	85.7
20111003	82.2	30.2	37.9
20111004	51.7	49.1	30
20111005	91.2	75.2	70.8
20111006	96	42.8	54.7
20111007	55.3	58.6	53.2
20111008	97.1	32.2	45.5
20111009	53.5	33	39.9
20111010	65.8	66.3	28.7
20111011	73.5	43.8	31.2
20111012	72.5	24.2	48.3
20111013	79.1	63.6	79.8
20111014	58.6	57.4	25.5
20111015	54.5	69.4	46.1
20111016	55	44.1	41
20111017	90	76.5	31.9
20111018	78.5	41.3	59.6
20111019	84.4	21.9	67.4
20111020	88.6	71.5	25.3
20111021	55.9	63.2	51
20111022	51.6	58.9	28.7
20111023	60.7	75.4	45
20111024	68.2	25.3	77.6
20111025	84.9	20.3	71
20111026	86.3	67.1	50.6
20111027	86.5	62	64.1
20111028	81.5	74.8	46
20111029	76.1	33.4	70.8
20111030	51.6	67.5	49.2
20111031	88.8	36.1	81.2
20111101	81.5	52.2	73
20111102	60.7	69.8	69.3
20111103	50.7	71.1	51.7
20111104	87.8	23.3	54.6
20111105	65.6	37.4	25.3
20111106	55.4	51.7	74.9
20111107	62	50.8	58.9
20111108	90.8	64.6	47.1
20111109	86.4	45.4	73.6
20111110	53.2	57.8	88.6
20111111	75.6	30.5	43.1
20111112	86.8	44.1	72.4
20111113	68.9	45.5	50
20111114	77.8	25.7	62.5
20111115	97.4	41.9	37.7
20111116	65.9	52.7	43.9
20111117	58.7	42	84.8
20111118	74.8	62.9	41.7
20111119	97.8	37.7	29.8
20111120	89.2	54.7	52.2
20111121	76.9	68.4	86.6
20111122	66	78.6	66.2
20111123	79.6	32.8	75.4
20111124	83.7	30.8	30.3
20111125	57.3	62.2	46.7
20111126	91.4	23.5	61.2
20111127	89.2	21.3	86.3
20111128	87.5	24.4	72.2
20111129	88.1	72.8	31
20111130	63.8	51.1	73.2
20111201	97.2	62.3	35.4
20111202	70	63.1	73.8
20111203	87.2	51.2	87.1
20111204	60.8	26.7	38.6
20111205	72.7	21.4	28.4
20111206	52.7	44.6	27.9
20111207	82.4	31.8	33.7
20111208	80.5	37.5	28.3
20111209	76.8	79.7	79.1
20111210	54.7	37.6	31.3
20111211	73.7	76.3	75
20111212	83.7	71.8	25.2
20111213	99.7	60.5	75.9
20111214	88.7	66.3	36.3
20111215	52.2	69.8	62.1
20111216	99.3	37.2	47.5
20111217	67.1	62.3	37
20111218	82.3	71.1	28.1
20111219	99.8	58.9	35.3
20111220	67.7	29.6	64.4
20111221	90.3	29.4	36.7
20111222	99.1	72.2	77.7
20111223	95.9	21.9	62.8
20111224	96.5	40.7	63.2
20111225	85.4	29.2	30.5
20111226	85.4	29.3	41.1
20111227	55.5	61.2	60.2
20111228	53.8	35.7	39
20111229	86.4	67.3	66.7
20111230	66.6	24.7	42.5
20111231	73.4	27.9	76.8
20120101	74.5	70.9	70.3
20120102	76.8	68.9	70.6
20120103	69.7	22	85
20120104	50.2	48.2	41.9
20120105	54.3	59.7	56.8
20120106	66.4	58	81.7
20120107	94.9	68.5	54.8
20120108	74.8	62.2	44.4
20120109	56.2	59.8	64.2
20120110	85.5	23	62.4
20120111	62.9	73	88.3
20120112	87.7	24.8	70.8
20120113	54.8	28.7	70.6
20120114	73.9	40.4	30.1
20120115	62.7	27.7	32.3
20120116	51.5	78.2	82.4
20120117	93.1	39.6	59.4
20120118	88.9	24.3	86
20120119	74.3	45	46.8
20120120	52.6	67.6	70.7
20120121	77.5	26.3	35.2
20120122	57	34.2	51.7
20120123	91.1	58.8	42.1
20120124	59.1	47.5	61.9
20120125	84.9	48.7	59.6
20120126	94.3	29.5	43.5
20120127	68.7	60.2	62.3
20120128	60.5	71.8	35.1
20120129	57.8	26.5	81.1
20120130	71.7	60.6	68.2
20120131	72.6	58.1	88.5
20120201	63.7	74.4	48.1
20120202	62	53.6	44.3
20120203	97.8	28.1	37.8
20120204	51.8	34.6	73.4
20120205	70.2	53.2	84.3
20120206	82.4	62	53.4
20120207	97.1	58	39.6
20120208	62.8	44.3	45.9
20120209	60.1	45.4	40.2
20120210	80.6	64.7	35.8
20120211	55.8	25	51.6
20120212	68.1	68.8	56.8
20120213	57.8	45.2	84.6
20120214	91.1	48.8	43.2
20120215	62.9	52.4	41.9
20120216	85.3	75.9	64.2
20120217	53	73.7	53.7
20120218	79.9	27.9	54
20120219	69	39	33.9
20120220	61.5	72.7	50.5
20120221	54.6	70.5	62.7
20120222	90.4	44.3	88.7
