date	Facebook	Twitter	LinkedIn
20111001	66.2	74.8	27.8
20111002	83.7	62.3	43.6
20111003	68.1	77.5	72.5
20111004	71.9	37.1	84.3
20111005	84.5	46.6	37.8
20111006	51.9	48.4	35.1
20111007	75.5	37.2	71.7
20111008	59.1	65.8	47.1
20111009	51.6	63.7	88.1
20111010	78.5	77.6	25.1
20111011	59.4	70.1	60.9
20111012	82.6	21.8	46.6
20111013	90.5	32.1	31.9
20111014	80.9	48	40.9
20111015	91.3	23.4	33
20111016	62	49	41.4
20111017	62.5	31.1	75.1
20111018	75.9	56.3	67.6
20111019	50.1	43.8	48.2
20111020	62.9	48.8	73.4
20111021	92.6	46.8	43.1
20111022	100	78.1	25
20111023	50.5	57.3	59.5
20111024	98.7	70	58.7
20111025	57.8	45.4	34.8
20111026	98.2	55.6	32.5
20111027	97.2	22.9	36.5
20111028	63.4	41.5	80.3
20111029	63.1	55.6	88.6
20111030	57.2	62.6	85.9
20111031	89.1	31.6	28
20111101	70.9	76.9	41.7
20111102	79.9	51.1	64.3
20111103	57.4	36.3	87.6
20111104	98.3	40	65.9
20111105	76	61.4	81.9
20111106	72.5	22.9	33.2
20111107	68.6	66.5	68.1
20111108	100	48.2	74.5
20111109	51.2	50.5	26.3
20111110	87.1	30.3	38.4
20111111	64.8	71.5	45.8
20111112	76.8	32.1	75.2
20111113	95.7	70.7	54.2
20111114	78.2	22.3	38.5
20111115	83.3	31.6	78.8
20111116	74.2	21.1	72.1
20111117	50.6	73.1	77.1
20111118	98.4	58.6	66.8
20111119	51.9	29.5	84.4
20111120	80.3	49.7	38.2
20111121	95.3	68.3	73.4
20111122	75.4	59.7	53.6
20111123	61.3	67.6	45.9
20111124	56	74	36.4
20111125	50.5	53.7	44.5
20111126	51.5	77.1	58.5
20111127	54.9	52.4	51.6
20111128	90.9	62.7	52.1
20111129	62.6	62.7	81
20111130	61.3	32.5	37.1
20111201	64	36.9	71.7
20111202	58.9	52.8	25.8
20111203	95.1	66.6	52.2
20111204	72	37.9	81.5
20111205	61	28.6	87.7
20111206	98.7	79.9	51.2
20111207	50.1	58.1	54.5
20111208	61	63.3	65.5
20111209	56.8	56.1	88.3
20111210	95.5	73.1	59.3
20111211	98	46.8	27.5
20111212	56.7	66	89.3
20111213	67.5	41.6	29.4
20111214	86.9	44.2	57.7
20111215	87	57	65.4
20111216	66.4	68.4	67.5
20111217	74.3	51.3	49.2
