date	Facebook	Twitter	LinkedIn
20111001	56.1	74.5	50.9
20111002	95.3	42.2	89.4
20111003	93.1	66.5	51.9
20111004	63.1	42.3	79
20111005	65.6	30.8	57.3
20111006	95.8	35.9	63.3
20111007	57.7	78	34
20111008	69.2	59.8	52.2
20111009	62.4	34.9	64.2
20111010	77.5	61.1	66.3
20111011	96.6	58	41.5
20111012	75	44.7	82
20111013	53.6	34.3	61.4
20111014	75.5	23.2	61.9
20111015	84.8	74.9	36.5
20111016	53.3	45.4	40.4
20111017	60.7	44.2	67
20111018	55.5	50.4	46.9
20111019	76.3	40.6	64.5
20111020	95	31.7	64.5
20111021	77	39.7	63.9
20111022	56.8	52	34.7
20111023	95.5	47.3	75.8
20111024	64.8	79.7	71.1
20111025	99.6	23.3	39
20111026	65.6	59	83.7
20111027	67	52.6	58.8
20111028	99.9	35.4	46.4
20111029	62.5	56	90
20111030	95.8	56.8	78
20111031	57.7	25.1	65.3
20111101	77.7	64	41.2
20111102	94.4	44.7	50.4
20111103	50.5	59.4	73.3
20111104	56.4	39.1	27.8
20111105	78.2	77.4	30.3
20111106	76.4	32.1	28.6
20111107	90.8	36.9	69.7
20111108	66.5	49.5	52.6
20111109	64.7	48	62.3
20111110	75.7	63.1	72.9
20111111	84.7	23.9	25.3
20111112	86.2	35.6	51.5
20111113	58.1	40	79.6
20111114	78.6	74.5	37.3
20111115	63.7	20.9	76.1
20111116	51.4	65	43.3
20111117	81.5	47.8	26.9
20111118	99.7	20.1	67.7
20111119	60.7	77.1	87.1
20111120	66.1	67	53.7
20111121	97.2	31.6	87.2
20111122	90	79.9	53.4
20111123	53.2	46	59.7
20111124	96	65.5	35.9
20111125	63.6	59.4	35
20111126	71.5	24.2	89.9
20111127	89.5	62.6	65
20111128	99.4	61.5	39.3
20111129	85.9	47.3	81.4
20111130	71.2	42.5	36.1
20111201	70.3	32.8	58.8
20111202	70.8	75.5	73.5
20111203	85.1	26.2	58.1
20111204	80.4	66.2	83.6
20111205	62.3	25	67
20111206	72.5	79.1	25
20111207	62.2	65.2	26.7
20111208	64.7	77	30
20111209	67.6	34.1	58
20111210	78.2	26.5	51
20111211	80.1	63	73.2
20111212	98.4	49	84
20111213	75.4	46.8	55.9
20111214	55.5	75.6	49.1
20111215	89.9	36.1	31.8
20111216	99.5	35.9	50
20111217	69.4	20	69.9
20111218	59.6	68.3	59.4
20111219	76.8	33.7	84.3
20111220	90.2	72.6	44.7
20111221	67.1	40.4	69.8
20111222	66.3	41.3	68.7
20111223	98.7	70.2	53.8
20111224	57.2	41.8	47.3
20111225	65.4	36.8	38.3
20111226	65.9	55.3	30.6
20111227	94.5	44.5	29.1
20111228	87	74.4	72.4
20111229	67.6	34.7	68.3
20111230	96.6	35.1	68.3
20111231	86.7	36.9	73.3
20120101	52.1	75.5	86.7
20120102	66.8	21.9	82.6
20120103	89.4	67.9	48.7
20120104	51.9	52.2	27.7
20120105	71.6	24.2	27.3
20120106	61	57.7	54.3
20120107	50.9	52.8	53.8
20120108	86.2	21.1	25.8
20120109	72.6	58.3	85.2
20120110	74.4	52.8	43.2
20120111	59.2	48.6	27.9
20120112	89.1	27.5	61.8
20120113	76.6	73.9	49.4
20120114	60.1	32.7	83.4
20120115	97.2	31.6	63.4
20120116	91.2	73.7	74.7
20120117	85.9	69.3	86.5
20120118	59.5	71.9	83.2
20120119	98.6	53.4	56.2
20120120	51.4	72.7	61.2
20120121	95.3	63.2	61.5
20120122	93.3	50.9	28.7
20120123	81.4	48	64.9
20120124	97.6	37.1	55.1
20120125	54.3	38.4	32.6
20120126	57.8	45.5	71.9
20120127	94.8	38.3	40.3
20120128	86.2	75.6	70.1
20120129	54.2	59.1	68.7
20120130	54.5	57.7	76.7
