date	Facebook	Twitter	LinkedIn
20111001	78.5	75.5	25.4
20111002	64.1	62.6	77.1
20111003	75	48.8	44.6
20111004	77.7	66.9	62.8
20111005	73	72.1	40.9
20111006	59.1	54.9	62
20111007	64.7	58.1	34.4
20111008	62.5	79.7	79
20111009	89	78.2	36.4
20111010	65	26.7	50.1
20111011	54.3	79.4	73.1
20111012	97.3	47.6	82.7
20111013	74.7	24	79.7
20111014	85.6	71.1	62.4
20111015	70.5	74.1	28.4
20111016	65.2	60.5	39.1
20111017	99.2	37.3	84.9
20111018	84.3	60.6	26.5
20111019	91.8	65.4	86.2
20111020	83	53.8	72.8
20111021	84	51.3	50.5
20111022	90.8	79.4	49.8
20111023	96	47.3	69
20111024	52.6	64.7	51.7
20111025	71.5	20.6	25.5
20111026	52.3	32.2	37.3
20111027	57.1	36.8	57.6
20111028	68	41.4	28.7
20111029	56.8	58.5	30.7
20111030	53.3	20.1	54.7
20111031	67.5	61.5	74.9
20111101	54.2	73.3	77.8
20111102	56.8	42.3	33.3
20111103	79.7	73.8	36.3
20111104	60.9	51.9	34.9
20111105	62.3	54.2	78
20111106	92.5	39.3	72.3
20111107	51	53.5	42.8
20111108	59.4	28	51.8
20111109	96.3	67.4	62
20111110	58.4	21.8	46.1
20111111	97.7	46.7	59.3
20111112	71.7	70.3	40.5
20111113	96	22.6	57.6
20111114	54.7	42.2	41.9
20111115	56.7	32.5	82.5
20111116	66.5	46.2	67
20111117	51.7	75.6	38.7
20111118	58	57.4	67.2
20111119	60.9	42.9	74.1
20111120	95	80	54.3
20111121	75.2	59	83.8
20111122	53.3	32.6	62.1
20111123	97.9	71.6	72.7
20111124	90.2	58.4	44.8
20111125	51.9	56.1	59.8
20111126	54.9	55.4	30.1
20111127	62.6	60	42.1
20111128	65.2	60	76.7
20111129	50.3	46.3	32.6
20111130	89.5	68.6	58.8
20111201	78.2	49.5	72.9
20111202	86.7	59.9	32.8
20111203	61.7	33	73.2
20111204	66.8	33.6	69.3
20111205	62.3	52.3	61.1
20111206	99.9	78.2	78.5
20111207	97.3	23	76.2
20111208	63.3	72.5	40.6
20111209	60.9	27.5	64.1
20111210	77	24.1	30.6
20111211	66.2	68.8	77.7
20111212	93.5	20.3	27.3
20111213	76.5	56.3	69.3
20111214	67.1	43.6	32.3
20111215	60.5	42.3	66.6
20111216	93.5	36.9	68.2
20111217	66	22.6	50.4
20111218	70.5	22.5	28
20111219	70.8	71.1	34.5
20111220	93.3	28.1	82.4
20111221	81.1	31.7	85.5
20111222	63.9	73.9	89.4
20111223	59.2	46.7	39.5
20111224	50.3	66.5	46.4
20111225	79	35.8	48.2
20111226	50.2	59.9	61.2
20111227	63.2	34.6	54
20111228	71.9	42.4	28.8
20111229	76.5	76.6	75.8
20111230	59	38.4	58.5
20111231	55.7	57.2	85.2
20120101	99.9	73.7	51.3
20120102	72.6	35.1	25.1
20120103	71.5	44.3	89
20120104	87.8	58	80.4
20120105	83.1	25.8	66.9
20120106	66	58.5	30.9
20120107	96.6	75.2	70.6
20120108	86.1	78.2	40.1
20120109	62.2	30.7	89.4
20120110	90.6	73.9	51.2
20120111	71.7	71.9	80.8
20120112	83.3	75.8	45.8
20120113	93	56.3	50.5
20120114	95.6	39.9	60.6
20120115	63.5	43.6	89.8
20120116	53.9	76.2	40.1
20120117	81.1	54.9	67.6
20120118	94.3	64.1	76
20120119	94.2	67.4	56
20120120	82.1	25.5	42
20120121	55.9	61.5	49.8
20120122	56.9	59	49
20120123	68.2	72.4	25.7
20120124	85.9	35.1	49.5
20120125	56.2	31.2	39.3
20120126	72	44.2	47.1
20120127	73.5	38.9	74.2
20120128	72.6	29.4	52.4
20120129	53.5	47.3	86.1
20120130	52.4	45.6	40.8
20120131	83.2	41.6	56.9
20120201	50.7	24.9	57.1
20120202	88.5	27.6	77.6
20120203	59.9	42.5	44.5
20120204	83.1	47.9	46.7
20120205	73.6	51.5	26.5
20120206	95.2	41.7	77.4
20120207	73.4	51.1	58.8
20120208	98.6	40.5	61
20120209	89.3	46.5	27.6
20120210	87.4	66.6	33.5
20120211	76.8	75.4	41.5
20120212	96.9	74.6	85
20120213	71.7	49.5	33.9
20120214	83	53.4	60.5
20120215	90.1	75	68.8
20120216	89.7	60.1	35.3
20120217	58.7	71.1	64.8
20120218	91.1	31.9	26.5
20120219	70.1	40.5	72.1
20120220	61.3	77.8	84.3
20120221	71	21.8	46.1
20120222	86.7	46.2	39
20120223	54.4	25.3	89
20120224	96	60.7	79.5
20120225	88	34.6	71.1
20120226	98.5	69.2	40.6
20120227	75	44.9	89.4
20120228	81.7	69.7	39.3
20120229	54.9	69	58.8
20120301	83.3	47.1	43.1
20120302	65.3	53.7	56.9
20120303	63	54.2	68.7
20120304	96.4	27	72.7
20120305	64.6	43	57.2
20120306	86.2	28.1	34.7
20120307	69.9	26.6	50.8
20120308	61.3	51.5	35.6
20120309	57.8	30.5	75
20120310	96.5	67.2	36.8
20120311	96.6	22.2	58.7
20120312	74.4	76.9	41.7
20120313	58.1	27.3	73.6
20120314	91.7	60.5	53.9
20120315	55.2	53.3	88.4
20120316	69.2	41.1	63
20120317	67.1	57.1	71.1
20120318	87.1	32.8	54.3
20120319	80	28	56.7
20120320	77.2	70.8	59.1
20120321	80.8	32.6	73.6
20120322	69.5	56.3	79.6
20120323	57	23.5	30.2
20120324	98.8	67.7	66.4
20120325	66.3	67.3	75.1
20120326	93.7	59.1	76
20120327	53.1	44.4	69
20120328	80.4	47.7	39.3
20120329	50.6	46.8	78.2
20120330	96.5	42	79.3
20120331	71	74.9	42.5
20120401	73.3	61.6	62.7
20120402	97.3	50.4	37.6
20120403	56.3	71.3	71.4
20120404	54.1	36.4	33.9
20120405	98.6	28.5	55.3
20120406	96.2	31.5	84
20120407	70.2	79.3	60.1
20120408	66.7	39	67.1
20120409	93.9	50.5	39
20120410	90	48.2	86.7
20120411	76	42.1	25.4
20120412	74.2	58.4	32.2
20120413	66.3	40.4	30.6
20120414	64.6	53.4	81.3
20120415	92.5	23.6	89.4
20120416	98.5	26.5	38.7
20120417	76.7	70.9	42.6
