date	Facebook	Twitter	LinkedIn
20111001	77.7	27.9	63.6
20111002	75.7	68	89.1
20111003	71.1	24.3	77.5
20111004	90.7	56.1	72.9
20111005	52.2	41.9	64.3
20111006	68.6	27.5	27.4
20111007	89.9	30.2	39.6
20111008	64.9	42.4	51.9
20111009	71.1	33.6	32.3
20111010	50.4	60	38.2
20111011	78.5	31.1	33.2
20111012	65.3	75	27.3
20111013	53.9	29.8	49.1
20111014	77.2	24.1	64.6
20111015	87.5	77.8	26.6
20111016	88.3	35.9	38.9
20111017	83	58.3	73.1
20111018	100	53.8	72.6
20111019	63.7	42.1	56.5
20111020	55.5	35	30.6
20111021	97.4	68.2	84.3
20111022	92.9	25.4	48.6
20111023	76.9	41.3	63.5
20111024	55.1	24	29.3
20111025	60.8	25.4	72.8
20111026	63.4	45.9	41.9
20111027	85.8	32	39.8
20111028	76.6	27.4	59.3
20111029	80.3	32.5	30.5
20111030	68	73.6	25.1
20111031	65.9	43.2	68.8
20111101	65	60.3	85.7
20111102	50.3	23	44.7
20111103	60.8	21.3	58.2
20111104	75.2	60	26.3
20111105	68.1	63.7	84.3
20111106	96	20.8	71.4
20111107	97	70.8	77
20111108	82.7	65.7	83
20111109	54	66.7	74.6
20111110	93.3	33.8	70
20111111	68.9	30.6	49.6
20111112	84.8	34	25.5
20111113	71.2	66.1	84.5
20111114	87.6	32	77.7
20111115	97.8	44.1	81.4
20111116	83.5	21.6	26.8
20111117	78.6	72.4	78
20111118	88.4	40.7	60.7
20111119	57.5	41.9	45
20111120	53.8	28.8	40.8
20111121	69	53.7	75.3
20111122	64.7	77.8	28.9
20111123	54.5	64.5	67.2
20111124	72.3	21.3	61.7
20111125	61.9	46.3	40
20111126	64.1	26.2	58.9
20111127	89.2	47.9	85.9
20111128	84.3	20.4	47.2
20111129	89.7	42.6	89
20111130	83.4	70.4	59.8
20111201	74	61.5	69.8
20111202	83.5	53.7	56.2
20111203	53.3	45.7	80.2
20111204	64	48	32.2
20111205	82.2	67.4	87.9
20111206	79.3	54.6	50.9
20111207	71.5	21.9	41.5
20111208	87.4	25.5	70
20111209	54.1	72.6	66.5
20111210	76.9	42.5	43.3
20111211	99.3	79.3	43.7
20111212	95.7	28.9	75.5
20111213	84	42.6	45.5
20111214	94.6	71	35.2
20111215	90.4	64.4	69.6
20111216	62.8	39.2	62.7
20111217	64.1	27.7	58.5
20111218	94.8	37.6	44.4
20111219	78.1	45.4	41.6
20111220	90.4	41.7	43.5
20111221	59.4	50.9	56.2
20111222	51.8	41.4	52.4
20111223	50.7	32.2	40.5
20111224	54.7	40.9	46.6
20111225	89	28.5	38.7
20111226	82.7	61.5	39.5
20111227	95.8	44.9	33.2
20111228	77.1	69.3	45.2
20111229	89.5	52.1	36.8
20111230	65.5	64.1	71.6
20111231	87.8	77.3	51.7
20120101	96.7	41	82.5
20120102	84.4	43.1	41.3
20120103	71	30.4	83.4
20120104	95.6	49.8	74.8
20120105	67	79.9	44.4
20120106	84.6	69.7	41.5
20120107	81	52.5	39.1
20120108	83.2	77.5	37.7
20120109	52.8	33	87.2
20120110	95.8	35.1	77.2
20120111	70.4	50.6	48.7
20120112	79.4	66.4	63.7
20120113	52.7	57.1	61.1
20120114	57.9	28.6	74.7
20120115	76.2	38.6	83.1
20120116	92.3	46.8	42.9
20120117	71.5	31.6	43.5
20120118	89.1	48.4	85.8
20120119	79.4	69.9	33.9
20120120	91.5	73.1	84.4
20120121	68	44.7	64.4
20120122	63.5	26.5	51.6
20120123	75	72.5	86.5
20120124	85.1	21.4	55
20120125	52.8	64.8	30.5
20120126	93.7	66.1	33.3
20120127	54.1	23.9	74.2
20120128	65.5	33.8	55.9
20120129	61.4	26.8	76.9
20120130	95.7	20.9	34
20120131	73.9	75.5	54.6
20120201	98.6	20.1	51.1
20120202	77.6	61.9	76.8
20120203	59.3	65.8	26.7
20120204	90.6	56.9	62.5
20120205	83.1	46.3	44.7
20120206	81.7	63.3	35
20120207	51.1	71.3	28.1
20120208	79.9	69.4	44.9
20120209	52.2	20.3	58.6
20120210	99.4	55.5	28.4
20120211	73.3	28.2	54.6
20120212	70.1	39	77.3
20120213	95.7	25	74.8
20120214	75.7	79.2	55.5
20120215	53.6	56	58
20120216	62.9	60	47.6
20120217	75.3	68.3	38.1
20120218	98.8	39.7	83.7
20120219	92.4	22	68.9
20120220	66.7	56.6	76
20120221	58.7	59.7	83.3
20120222	99.4	30.5	68.8
20120223	90.9	63.8	60.3
20120224	68.2	56.1	77.6
20120225	98.1	45.2	42.6
20120226	50.3	21.9	44.4
20120227	85.7	63	83
20120228	66.5	79.3	60.7
20120229	77.4	68.1	87.7
20120301	90.6	23.5	52.5
20120302	64.9	21.3	56.2
20120303	93.8	43.2	88
20120304	53.7	47.7	67.4
20120305	51.4	31.3	78.3
20120306	90.7	48.9	25.9
20120307	51	60.9	64
20120308	66.8	64.6	44.3
20120309	54.7	30.3	87.4
20120310	53.4	54.6	78
20120311	78.4	32.5	29.3
20120312	93.9	63.6	47.1
20120313	64.8	20.6	67
20120314	81.8	68.6	68.2
20120315	91.5	55.6	86.8
20120316	72.4	23.1	47.6
20120317	62.8	38.9	38.9
20120318	85	26.4	48.2
20120319	52.7	64.5	55.1
20120320	66.8	22.4	62.8
20120321	72.8	24	76.6
20120322	50.9	66.4	53.3
20120323	56.8	49.8	52.4
20120324	54.7	55.2	26.6
20120325	62.3	37.8	34.8
20120326	75.9	47.8	64.8
20120327	53.6	47.6	29.3
20120328	57	41.2	46.7
20120329	93.6	29.7	62.8
20120330	51.2	61.8	50.9
20120331	83.2	47.9	36.1
20120401	85.9	63.7	41.4
20120402	99.8	76.7	49.7
20120403	80.2	45	51.7
20120404	99.8	32.6	89.1
20120405	88.5	25.4	86.7
20120406	61.3	47.4	49.1
20120407	52.8	23.8	81.5
20120408	56.8	53.8	56.9
20120409	58.2	70.4	77.2
20120410	57.1	41.1	25.4
20120411	51.2	61.9	76.8
20120412	81	20.8	54.7
20120413	90.1	64	33.6
20120414	67.2	70.9	59.8
20120415	61.3	60	51.3
