date	Facebook	Twitter	LinkedIn
20111001	51.9	22.6	30.6
20111002	58.9	78.9	32.4
20111003	57.9	67.4	56.5
20111004	67.9	76.6	83.6
20111005	60.4	28.3	44.9
20111006	81.5	69.9	81.8
20111007	60.3	55	45.4
20111008	85.4	68.4	52.2
20111009	52.3	61.8	32
20111010	70.2	72.3	65.5
20111011	70.8	46.1	53.2
20111012	73.2	79.7	45.2
20111013	89.7	48.1	62.6
20111014	50.3	38.4	86
20111015	79.6	31.9	53.5
20111016	83.6	30.1	28.2
20111017	84.7	44.5	31.9
20111018	97.5	32.7	42.9
20111019	97.8	65.4	31
20111020	65	58.6	31.6
20111021	72.3	52	57.9
20111022	99.9	42.9	81.8
20111023	71.7	43.2	77.6
20111024	93.2	71.1	74.1
20111025	72.7	77.1	88.8
20111026	63.9	49.4	65.9
20111027	97.6	54.1	38
20111028	58	38.1	34.3
20111029	65	53.3	49.8
20111030	89.4	20.3	50.5
20111031	61.9	61.2	37
20111101	82.9	55.9	86.4
20111102	99.3	71.9	44.6
20111103	88.5	45	38.2
20111104	80.8	28.5	36.7
20111105	99.9	79.1	44
20111106	70.8	52.3	55.5
20111107	73.7	34.1	89.1
20111108	66	42.7	79.5
20111109	56.2	75.3	48.5
20111110	82.8	22.1	88.3
20111111	89.3	36.3	35.9
20111112	89.6	39.4	81.7
20111113	77.6	32.6	34.7
20111114	70.7	77	76.5
20111115	62.8	63	73.5
20111116	75.4	63.7	52.5
20111117	63.1	28.1	87.4
20111118	65.6	49.8	34.8
20111119	98.7	49.5	44.3
20111120	89.3	75.5	58.3
20111121	85.6	29.5	29
20111122	68.8	59.5	36.6
20111123	93.2	43.8	52.8
20111124	55.5	49.5	28.9
20111125	75	58.2	28.2
20111126	65.5	49.9	51.2
20111127	91	51.6	35.4
20111128	72.9	40	87
20111129	56.6	24.9	50.4
20111130	100	27.5	60.4
20111201	62.2	49.8	75.3
20111202	56.1	59.9	70.8
20111203	71.9	46.8	68.6
20111204	89.4	69.4	33.6
