date	Facebook	Twitter	LinkedIn
20111001	71.3	64.6	89.7
20111002	51	29.2	60.7
20111003	71.9	48	58.5
20111004	69.1	76.2	72.4
20111005	91	30.1	38.8
20111006	73.3	57.4	37.5
20111007	68.1	29.5	64.5
20111008	94.7	54.4	36.4
20111009	75.2	45.4	35.2
20111010	87.8	27.3	72.1
20111011	95.9	58.5	55.3
20111012	55.3	78.6	84.8
20111013	60.8	74.7	37.5
20111014	60.3	49.7	67.9
20111015	54.3	26.4	54.8
20111016	95.8	75.3	89.1
20111017	67.7	24.4	83.6
20111018	95.3	73.7	37.1
20111019	90.2	25	69.4
20111020	78.8	67.7	32.6
20111021	87.8	36.2	29.4
20111022	92.9	63.7	57.1
20111023	84.7	77.5	52.4
20111024	66.2	35.3	33.2
20111025	75.1	25.1	71.7
20111026	60.9	27.7	43.5
20111027	52.4	30.3	84.2
20111028	69	59.3	71.5
20111029	60.4	51.2	73.7
20111030	58.3	47.8	89.4
20111031	78.1	53.9	85.1
20111101	91	65.6	37.9
20111102	66.6	57	63.7
20111103	96	43.3	35.7
20111104	66.5	42.8	69.1
20111105	92.1	35	70.5
20111106	98.4	78.9	56.5
20111107	68.5	75.2	63.1
20111108	79.3	46.1	60.5
20111109	94.8	50.2	42.8
20111110	83.4	63.3	73.7
20111111	91.7	23.6	59.4
20111112	85.2	77.1	31.1
20111113	60	30.2	55.5
20111114	87.4	37.1	70.9
20111115	73.1	46.3	73.6
20111116	97.6	52.5	85.4
20111117	56.9	21.5	79.5
20111118	80.5	63.4	64.1
20111119	87.2	50.3	66.7
20111120	75	71.2	81.7
20111121	51.6	57.1	83.1
20111122	77.9	71.2	33.6
20111123	83.6	65	31.9
20111124	58.7	43	86
20111125	89.5	31.3	89.2
20111126	81.4	70.3	25.6
20111127	50.7	47.8	63.4
20111128	73.8	76.8	66.4
20111129	97.2	43.1	67.3
20111130	95.4	60	33
20111201	60.8	51.4	79.2
20111202	67.6	38.2	30.7
20111203	77.6	35.8	81.5
20111204	94.2	23.5	73
20111205	72.8	63.2	76.8
20111206	60.6	46.7	54.5
20111207	74.7	24	76.4
20111208	63.5	35.6	43.4
20111209	64.3	27.8	43.6
20111210	85.5	22.9	37.6
20111211	81.8	37.3	50.3
