date	Facebook	Twitter	LinkedIn
20111001	76.4	63.4	72.7
20111002	67.7	31.1	86.1
20111003	99	39.5	63
20111004	89.6	42.4	89.2
20111005	70.4	30.6	38.9
20111006	67.4	43.2	45.3
20111007	76	34.1	71
20111008	92.9	45.3	61.4
20111009	91	34.1	45.3
20111010	58.8	31.3	78.9
20111011	71.7	27.9	58.3
20111012	74.4	20.8	58.2
20111013	80.1	31.9	69.9
20111014	82.6	52.8	47.7
20111015	79.4	33.7	71.4
20111016	73.4	57.7	37.9
20111017	54	51.4	26.3
20111018	50.7	28.4	36.4
20111019	67.1	57.5	31.6
20111020	74.5	74.4	39.1
20111021	82.7	77.6	53.3
20111022	60.7	77	40.1
20111023	91.8	71.4	39.7
20111024	83.9	61.4	47.4
20111025	94.2	57	62.3
20111026	91.8	72.3	85.9
20111027	50.2	55.2	82.7
20111028	50.9	39.8	55.2
20111029	79	45.3	68.2
20111030	57.2	71.6	42.8
20111031	92.9	78.3	87.7
20111101	57.2	67.9	83.5
20111102	69.7	50.3	37.6
20111103	87.1	26.7	60.1
20111104	76.1	30.6	27.3
20111105	50.9	24.1	71.4
20111106	71.1	78.6	65.7
20111107	69.8	67.5	44.4
20111108	76.1	53.3	46.5
20111109	99.5	37.6	53.3
20111110	65.4	58.3	70.7
20111111	72.4	66.4	26
20111112	91	79.3	57.5
20111113	85.9	35.7	72.4
20111114	67.3	24.4	77.6
20111115	69.3	76.1	82.8
20111116	56.2	73.6	69.9
20111117	74.8	58.4	58.5
20111118	54.5	60.8	82.5
20111119	51.6	48.9	49.6
20111120	96.1	42.3	54.2
20111121	71.7	50.1	26.2
20111122	98.5	25.4	53.2
20111123	92.8	68	83.9
20111124	89.8	22.2	85.3
20111125	51.4	58.4	42.5
20111126	70.6	50.6	30
20111127	96.4	41.6	42.7
20111128	73.7	79.4	85.1
20111129	81	30.2	60
20111130	97.9	48	36.5
20111201	99.5	28	40.6
20111202	57.1	48.1	39.5
20111203	60.7	74.5	38.9
20111204	94.2	48.2	27.2
20111205	58.4	23.8	79.4
20111206	75.7	58.1	74.3
20111207	59.3	22.5	66
20111208	92.4	24.4	34.3
20111209	89.7	23.9	78.4
20111210	57.2	23.2	31.3
20111211	68.7	55.1	45.9
20111212	50.1	71.9	26.3
20111213	94	23.4	80.8
20111214	75.3	37.6	72.6
20111215	52	27.3	39.7
20111216	57.4	70.6	31.3
20111217	85	51.6	82.2
20111218	65.7	33.5	70.6
20111219	60.5	39.1	47
20111220	68.4	63.4	36.3
20111221	51	28.7	34.1
20111222	80.5	47.2	25.3
20111223	95.1	64.7	43.8
20111224	83.5	58.6	86.5
20111225	72.1	74	54.6
20111226	54.5	45.4	48.4
20111227	86.3	48	49
20111228	57.3	67.1	31.3
20111229	69	36	34.4
20111230	60.2	60.7	74.4
20111231	68	75.2	58.1
20120101	55.8	44.2	54.5
20120102	58.6	75.7	35
20120103	74.2	67	48.1
20120104	70.7	55	69.3
20120105	89.2	65.8	71.5
20120106	90.8	50.7	81.8
20120107	82.9	44.6	34.1
20120108	58.4	75.4	41.6
20120109	95.5	49.4	40.3
20120110	91.5	72.5	35.1
20120111	99.2	24.3	88.2
20120112	84.3	27.8	76.2
20120113	98.1	70.1	49.8
20120114	87.6	44.8	25.3
20120115	68.2	22.2	50.8
20120116	90.7	28.5	74.6
20120117	64.7	40.1	87.8
20120118	88	75.5	56.1
20120119	85.1	72.8	76.1
20120120	77.5	46.7	74.7
20120121	90.7	44.2	39.6
20120122	96.2	48.7	42.6
20120123	50.4	32.7	45.2
20120124	65.5	30.2	63.5
20120125	83.1	38.6	82.1
20120126	79.1	70.9	56.3
20120127	88.8	23.5	38.2
20120128	77.3	77.9	78.5
20120129	69.5	25.4	73.9
20120130	67.9	77.9	31.2
20120131	54.6	44.4	80.9
20120201	63.2	29.5	45.2
20120202	57.2	71	55.6
20120203	65	74.4	65.8
20120204	50.8	44.3	41.2
20120205	95.9	61.9	33.3
20120206	68	79.4	70.8
20120207	81.8	75.4	56.3
20120208	85.4	63.7	33.6
20120209	58.6	43.9	54.2
20120210	72.2	70.1	57.5
20120211	84.2	20.2	56.7
20120212	90.3	56.3	64.8
20120213	52.8	76.3	81.9
20120214	99.1	30.4	35.3
20120215	68.4	48	33.9
20120216	78.4	79.5	56.7
20120217	99.2	30.6	70.2
20120218	96.4	32.6	38
20120219	93.9	25.9	25.3
20120220	62.6	45.4	85.5
20120221	58.4	34.1	64.3
20120222	65.8	45.9	82.1
20120223	97.5	39	81.2
20120224	63.5	21	88.5
20120225	95.1	71.9	47.1
20120226	98.1	72	74.8
20120227	63.8	72	89.9
20120228	79	28	46.7
20120229	60.9	57	75.7
20120301	84	36.9	84.5
20120302	77.4	54.3	37.6
20120303	91.7	32.3	25.3
20120304	72	36	88.1
20120305	74.7	65.8	29.7
20120306	81.5	55.8	85.5
20120307	89.5	33	40
20120308	54.8	23.5	64.2
20120309	68.2	33.3	55.3
20120310	67.4	65.2	42.3
20120311	73.3	41	41.1
20120312	86.4	32.5	52.5
20120313	94.9	38.3	67.9
20120314	71.3	41.2	83.8
20120315	77.6	37.5	48.2
20120316	53.1	32.3	30.8
20120317	79.7	33.3	88.2
20120318	52.1	24.6	87.6
20120319	79.2	61.8	78.1
20120320	53.6	43.4	88.3
20120321	52.8	78.2	87.4
20120322	75.2	43.3	85.3
