date	Facebook	Twitter	LinkedIn
20111001	91.4	48	73.8
20111002	68.4	54	68.7
20111003	62.3	54.1	42.3
20111004	75.5	40.7	80.8
20111005	62.2	69.2	69.8
20111006	57.7	33.6	82.3
20111007	53.2	56.6	54.4
20111008	70.9	65.9	41.7
20111009	96	27.1	84.9
20111010	99.3	79.4	75.5
20111011	64	25.4	55.5
20111012	82.9	23.8	57.5
20111013	55	45.5	36
20111014	85.6	30.7	57
20111015	89.6	23.3	56
20111016	98.9	39.1	78.5
20111017	97.7	66	54.4
20111018	90.5	59.1	58.1
20111019	58.2	77.2	52.5
20111020	66.5	59.6	50.5
20111021	68.2	45.8	34.2
20111022	81.9	37.2	36.6
20111023	80.3	69.3	77.7
20111024	93.7	62.2	31.5
20111025	61.4	29.4	62.1
20111026	65.4	49.1	85.4
20111027	85.4	58.2	43.3
20111028	92.9	36.2	45.5
20111029	87.9	66.4	71.8
20111030	84.9	33.5	68.4
20111031	71.6	39.1	58.7
20111101	93.7	72.7	28.9
20111102	64.2	62.2	55
20111103	54	28	81.5
20111104	93.1	73.9	87.8
20111105	99.8	52.3	34
20111106	53.5	74.7	81.8
20111107	94.1	26.7	81.3
20111108	59.7	41.1	81.1
20111109	64.5	39.1	70.9
20111110	80.8	64.9	32.9
20111111	54.6	78.7	77.9
20111112	74.9	54.9	30.9
20111113	60.9	32.3	75.2
20111114	99.4	32	51.2
20111115	88.3	59.9	81.5
20111116	85.8	24.3	47.5
20111117	69.9	64.6	35
20111118	81.5	23.7	55
20111119	59.1	45.6	27.3
20111120	71.6	61.2	32.8
20111121	63.7	77.6	48.5
20111122	59.6	50.6	35.8
20111123	56.4	56.6	39.4
20111124	93.8	29.2	89.9
20111125	56.3	25	86
20111126	93	55.4	67.7
20111127	89.7	46.2	88.5
20111128	85	60.7	76
20111129	100	51.8	72.4
20111130	84.5	26.7	61.2
20111201	91.1	40.2	52.6
20111202	99.9	34.6	84.9
20111203	99	61.8	63.8
20111204	71.7	47.5	73.8
20111205	98.5	38.4	82.5
20111206	54.1	23.2	73.7
20111207	68.4	21.4	30.2
20111208	69.9	67.9	39.9
20111209	95	68.4	70
20111210	75.5	58.5	29.7
20111211	61.3	70.7	56.6
20111212	88.7	33.2	57.9
20111213	80.2	62	70.3
20111214	93.7	29	59.4
20111215	90	51.8	85.9
20111216	99.5	35.7	30.4
20111217	98.1	62.7	87.8
20111218	91.7	34.7	45.1
20111219	66.2	44.4	80.1
20111220	78.4	41.8	58.2
20111221	96	76.1	36.2
20111222	95.7	33	67.3
20111223	85.6	77.9	47.6
20111224	98.6	63.1	56.5
20111225	89.9	72.5	36.1
20111226	77.1	63.7	69.3
20111227	80.3	71.1	34.3
20111228	98.9	23.1	59.4
20111229	61.5	50.8	42.9
20111230	92.9	63.3	29.3
20111231	66.5	29.3	46.1
20120101	51.3	67.1	73.3
20120102	61.8	75.3	71.7
20120103	87.8	79.6	87.7
20120104	60.1	47.6	64.8
20120105	55	28.1	31.6
