date	Facebook	Twitter	LinkedIn
20111001	71.1	50.4	53.9
20111002	75.8	38.9	51.3
20111003	88.5	52.9	75.9
20111004	60.9	49.5	85.4
20111005	72.7	72.6	89.2
20111006	59.4	44.1	26.6
20111007	86.9	20.6	46.1
20111008	89.4	57.2	80.2
20111009	52	20.8	40.9
20111010	53.2	31.5	80.5
20111011	71.9	58.4	33.5
20111012	78.2	52.8	61.4
20111013	94.5	36.8	63.5
20111014	54.3	22.1	52.5
20111015	84.7	75	53.9
20111016	52.9	44.4	25.1
20111017	99.6	51.3	70.8
20111018	70.4	68	84.7
20111019	66.5	55.3	37.4
20111020	57	23.4	46.6
20111021	78.5	64.5	63.8
20111022	98.8	45.4	81.7
20111023	84.5	56.8	32.5
20111024	87.8	77.7	44.1
20111025	63.1	46.1	88.4
20111026	74.7	34.2	44.3
20111027	81.4	21	56.3
20111028	62.8	25.5	41.1
20111029	53.8	25.2	51.7
20111030	62.9	54.9	74.9
20111031	76.7	29	79.9
20111101	93.2	42.6	52.1
20111102	79.6	39.8	78.6
20111103	68.9	32.7	86.3
20111104	92.4	72.2	49.4
20111105	89.1	30.8	78
20111106	95.7	35.4	76.7
20111107	93.7	78.1	26.5
20111108	78.7	27.3	42.3
20111109	70	38.6	48.3
20111110	94.4	44.1	36.4
20111111	57.8	35.7	67.3
20111112	65.5	45.6	70.3
20111113	58	24.9	69.5
20111114	52.6	72.3	59.6
20111115	68.5	69	74.5
20111116	63.8	67.6	81.1
20111117	76.7	73.1	34.8
20111118	93.3	29	83.3
20111119	57.3	33.3	81.3
20111120	92.2	52.1	62.6
20111121	81.6	69.5	59.4
20111122	84	22.7	46.8
20111123	59.8	64.7	42.7
20111124	53.6	48.9	86.1
20111125	97.7	71.4	83
20111126	97.6	38.9	79.6
20111127	65.9	76.9	74.5
20111128	87.6	27.7	61.4
20111129	87.1	79.4	37
20111130	62.1	46.6	26.4
20111201	63.1	55.3	37.5
20111202	72.2	30.2	81
20111203	74.6	20.5	89.8
20111204	71.5	24.3	33.7
20111205	98.9	37	61.3
20111206	51.3	78	86.5
20111207	53.6	34.2	26.4
20111208	85.6	56.2	84.4
20111209	87.3	49.9	88
20111210	62.6	43.8	58.9
20111211	99.2	69.4	71
20111212	92	47.6	72
20111213	84.5	36.6	31.2
20111214	90	58.6	51.2
20111215	62.2	25.4	63.7
20111216	55.8	49.8	59
20111217	57.5	37.4	60.2
20111218	66.8	42.3	29.7
20111219	69.8	42.8	80.6
20111220	81.8	25	35.1
20111221	73.2	59.2	67.6
20111222	53.6	69.9	77.9
20111223	57.7	78.3	58.3
20111224	65.1	40.3	54.1
20111225	80.1	22.1	44.3
20111226	66.9	41.5	83.9
20111227	59	50.6	81.1
20111228	53.7	22.2	65.6
20111229	59.5	52.5	26.8
20111230	82.8	67.4	50
20111231	73.7	48.9	62.6
20120101	98.8	59.3	60.6
20120102	70.7	74.2	42
20120103	90.2	37.7	81.9
20120104	95.5	32.9	25.6
20120105	68.4	26.2	41.9
20120106	65.2	45.8	79.5
20120107	70.2	26.4	89.1
20120108	69.4	75.8	36.3
20120109	98.1	55.7	48.2
20120110	94.4	35.8	60.9
20120111	75.2	60.4	75.4
20120112	56.5	38.7	86
20120113	54.5	31.4	68.2
20120114	86.8	44	32.5
20120115	83.1	62.6	75.2
20120116	79.3	27.4	82.9
20120117	86.9	49.6	73.6
20120118	68.7	21.2	29.3
20120119	51.8	60	29.9
20120120	74.4	41	51.7
20120121	90.9	20.9	71.3
20120122	54.1	55	32.4
20120123	99.1	26.5	26.1
20120124	75.7	43.3	52.2
