date	Facebook	Twitter	LinkedIn
20111001	95.1	66.2	54.2
20111002	73	33.6	73.7
20111003	97.9	48.8	40.1
20111004	66.1	23.9	85.3
20111005	67.8	24.2	68
20111006	82.4	41.9	30.2
20111007	86.4	51.9	35.9
20111008	97.1	76.3	67.7
20111009	67.5	76.6	62.1
20111010	51.8	37.5	76.9
20111011	80.4	44.7	87.3
20111012	69.6	47.2	26.8
20111013	85	54.5	37.1
20111014	92.7	33.9	28.6
20111015	56.2	75.6	28.8
20111016	77.7	31.3	86.1
20111017	86.3	40.1	62.2
20111018	93.2	73.7	29
20111019	67.2	49.4	77.3
20111020	77.9	38	65.6
20111021	66.9	33.2	43.2
20111022	79.3	36.6	69.5
20111023	76.8	69.8	86.6
20111024	57	58.7	83.2
20111025	68.8	77.5	30.6
20111026	94.8	35.5	55.7
20111027	65.4	56.2	73.2
20111028	80.7	77.9	30.2
20111029	84.5	36.1	61.5
20111030	75.2	49.4	65.4
20111031	88.3	46.1	31.4
20111101	99.3	55.8	34.8
20111102	74.2	66.9	86.6
20111103	90.9	22.8	50.3
20111104	58.6	71.1	45.4
20111105	84.1	32.8	60.4
20111106	70.8	27.2	80.2
20111107	84.1	43.1	53.9
20111108	79.9	57.7	81
20111109	70.8	26.3	35.7
20111110	97.4	58.9	41.2
20111111	74.5	24.7	68
20111112	54.9	23.4	73.3
20111113	84.5	50	31.1
20111114	72.4	42.1	46.4
20111115	59	70.1	80.5
20111116	93.6	56.4	84.4
20111117	70.4	44.3	56
20111118	77.4	48.8	65.3
20111119	80.8	38.3	86.9
20111120	97.3	50.8	42.8
20111121	56.6	50.2	32.3
20111122	63	26.9	87.5
20111123	91.7	30.3	32.7
20111124	91.8	65.5	72.1
20111125	73.1	53.9	39.4
20111126	66.9	62.3	75.2
20111127	84	21.4	45
20111128	87	78.9	76
20111129	52.3	74.5	85
20111130	69.8	52.3	35
20111201	65.9	51.5	75
20111202	86	67.1	43.8
20111203	86	43.4	82.5
20111204	64.5	77.1	43.8
20111205	56.2	41.1	88.9
20111206	69.1	77.2	66.2
20111207	63.6	45.9	69
20111208	61.9	62.2	68.9
20111209	72.7	45.6	60.8
20111210	79.1	25	31.8
20111211	66.8	55.1	45.4
20111212	60.2	79.2	68.2
20111213	89.4	76.4	58.1
20111214	80.4	28	74.7
20111215	96.3	27	56.4
20111216	51.8	57.3	78.1
20111217	88	58.8	64.6
20111218	69.6	41.9	51.1
20111219	54.3	29.4	88.4
20111220	92.6	73.9	63.3
20111221	78.6	77.3	25.9
20111222	60.1	32.6	28.8
20111223	58.3	71.2	76.5
20111224	59.1	54.4	77.7
20111225	63.1	37.6	86.6
20111226	68.2	52.3	64.9
20111227	62.3	24.7	55.2
20111228	68.7	52.6	57.6
20111229	69.3	36.8	76.7
20111230	73.1	70.5	86
20111231	58.4	29.9	27.3
20120101	86.7	59.8	57
20120102	77.2	29.2	32.7
20120103	77.8	69.6	32.3
