date	Facebook	Twitter	LinkedIn
20111001	60.2	48.4	26.4
20111002	91.8	65.3	64.4
20111003	59.7	58.2	47.2
20111004	56.6	35.2	35.2
20111005	79.1	27.4	63.9
20111006	82.5	67.2	62.1
20111007	51.8	53.9	60.6
20111008	70.5	59.9	72.6
20111009	74.4	33.1	74.7
20111010	99.6	65.5	60.5
20111011	68.2	21.1	54.5
20111012	55.6	79.5	71.7
20111013	95.4	54.5	26.3
20111014	56.2	33.5	53.5
20111015	66.8	55	71.3
20111016	68.2	25.9	51.4
20111017	96	38.9	88.6
20111018	75.3	59.1	87.1
20111019	61.1	27.8	47.7
20111020	66.9	67.7	40.5
20111021	52.8	33.9	87.8
20111022	80	76.3	69.1
20111023	97.6	23.5	30.9
20111024	91.2	40.3	36.9
20111025	57.7	23.1	38.2
20111026	65.6	20.3	79.3
20111027	71.2	62.5	58.8
20111028	83.5	32.3	26.8
20111029	61.5	27	28.4
20111030	78.1	73.8	42.4
20111031	52.2	46	59.6
20111101	79.8	59.4	33.7
20111102	92	78	78.3
20111103	74	75.3	30.5
20111104	52	69.8	65.3
20111105	94.8	55.4	32.8
20111106	72.9	40.6	66.3
20111107	86.3	40.1	57.6
20111108	51.3	57.7	55.4
20111109	76.2	30	89.8
20111110	67.1	25.6	83.4
20111111	72.8	23.5	50.4
20111112	65.5	64.3	49
20111113	51.8	64.2	39.7
20111114	71.3	49.3	75.8
20111115	69.8	74.7	89.7
20111116	73.7	78.3	86.8
20111117	96.9	52.4	41.1
20111118	84.6	47.6	45.2
20111119	78.2	75.1	48.5
20111120	84.1	73.9	72.1
20111121	94.6	61.8	84.8
20111122	78.5	33.4	57.5
20111123	54.9	26.5	86.3
20111124	63.5	43.6	86.5
20111125	65.8	78.9	52.4
20111126	90.7	70.7	29.7
20111127	87.1	42.8	83.9
20111128	53.7	38.7	44.1
20111129	92.8	73.1	30.8
20111130	70.5	31	39.2
20111201	71.6	73.5	65.9
20111202	50.4	71.4	81.5
20111203	61.5	47	69.6
20111204	98.5	66.5	86.9
20111205	76.9	48.7	82
20111206	70.6	24.8	25
20111207	98.5	44.9	66.2
20111208	56.8	25.9	58
20111209	60.2	57.4	37.3
20111210	81.9	23.5	49.7
20111211	76	27.1	67.8
20111212	74.4	66.5	45.9
20111213	67.6	46.3	86.2
20111214	69.8	33.3	89.9
20111215	61.5	62.3	51.5
20111216	72.5	29.9	29.3
20111217	89.2	32.7	64.7
20111218	68	41	52.1
20111219	86.1	26.3	56.2
20111220	85.6	72.5	41.9
20111221	96.6	77.4	72.1
20111222	76	63.7	79.5
20111223	56.8	38.7	52.3
20111224	82.1	60.8	86.1
20111225	86.5	51.4	25.2
20111226	89.4	76.8	57.3
20111227	87.6	46	34
20111228	60.9	41.1	83.6
20111229	55.6	63.8	37.5
20111230	68.1	73.2	82.1
20111231	75.1	22	43.1
20120101	97.1	74.3	25.3
20120102	82.6	22.2	31.2
20120103	67	40.9	40.6
20120104	92	35.6	27.2
20120105	64	64.3	28
20120106	90.5	34.8	43.3
20120107	54.6	70.3	87.2
20120108	75.7	35.2	82.5
20120109	54.7	32.2	70.2
20120110	66.7	65.2	25.1
20120111	94.2	22.1	36.5
20120112	85.1	40.5	77.3
20120113	78.8	24.1	25.3
20120114	63.4	68.7	76
20120115	62.8	43.4	44.6
20120116	51.6	51.6	49.9
20120117	59.9	44.5	88.4
20120118	55.1	41.2	39.8
20120119	82.4	44.5	75.3
20120120	99	65	51.1
20120121	57.6	43.1	70.7
20120122	77.3	69.8	56.6
20120123	89.7	24.9	70.1
20120124	57.4	46.3	48
20120125	90.1	47.3	62.3
20120126	71.9	55.9	85.7
20120127	67.9	78.6	72.7
20120128	95.8	71	51
20120129	81.7	48.9	27.6
20120130	63.5	40.2	60.4
20120131	66.2	49.9	82.7
20120201	99.3	61.2	42.3
20120202	61.2	35.1	54.6
20120203	92.7	79.8	53.3
20120204	82.4	67.5	59.4
20120205	64.3	50.7	62.7
20120206	84.5	74.8	56.3
20120207	80.6	67.3	33.1
20120208	82.8	69.9	42.9
20120209	88.3	45.9	35.5
20120210	58	68.5	61
20120211	50.1	62.3	87.9
20120212	85.1	28.5	37.7
20120213	78.9	55	73.1
20120214	87.2	34.2	84.8
20120215	77.6	24.9	43.6
20120216	78.7	61.9	76.9
20120217	55.4	73.5	65.2
20120218	75.1	56.6	73.4
20120219	52.7	61.2	70.2
20120220	57.8	49	49.1
20120221	71.3	57	75.5
20120222	96.5	51.5	75.2
20120223	67.8	70.8	32.3
20120224	92.7	31.9	32.2
20120225	79	31.2	85.4
20120226	71.7	34.8	29.8
20120227	65.4	27.1	87.8
20120228	62.5	58.3	63
20120229	64.5	69.3	90
20120301	65.8	26.2	46.8
20120302	66	78.6	31.1
20120303	77.1	33.9	25.2
20120304	75.6	45.9	61.5
20120305	88.4	37.2	40.6
20120306	53.1	23.2	78.7
20120307	60.9	33.6	77.1
20120308	69.2	38.4	70.7
20120309	67.9	53.9	50.3
20120310	88.9	44.3	75
20120311	74.1	23.5	28.8
20120312	52.4	25.1	79.9
20120313	76.6	44.2	45.4
20120314	86.9	39.1	75.3
20120315	97.5	41.3	38.4
20120316	92.9	51.6	89.4
20120317	80.5	20.3	27.8
20120318	66.2	28.6	63.9
20120319	54.2	27.2	62.3
20120320	72.7	52.4	85
20120321	90	65	72.2
20120322	61.7	60.6	74.9
20120323	94.2	53.5	40.9
20120324	61.5	21.3	79.9
20120325	84.7	52.5	80
20120326	66.1	53.6	31.9
20120327	67.4	25.4	71.9
20120328	83.5	78	86.6
20120329	89.5	55.2	56.3
20120330	78.1	34.2	56.9
20120331	57.9	79.1	84.6
20120401	53.3	42.3	54
20120402	75.2	23	34
20120403	82.1	75.1	42
20120404	57.4	32	87.6
20120405	55.9	45	59.1
20120406	59.6	29.4	67.3
20120407	84.8	26.4	80.5
20120408	50.3	70.2	45.7
20120409	95.4	45.8	73.7
20120410	83.7	30.3	67
20120411	82.6	28.8	31.9
20120412	87.1	67.7	71.7
20120413	87.9	29.3	51.5
20120414	88	68.8	30.5
20120415	85.6	38.2	74.4
20120416	70.4	23.5	52.4
20120417	73	66.8	44.4
20120418	64.2	53.7	47.5
20120419	73.3	73.3	67.4
20120420	78.1	29.2	43.1
20120421	69.7	36.1	54.5
20120422	57.1	43.5	51.3
20120423	56.7	74.5	32
20120424	100	36.3	33
20120425	50.8	47.9	44.9
20120426	91.4	43.8	61.2
20120427	71.5	65.8	25.2
20120428	61.3	52.6	88.1
20120429	61.4	49.8	77.5
20120430	98.9	70.5	39.3
20120501	78.4	48.3	28.2
20120502	60.1	78.4	59.9
20120503	56.7	77	87.9
20120504	71.1	26.8	44.3
20120505	93.8	75.3	73.2
20120506	90.9	52.4	62.3
20120507	83.3	40.3	48.1
20120508	61.4	25.7	64.5
20120509	78.2	60.6	58.1
20120510	82	77.5	59
20120511	79.1	41	27.1
20120512	63.2	45.5	82.7
20120513	55.1	68.3	61.6
20120514	70.5	55.5	88.9
20120515	68.6	43.2	52.4
20120516	87.9	31.9	80.1
20120517	86.8	34.6	85.3
20120518	89.1	21.6	56.8
20120519	75.3	73.3	66
20120520	67.8	53.4	77.4
20120521	81.4	31.9	35.6
20120522	92	69.5	33
20120523	79.1	75.9	71
20120524	59.4	61.4	50.3
20120525	56.4	25	43.5
20120526	92	74.5	52.5
20120527	92.9	57.8	47.2
20120528	72.5	65.5	76
20120529	83.9	49.7	48.9
20120530	86.7	27.2	32.7
20120531	82.4	68.1	57.5
20120601	98.4	33	30.4
20120602	91.7	62.7	47.7
20120603	96.1	47.2	37.1
20120604	54.8	46.4	58.4
20120605	63.8	23	35.6
20120606	96.6	34.5	58.5
20120607	89	44.9	70.8
20120608	92.4	47.3	31.8
20120609	85.7	45.3	68
20120610	93.2	73.9	37.3
20120611	71.3	24.6	28.4
20120612	54.4	32.5	79.6
20120613	99.6	33.5	57.2
20120614	75.5	74.8	31.2
20120615	62.7	36.1	83
20120616	72.4	39.9	60.7
20120617	90.2	23.6	55.1
20120618	63.4	55	85.6
20120619	85	46.5	57.4
20120620	65.8	39.3	36
20120621	95.2	26	51.1
20120622	61.5	77	65.8
20120623	89.5	61	82.4
20120624	50	46.4	59.6
20120625	60.6	43	51.8
20120626	74.6	21.5	75.6
20120627	96.2	44	41
20120628	64.6	42.5	63.6
20120629	70.9	20.7	68.2
20120630	54	22.1	76.9
20120701	70.7	29.5	40.5
20120702	94.9	32.5	64.8
20120703	79.4	65.4	40.8
20120704	50.6	32.9	41.1
20120705	64.1	30.8	60.5
20120706	62.4	29.1	74.1
20120707	63.3	54.7	63.3
20120708	99.2	57.7	80.1
20120709	90.4	20.5	43.8
20120710	59.4	54.7	67.9
20120711	80.1	52.8	88.8
20120712	59.5	51.7	70.5
20120713	67	69.4	72.3
20120714	52.8	70.2	52.6
20120715	97.8	61.4	64.2
20120716	88.7	65	37.5
20120717	92	75.6	77.1
20120718	81.1	40.7	60.8
20120719	76.5	34	68.3
20120720	69.9	58.4	30.8
20120721	85.4	72.7	88.4
20120722	71.1	49	45.8
20120723	74.5	65.9	31.9
20120724	72.6	20.9	46
20120725	66.8	68	83.4
20120726	98	65.3	32.4
20120727	54.5	67.8	46.9
20120728	69.3	60.2	88.1
20120729	96.8	40	50.1
20120730	65.1	64.7	36.7
20120731	66	35.1	62.6
20120801	83.5	74.4	85.3
20120802	55.4	65.9	39
20120803	76.6	41.3	46.2
20120804	76.4	40.4	41.3
20120805	94.6	56.2	74.7
20120806	83.3	68.3	40.7
20120807	79.9	69.9	30.2
20120808	78.5	42.5	85.3
20120809	73.7	39.2	43.3
20120810	61.2	51.9	45.8
20120811	51.9	24.6	74.5
20120812	97.7	77.8	48.8
20120813	76.2	76.3	41.7
20120814	51.3	79.1	61.4
20120815	53.9	64.3	26
20120816	74.4	28.5	31.1
20120817	65.5	40.1	82.1
20120818	76.8	76.3	49.7
20120819	80.4	55.5	43.3
20120820	96.6	73.4	29.5
20120821	93.5	55.7	49
20120822	64	38.9	82.6
20120823	77.7	62.5	70.9
20120824	58.1	55.3	83.6
20120825	62.4	35.2	45.3
20120826	72.5	66.3	29.6
20120827	55.2	74	89.3
20120828	65.9	70.8	34.6
20120829	93.1	24.6	35.1
20120830	86.9	76.4	45.9
20120831	66.4	77.6	69.3
20120901	74.1	37	35.7
20120902	74.6	72.8	52.1
20120903	97.8	69.6	73.7
20120904	83.9	30.8	52.2
20120905	67	61	26.9
20120906	70.3	72.4	29.7
20120907	94.3	72.9	78.7
20120908	92.9	59.1	63.8
20120909	67.7	24.9	27.2
20120910	55.7	23.2	67
20120911	94.9	33.1	80.9
20120912	78.9	72.3	89.2
20120913	97.1	35.3	40.7
20120914	62	27.2	56.1
20120915	90.4	49.5	73.9
20120916	84.6	26.2	77.2
20120917	57.8	27.1	64.3
20120918	52.3	45.9	70.8
20120919	75.1	77	64.4
20120920	60	22.4	69.7
20120921	68.3	52.5	35.2
20120922	52.9	50.2	50.9
20120923	90.7	27.7	66.1
20120924	82.6	35.6	36
20120925	72.7	23.9	74.8
20120926	66.7	51.4	53.4
20120927	57.4	63.4	81.3
20120928	70.1	77.1	27.2
20120929	99.8	21.9	87.4
20120930	93.5	45.2	59.5
