date	Facebook	Twitter	LinkedIn
20111001	81.1	35.5	89.7
20111002	99.2	33.4	34
20111003	58	69.9	48.8
20111004	86.7	50	36.7
20111005	62.5	57.8	59.2
20111006	68.2	58.3	68.1
20111007	76.7	61	85.1
20111008	62.4	55.9	69.2
20111009	91.7	62.2	78.1
20111010	60.1	20.8	83.5
20111011	68.4	56.3	73.4
20111012	80.2	67.8	58.3
20111013	52.6	28.1	65.7
20111014	59.3	23.4	69.1
20111015	57.2	56	45.2
20111016	96.3	44.7	54.6
20111017	89.7	71.1	69.7
20111018	83.5	20.6	53.3
20111019	61.5	78.6	70.9
20111020	71.7	69.8	60.5
20111021	84.6	44.3	83.8
20111022	75.1	23.6	74.2
20111023	66.4	40.3	43.2
20111024	88.9	58.3	67.8
20111025	81.3	64	65.5
20111026	99.9	36.8	32.8
20111027	58.5	34.6	66.2
20111028	88.2	50.9	59.4
20111029	86.6	70.3	54.7
20111030	76.5	56.8	45.3
20111031	99.5	21.4	52.9
20111101	97.4	44.8	71.3
20111102	71.7	71.9	37.7
20111103	63	43.3	28.8
20111104	60.6	35.2	57.6
20111105	80.6	52.1	89
20111106	98.1	25.9	42.3
20111107	74.3	71.8	46.5
20111108	96.5	43.8	77.3
20111109	81.1	55.1	69.9
20111110	94.1	42.1	42.3
20111111	56.4	38.8	80
20111112	81.1	25.8	68
20111113	82.9	68.6	59.3
20111114	56.4	41.8	29.2
20111115	91.8	29.2	42.2
20111116	80.8	57.9	79.1
20111117	66.5	39.4	42.4
20111118	51.8	41.2	87.4
20111119	61.6	55.5	62.3
20111120	91	22.5	83.3
20111121	83.3	33	85.7
20111122	94.3	69.7	52.6
20111123	88.8	39.1	35.5
20111124	60.1	43.7	55.3
20111125	74.7	77.2	83.9
20111126	72.2	52.3	83
20111127	88.6	64.2	30.9
20111128	76	63.9	70.2
20111129	58.8	53.3	55.6
20111130	50.6	47.2	33.1
20111201	99.3	32.8	28.2
20111202	90.5	29.5	65.2
20111203	62.4	23.4	45.3
20111204	73.8	27.7	67.1
20111205	70.1	73.3	58.2
20111206	56.4	56.7	77.2
20111207	71.1	66.2	54.6
20111208	93.4	78.3	73.2
20111209	80.7	49.6	61.8
20111210	52.4	65.9	78
20111211	74	68.7	33.3
20111212	95.8	76.5	58
20111213	66.6	63.6	88.1
20111214	70.2	57.3	25.4
20111215	76.4	45.5	30.6
20111216	55.8	28	57.8
20111217	76.4	58.9	80.4
20111218	89.7	34.5	32.3
20111219	57.5	55.5	81.7
20111220	89.6	67.2	53
20111221	85.4	57.4	66.7
20111222	67.2	28.5	36.2
20111223	96.3	44.9	58.2
20111224	83.6	32.4	51.2
20111225	90.3	37	68.7
20111226	60.5	71.6	42.1
20111227	91.8	68.4	34.7
20111228	73.2	25	42.8
20111229	61.1	22.9	89.1
20111230	67.2	30.1	60.5
20111231	52	76.4	34.5
20120101	96.4	64	59.7
20120102	73.6	59.2	77.9
20120103	50.9	47.4	33.8
20120104	77	20.2	30.5
20120105	98.3	64.6	42.8
20120106	99.2	34.1	42.3
20120107	79.5	65.8	43.3
20120108	60.9	63.6	41.3
20120109	60.2	51.7	71
20120110	75.1	46.5	70.8
20120111	51.7	79.3	49.1
20120112	87.6	32.1	26.7
20120113	79.3	37.9	75.4
20120114	82.1	24.8	44.8
20120115	85.8	64.2	40.4
20120116	95.8	49.4	73.6
20120117	73.2	75.8	44.4
20120118	52.9	67.8	45.2
20120119	96.5	41	44.6
20120120	87.5	49.9	56.7
20120121	85.3	35.9	38.6
20120122	87.3	38	56.9
20120123	84.5	55.1	25.9
20120124	56	59.8	44
20120125	64.2	37.9	47.5
20120126	99.1	56.7	42.1
20120127	63.4	46.6	32.7
20120128	57.5	74.1	47.7
20120129	94.7	67.2	45.4
20120130	68.5	70.9	27.6
20120131	99.1	61	40.8
20120201	51.7	41.7	63.9
20120202	52.7	66.2	84.2
20120203	77.1	23.3	40.7
20120204	88.2	48.5	43.6
20120205	86.2	46.4	44.2
20120206	61.4	49.7	65.4
20120207	98.7	53.4	58
20120208	97.4	63.2	33.8
20120209	50.4	56.2	25.1
20120210	72.1	35.5	68.9
20120211	71.3	41.4	64.6
20120212	91.4	52.2	38
20120213	72.5	49.3	59.1
20120214	95	58.8	36.6
20120215	76.5	23.6	59.9
20120216	74.1	43.5	41.8
20120217	86.1	66.8	44
20120218	55.7	62.2	76.9
20120219	99.1	70.4	44.3
20120220	66.1	44.5	32.4
20120221	90.5	43	69.2
20120222	51.8	49.5	59.4
20120223	94.3	76.3	82.2
20120224	96.1	39.8	63
20120225	80.3	42.5	75.2
20120226	84.3	54.5	25.8
20120227	85.5	31.9	86.1
20120228	79.6	57.7	44.1
20120229	68.1	35	29
20120301	89.7	74.2	85.8
20120302	69.2	28	67.1
20120303	59.9	38	75.9
20120304	76.9	76.1	63.5
20120305	97	57	88.9
20120306	50.6	22.1	41.5
20120307	87.3	68	53.6
20120308	76.4	26.4	28.6
20120309	85	35.2	81.1
20120310	86.4	56.2	78.5
20120311	61.1	58.4	73.7
20120312	87.8	37.1	45.1
20120313	64.5	71.7	83.8
20120314	58.8	58.2	68.9
20120315	58.6	29.5	47.6
20120316	83.1	32.6	80.1
20120317	61.4	52.3	70.7
20120318	55.3	33.7	26
20120319	77.5	76.3	51.5
20120320	52.7	20.5	71.6
20120321	74.2	71.8	48.3
20120322	81.3	21.1	41
20120323	65.7	43.3	78.8
20120324	67.6	58.6	48.2
20120325	82.3	65.2	73.9
20120326	77.7	78.2	56.1
20120327	63.7	79.1	73.4
20120328	60.2	29.1	84.1
20120329	78.8	33	51.9
20120330	70.8	31.4	73
20120331	85	60.7	81.1
20120401	98.8	29.9	53.4
20120402	54.7	51.4	53.5
20120403	78.6	36.5	48.2
20120404	58.7	77	31.3
20120405	81.8	32.6	64.7
20120406	56.6	37.5	88.6
20120407	98.2	62.1	28.4
20120408	60.4	22.5	27.1
20120409	75.2	38.4	46
20120410	96.4	78.4	77
20120411	99.9	64.4	38.4
20120412	55.6	69.8	70.4
