date	Facebook	Twitter	LinkedIn
20111001	78.6	61.1	76.7
20111002	74.3	52.6	52.5
20111003	78.7	24.3	27.5
20111004	57.9	56.4	79.5
20111005	78.2	24.4	63.8
20111006	65.9	34.3	82
20111007	71.8	28	38.4
20111008	90.7	79.3	88.3
20111009	82.8	28.6	71.9
20111010	52.8	21.5	36.5
20111011	64.3	49.7	82.5
20111012	54.9	53.5	56.6
20111013	66.1	61.1	76.7
20111014	70.8	65.1	61.7
20111015	55.7	76.2	56.5
20111016	62.4	63	44.9
20111017	96.4	50.8	34.6
20111018	84.2	43.2	87.6
20111019	95.5	60.2	84.3
20111020	94.9	40.5	78.1
20111021	50.8	46.7	39.5
20111022	60.1	75.1	65.1
20111023	82.6	62.3	38.1
20111024	90.6	28.2	42
20111025	55.2	30.6	61.8
20111026	74.7	37.8	52.3
20111027	50.8	42.2	88.2
20111028	75.6	37	32.4
20111029	73.2	55.4	81.3
20111030	75.5	74.6	52.9
20111031	69.1	50.5	37.6
20111101	63.7	72.3	81.7
20111102	71.6	76.6	62.3
20111103	75.1	25.9	29.8
20111104	77.3	69.4	75.3
20111105	50.4	56.9	77.5
20111106	85.3	50	63
20111107	51.4	31.4	61.6
20111108	86.8	72.9	54.7
20111109	75.6	41.1	34.1
20111110	57.5	22.7	56.1
20111111	79.6	55.6	88.1
20111112	66.9	37.4	60.6
20111113	80.7	69.7	36.1
20111114	80.3	69.4	79.8
20111115	70.3	44.5	58.7
20111116	95.1	50.7	86
20111117	84.3	36.5	80
20111118	60.1	43.3	34.6
20111119	88.9	24.5	61.2
20111120	94.9	72	87.7
20111121	51.8	35.7	42.1
20111122	83.8	71.1	69.7
20111123	82	54	72.3
20111124	85.7	30.4	62.1
20111125	84.1	40.1	65.8
20111126	59.6	23.5	32
20111127	84.4	56.3	78.4
20111128	71.4	53.5	44.2
20111129	50.2	77	33.5
20111130	58.5	29	88.1
20111201	83.8	45.5	78.7
20111202	90.6	75.4	62
20111203	88.9	30.8	44.4
20111204	80.3	23.9	84
20111205	65.4	53.3	68.5
20111206	55.1	54.8	79.1
20111207	54.1	62.9	41.3
20111208	70.7	45.7	79
20111209	64.3	29.4	34.7
20111210	51.5	52	87.7
20111211	79.3	58.6	52.5
20111212	63.1	41.2	71.1
20111213	98.6	42.8	61.5
20111214	79.2	76	60.4
20111215	86.1	50.9	39.6
20111216	70.2	60.1	52.2
20111217	59.1	35.6	57.8
20111218	52.7	31	51.1
20111219	61.5	32.3	33.6
20111220	51.8	22.3	34.6
20111221	80.7	59.2	50.9
20111222	90.3	32.6	25.4
20111223	78.8	22.2	72.6
20111224	81.7	50.3	82
20111225	69.6	62.4	36.2
20111226	66	43.7	35.9
20111227	88.5	63	37.9
20111228	90.6	75.5	52.9
20111229	62.7	41.2	67.6
20111230	99.5	59.6	60.6
20111231	52	52.2	71.7
20120101	59	70.5	61.9
20120102	93.2	41.6	35.5
20120103	58	33.4	57.1
20120104	94.7	42.2	48.1
20120105	85.1	34.6	69.7
20120106	87.2	43.4	74.3
20120107	96.5	50.3	69.5
20120108	53.3	76.7	80.2
20120109	52.6	64.4	60.5
20120110	67.4	57.3	72.4
20120111	60.3	61.9	30.9
20120112	91.8	74.9	81.5
20120113	75	59.4	63
20120114	87.9	43.2	72.3
20120115	75.4	50	74.9
20120116	61.2	32.1	37.9
20120117	88.3	51.9	44.1
20120118	75.3	41	33.3
20120119	51.7	50.2	85.9
20120120	78.5	27.9	48.5
20120121	70.2	51	35.6
20120122	51.9	63.2	28.6
20120123	73.6	64.8	84.3
20120124	99.7	71.3	38
20120125	59.1	32.2	69.8
20120126	64.3	20.3	65.4
20120127	53.4	75.6	45.8
20120128	61.4	52.9	82.2
20120129	98.3	41.1	86.7
20120130	94.4	67.5	79.7
20120131	72.8	65.7	35
20120201	66.7	74.3	80
20120202	80.1	21.3	40.9
20120203	76.6	24	73.3
20120204	86.4	22.2	33.3
20120205	89.6	44.6	39.2
20120206	65.7	57.9	44.8
20120207	95.9	54.2	36.5
20120208	63.3	67	81.2
20120209	73.9	74	33.3
20120210	54.9	44.5	62.1
20120211	93.1	61.1	77.2
20120212	91.4	28	50.1
20120213	50.7	74.2	56.9
20120214	80.6	65.6	26.9
20120215	51.4	41.8	75.7
20120216	69.5	40.3	52.6
20120217	99.8	36.7	72.6
20120218	54.9	23.7	32.9
20120219	88.9	55.3	66.9
20120220	61.5	45.6	28.4
20120221	80.2	57.2	86.4
20120222	88.4	39.8	39
20120223	83.2	71.8	81.9
20120224	89.1	23.2	33.2
20120225	54.8	78	89.5
20120226	61.4	40.4	34.9
20120227	52	34.7	67.8
20120228	86.7	78.8	28.3
20120229	83.1	36.8	28
20120301	69.6	57.2	47.5
20120302	65.2	44.9	46.6
20120303	94.1	63.6	47.8
20120304	59.1	33.3	30.2
20120305	69.9	73	87.6
20120306	63.9	36	27.3
20120307	61.9	73.6	61.9
20120308	67.4	62.2	76.3
20120309	51.3	41	67.5
20120310	60	53.3	27.8
20120311	94.6	57.6	88.3
20120312	83.1	63.7	54.7
