date	Facebook	Twitter	LinkedIn
20111001	95	76.9	44.1
20111002	77.5	31.6	62.3
20111003	51.5	69.8	74.9
20111004	54.4	71.6	89.7
20111005	92.8	37.1	82.8
20111006	71.4	70.5	26.3
20111007	74.1	43.5	63.1
20111008	99.7	26	61.9
20111009	69.7	56.2	88.3
20111010	58.7	75.7	78.7
20111011	89.4	24.1	59.8
20111012	95.9	65.5	86.3
20111013	78.5	30.8	77.4
20111014	62.8	21.2	73.1
20111015	76.2	54.9	68.7
20111016	66.6	43.3	68.8
20111017	73.1	22.9	65.2
20111018	95.2	78.6	58.8
20111019	68.5	76.3	59.2
20111020	73.6	36.9	57.7
20111021	92	29.3	81.9
20111022	70.2	78.1	79.8
20111023	67.1	70.1	53.9
20111024	88.7	67.9	85.9
20111025	53.8	29	80.1
20111026	89.1	35.9	68
20111027	75.4	79.1	58.9
20111028	96.4	65.5	57.7
20111029	90.2	41.7	90
20111030	68.1	39.6	57.5
20111031	86.7	71.3	62.5
20111101	52.7	40.8	38.9
20111102	92.3	45	70.6
20111103	85.1	60.1	37.9
20111104	95	37.9	71.4
20111105	76.5	23.7	71
20111106	94.5	21.6	73.5
20111107	70.5	20.8	63.1
20111108	57.8	56.7	85.4
20111109	96.4	32.2	63.4
20111110	70.5	46.1	37.4
20111111	67.2	33.9	64.2
20111112	82.9	50.2	45
20111113	79.3	43.2	55
20111114	67.9	21.2	25.7
20111115	84	53.9	49
20111116	65.5	47.4	42.3
20111117	65.3	56.1	33.8
20111118	54.5	53.8	29.7
20111119	68.1	58.1	69.3
20111120	51.4	21.3	49.3
20111121	84.8	37.4	61.5
20111122	53.3	60.3	85.2
20111123	72.3	64.4	55.1
20111124	99	50.3	40.5
20111125	80.7	79.2	84.4
20111126	89.3	72	83.7
20111127	90.1	75.4	67.3
20111128	67.7	54.2	86.8
20111129	63.3	77.9	51
20111130	74.9	69.8	27.6
20111201	85	41.2	26.3
20111202	55.8	35.5	64.6
20111203	70.7	46.1	40.5
20111204	56.7	38.5	45.7
20111205	89.5	47.7	54.8
20111206	64.1	74.4	50.8
20111207	61.5	66.5	47.4
20111208	51.7	30.8	71.6
20111209	97	43	36.5
20111210	59	49.1	72.6
20111211	63.4	37.8	37.3
20111212	94.6	30.9	62.8
20111213	73.2	30.2	48.3
20111214	61.6	70.2	89.5
20111215	53	22.6	49.2
20111216	73.9	68	77.8
20111217	61.7	38.1	74.1
20111218	86.2	40.4	43.3
20111219	93.1	27.2	48.6
20111220	80	68.4	48.9
20111221	57.6	78.6	72.1
20111222	54.9	47.9	76.6
20111223	50.1	24.4	86.9
20111224	91.6	78.9	62.9
20111225	76.2	60.9	38.1
20111226	61.5	64.9	39.4
20111227	68.8	67.4	82.5
20111228	74	47.9	77.4
20111229	90	53.4	33.2
20111230	61.1	61.3	72.9
20111231	78.3	46.4	36.9
20120101	66	37.6	80.3
20120102	59.3	22.2	76.4
20120103	59.9	21.5	27.8
20120104	54.5	77.1	68.5
20120105	78.8	55.1	75
20120106	82.8	37.1	67.4
20120107	79.9	77.4	89.2
20120108	63.7	51.3	36.2
20120109	83.1	73.3	52.7
20120110	91.2	74.7	29.3
20120111	74.1	65.1	40.5
20120112	63.2	59.5	85.3
20120113	58.2	31.3	51.9
20120114	60.2	48	56
20120115	66.7	36.1	60.2
20120116	82.8	36.4	68.7
20120117	79.8	24.4	74.5
20120118	67.1	34.1	59.9
20120119	93.7	74.2	26.6
20120120	62.8	36.9	85.1
20120121	69.7	54.1	88.2
20120122	66.9	68	69.4
20120123	68.5	45.4	30.4
20120124	74.1	36.2	87.6
20120125	83.1	27	81.9
20120126	61.8	74.5	66
20120127	97.5	33.7	46.1
20120128	94	60.1	89.4
20120129	59.6	34.2	76.4
20120130	89.8	26.2	46.8
20120131	71.6	51.2	30.5
20120201	63.5	78.9	89.4
20120202	60.6	39.2	58.3
20120203	57.7	59.3	82.1
20120204	57.1	72.2	89.9
20120205	51.7	52.7	75.6
20120206	70.5	26.6	65
20120207	92	36.6	76.9
20120208	62.5	62.8	35.2
20120209	50.9	38.7	73.2
20120210	84.8	39.4	61.5
20120211	85.2	26.7	49.1
20120212	54.7	34.4	45.3
20120213	78.3	30.9	75.2
20120214	61.3	76.7	34.2
20120215	59.4	51.6	45.4
20120216	51.1	32.5	67.7
20120217	59.8	42.2	82.7
20120218	59	60.4	71.7
20120219	75.4	30.3	54.4
20120220	61.5	29.1	68.7
20120221	69.4	37.6	28.1
20120222	89.6	21.9	76.8
20120223	59.6	70.2	77.8
20120224	55.6	51	59.9
20120225	50.1	50.8	67.9
20120226	56.3	58.1	51.1
20120227	75.4	55.1	68
20120228	80.1	31.4	64.1
20120229	92.3	31.9	43.1
20120301	56.5	27.5	75.8
20120302	63.6	61	89.4
20120303	51.5	77.3	53.8
20120304	92.1	57.6	89.4
20120305	70.6	35.3	84.7
20120306	76.1	68	85.8
20120307	98.8	40.5	87.7
20120308	67.3	33.7	89.8
20120309	64.6	58.6	48.5
20120310	79.6	20.4	66.5
20120311	81.6	43.9	30.1
