date	Facebook	Twitter	LinkedIn
20111001	98.9	51.4	80.1
20111002	99	59.7	47
20111003	63.6	73.1	63.6
20111004	83.9	32.9	38.6
20111005	60.6	34.4	88.3
20111006	85.2	47.5	71.5
20111007	50.1	20.4	78
20111008	89.6	78.1	57.8
20111009	58.5	40.3	42.3
20111010	82.2	32.1	68.5
20111011	99.6	61.3	72.3
20111012	73.2	64.7	55.6
20111013	55.4	73	72.2
20111014	83.7	56.7	42
20111015	68.5	41.8	46.5
20111016	98.8	45.8	47.9
20111017	61.6	53.2	86.5
20111018	59.3	52.4	74.4
20111019	59.1	52.7	63.4
20111020	73.7	42.5	31.2
20111021	51.5	52.9	89.9
20111022	97.4	58.1	27.9
20111023	53.1	66	35.3
20111024	85.5	27.8	35.4
20111025	68.6	61.2	32.8
20111026	92	37.6	87.5
20111027	94.3	75.8	36
20111028	95.3	64.3	59.7
20111029	93.2	28.3	72.5
20111030	98.8	43.5	32.8
20111031	97	53.9	63.2
20111101	62.1	22.2	53
20111102	97.3	39.7	41.8
20111103	84.6	38.8	65.4
20111104	54.4	50.2	66.8
20111105	74.3	51.1	37.4
20111106	62.5	50.3	43.3
20111107	96.6	64.8	40.6
20111108	72.2	47.2	77.6
20111109	62.3	32.7	80.4
20111110	86.1	47.3	56.8
20111111	74.4	67.1	59.6
20111112	52.5	79.6	81.4
20111113	67.1	26.3	86.2
20111114	98.7	73.3	87.4
20111115	82.2	67.6	51.6
20111116	52.7	48.3	58.9
20111117	91.3	56.1	85.4
20111118	70.7	79.1	41.7
20111119	84.1	54.4	65.6
20111120	94.7	39.1	31.1
20111121	55.7	50.5	83
20111122	80.8	55.8	78.9
20111123	88.7	38.8	71.8
20111124	99.6	35.6	75.5
20111125	87.7	23.8	81.2
20111126	72.6	56.3	40.9
20111127	87.5	68.8	84.2
20111128	72.1	77.6	86.9
20111129	66.4	50.1	49.7
20111130	73.2	77.3	72.5
20111201	62.4	50.2	51.6
20111202	60.1	53.2	30.7
20111203	98.3	58.8	70.4
20111204	50.4	69.5	59.5
20111205	87.1	65.2	69.8
20111206	65.1	55.9	69.2
20111207	50.6	22.6	40.4
20111208	82.2	49.2	63
20111209	97.1	76.6	37.7
20111210	77.1	76.4	75.9
20111211	65	27.7	69.5
20111212	63.5	37.6	25.7
20111213	54.4	71.4	89.1
20111214	60.3	78.7	63.6
20111215	78.3	75.6	44.7
20111216	76.6	41.4	85.3
20111217	80.3	68.9	79.3
20111218	63.3	71.3	64.3
20111219	74.7	67.7	85.6
20111220	98.3	41.7	29
20111221	82.7	28.4	41.3
20111222	80	22.4	78.4
20111223	94	61.4	36.4
20111224	70.2	23.3	70.6
20111225	52.3	42.2	87.1
20111226	85.9	70.3	61.3
20111227	71.5	48.5	43.4
20111228	56.8	73.6	54.3
20111229	52.5	66.5	44.5
20111230	73.6	37.8	43.2
20111231	84.8	66.2	39.7
20120101	66.3	40.4	44.2
20120102	78.1	59.3	32.7
20120103	65.1	21.7	26.7
20120104	81.1	69.1	54.5
20120105	58.3	40.2	58
20120106	58.9	75.4	59
20120107	72.4	47.1	83.4
20120108	61.8	74.7	80.6
20120109	65.5	45.5	79.2
20120110	80.8	48.5	34.4
20120111	84.9	75.3	32.1
20120112	98.1	69.7	51.4
20120113	52.3	21.8	59.9
20120114	52.3	70.3	45.6
20120115	56	37.4	31.5
20120116	53.1	69.6	25.1
20120117	85.9	44.8	71.7
20120118	88.7	57.1	69.7
20120119	65.7	41.9	40.1
20120120	85.7	59.1	89.6
20120121	95.6	66	56.4
20120122	91.1	32.7	76.5
20120123	82.2	67.3	59.5
20120124	60	26	83.7
20120125	94.9	79.5	51.8
20120126	93.9	39.4	28.2
20120127	50.3	68.8	25.2
20120128	87.8	56	79.6
20120129	90.4	56.7	80
20120130	56.7	65.5	71.4
20120131	78.5	50	26.9
20120201	75.3	40.6	31.6
20120202	54.7	42.1	56.9
20120203	74.3	80	41.6
20120204	52	69.4	44.9
20120205	53.7	46.4	55.7
20120206	85.8	77.8	79.8
20120207	81.7	24.4	70.2
20120208	96.2	30.9	81.2
20120209	64.1	56.5	70.9
20120210	79.9	47.6	85
20120211	77.2	31.8	49.3
20120212	64.8	69	67.7
20120213	75.2	75.1	70.9
20120214	91.5	71.7	78.9
20120215	89.9	62.9	67.6
20120216	78	59.6	38.3
20120217	57.2	22.4	83.3
20120218	56.7	39.7	64.9
20120219	66	69.4	30.8
20120220	86.7	24	77.7
20120221	86.4	53.3	43.3
20120222	53.8	53.9	87.4
20120223	99	53.8	57.5
20120224	86.4	78.3	80.2
20120225	57.3	67.1	69.9
20120226	76.4	72.2	37.7
20120227	79.2	57.2	58.9
20120228	55.8	77.4	64.6
20120229	75.5	59.8	73
20120301	94.7	40.8	31.7
20120302	86.3	43.8	30.1
20120303	96.5	63.5	38.5
20120304	57.2	28.7	86.3
20120305	79.4	65.7	29.2
20120306	52.2	72.5	44.5
20120307	97.4	49.1	30.3
20120308	60.1	58.4	61.6
20120309	62.9	54.5	25.5
20120310	66.2	65.3	49.8
20120311	99.5	64.4	59
20120312	70.7	79.6	64.6
20120313	63.4	58	69
20120314	50.8	43.8	82.4
20120315	85.5	20.2	77.2
20120316	73.5	49.7	61.4
20120317	97.3	20.7	71.8
20120318	80.2	21.4	88.5
20120319	70.1	74.6	47.8
20120320	75.9	45.4	41.6
20120321	53.1	51.4	30.5
20120322	68.3	63.9	33.2
20120323	65.3	34.1	57.2
20120324	65.1	57.9	57.1
20120325	53.8	43.3	40.8
20120326	50.3	66.5	71.4
20120327	95.7	40.3	43.6
20120328	71.4	59.5	77.8
20120329	82.3	53.4	72
20120330	84	58.2	32
20120331	89.2	50.4	81.8
20120401	62.3	73.1	87.9
20120402	93.5	32.5	54.8
20120403	94	42.8	68.6
20120404	68.1	62.6	86.6
20120405	94.4	32.7	63.6
20120406	89.8	73.3	54.7
20120407	85.4	67.8	38.2
20120408	64.7	36	74.3
20120409	95.1	67.7	61.6
20120410	84.1	69.3	43.5
20120411	51.7	69.8	47.4
20120412	88	75.2	37.5
20120413	52	37.3	60.2
20120414	75.7	73	81.3
20120415	51.4	67.5	50.7
20120416	64.9	69.5	52.4
20120417	83.2	28.9	39.2
