date	Facebook	Twitter	LinkedIn
20111001	54.9	66.7	84.4
20111002	54.7	22.4	63.7
20111003	87.1	38.8	87.7
20111004	72.6	59.4	74.8
20111005	95.8	49.5	85.2
20111006	92.6	45.4	53.6
20111007	51.9	57	51.5
20111008	52.2	49.6	71.3
20111009	82.3	34.3	46.5
20111010	83.1	75.3	64.6
20111011	51.1	68.8	83.2
20111012	64.9	69.2	79.1
20111013	74.3	70.2	41.6
20111014	91.8	32.2	29.8
20111015	82.2	44.2	73.4
20111016	74.3	53.7	85.6
20111017	54.8	42.1	74.7
20111018	56.6	48.7	64.3
20111019	71.7	54.9	68.3
20111020	98.3	72.8	80.8
20111021	76.3	70.1	40
20111022	75.3	62.2	89.3
20111023	69.2	52.1	64.4
20111024	72.4	24.8	73.5
20111025	58.1	32.8	75.3
20111026	50.2	39.5	53.6
20111027	53	43.4	84.3
20111028	81.4	38.7	71.3
20111029	57.8	45.6	42
20111030	64.3	23.3	70
20111031	74.2	40	44.6
20111101	85.5	52.9	57
20111102	93.1	63.6	50.2
20111103	62.9	31.3	44.5
20111104	63.4	42.4	35
20111105	65.5	41.1	58
20111106	90	79.3	44.9
20111107	68.1	76.2	65.1
20111108	75	37.1	65.9
20111109	61.1	75.6	82.8
20111110	79.4	44.2	46.8
20111111	98.4	39.3	87.7
20111112	93.8	32.1	30.1
20111113	79.1	77.5	85.2
20111114	70.3	25.7	40.1
20111115	70.8	25.3	58.1
20111116	80	41.9	44.4
20111117	95.2	63.9	55.7
20111118	72.5	28.7	59
20111119	58.7	29.5	44.9
20111120	76.6	52.2	30.2
20111121	74.2	22.4	76
20111122	94.7	50.9	52
20111123	81.3	26.7	28.9
20111124	54.2	55.2	63.5
20111125	85.3	42.7	44.5
20111126	93.1	43.8	74.3
20111127	99.8	33	28.5
20111128	69.1	62.5	28.8
20111129	85.3	75.1	81.1
20111130	94.2	47.5	63.5
20111201	94.9	49.1	76.4
20111202	58.2	69.6	43.3
20111203	95.9	66.4	82.9
20111204	69.1	50.8	72.7
20111205	50.4	35.8	77.3
20111206	97.9	59.2	54.2
20111207	50.9	22.9	88.2
20111208	82	25.1	87.6
20111209	68.7	71.5	36.9
20111210	99.1	73.3	76.3
20111211	85.8	30	52.6
20111212	89.6	43.6	41.1
20111213	92.6	62.7	42.7
20111214	66.5	26.6	58.7
20111215	97.8	79.7	42.9
20111216	64.9	35	60.5
20111217	58.3	54.8	29.5
20111218	94.4	68.2	64.8
20111219	98.7	34.4	37.5
20111220	72.1	41.2	69.5
20111221	55.3	37.3	77.8
20111222	75.5	23.3	83.6
20111223	87.4	58.7	80.8
20111224	65.9	50.4	75.6
20111225	67.3	48.8	41.9
20111226	98.1	44.6	88.3
20111227	66	47.3	43.3
20111228	91.6	34.7	73.4
20111229	70.1	76	35.7
20111230	54.7	43.3	50.8
20111231	74.8	60.9	60.9
20120101	60	41.6	48.7
20120102	60.1	73.9	52.9
20120103	89.6	29.5	73.9
20120104	71.8	58.7	59.7
20120105	72.6	70.9	52.3
20120106	90	77.9	55.6
20120107	58.2	72.4	89.9
20120108	80.3	38	25.3
20120109	72.2	65.7	50.3
20120110	85.8	78.6	41.4
20120111	74.8	30.3	66.2
20120112	81.1	71.6	72.7
20120113	93.4	48.6	39.3
20120114	69.9	48.6	59.6
20120115	72.2	39.6	37.5
20120116	73.4	31	25.1
20120117	88.3	71.9	67.8
20120118	66	30.9	75.9
20120119	99.8	54.1	60
20120120	79.7	48	28.9
20120121	52.7	72.4	67.4
20120122	60.2	20.1	45.6
20120123	84.3	23.3	57.2
20120124	69.5	62.8	27.4
20120125	77.5	21.6	45.2
20120126	93.9	25.4	31
20120127	77.4	21.1	43.1
20120128	77.2	49.2	75.6
20120129	99.5	39.4	86.5
20120130	62.7	45.3	71.8
20120131	66.8	52.8	40.9
20120201	88.8	47	33.7
20120202	78.6	23.3	68.2
20120203	97	45.2	34.9
20120204	75.1	53.5	55.7
20120205	72.3	31.6	37.2
20120206	74.3	21.9	27.4
20120207	99.1	26.8	62.2
20120208	70.8	44.3	66.3
20120209	77.8	70.6	84.8
20120210	97.9	62.8	46.1
20120211	61.4	39.2	87.8
20120212	67.3	59.4	71.5
20120213	80.5	77.5	78.4
20120214	64.2	65.4	75.9
20120215	91.6	42.4	83.3
20120216	84.5	52.4	25.9
20120217	93.5	32.5	86.3
20120218	69.4	48.1	59.3
20120219	69	73.3	87.1
20120220	98.3	51.7	89.5
20120221	74.2	40.6	82.7
20120222	68.7	60.6	54.6
20120223	56.8	23.3	52.3
20120224	52.5	56.4	52.2
20120225	99.7	76.6	40.9
20120226	78.6	49.8	74.1
20120227	97.2	78	63.5
20120228	58.7	61.4	47
20120229	85.9	47	87.8
20120301	80.3	51.4	54.7
20120302	61.1	49.5	46.5
20120303	58.6	61.7	48.6
20120304	76.2	79.8	36.9
20120305	97.5	75.5	62.5
20120306	81.2	30.1	43.3
20120307	74.2	67.2	74.6
20120308	73.2	50.4	87.5
20120309	75.2	77.1	44.6
20120310	89.5	58.8	43.7
20120311	70.8	35.9	82.7
20120312	90.3	55.4	57.7
20120313	82.8	40.7	74.3
20120314	88.3	29.5	57.6
20120315	57	58.5	51.2
20120316	96.6	63.2	43.8
20120317	68.3	30.2	79.8
20120318	76.2	51.4	69.2
20120319	98.6	40.2	79.5
20120320	80.9	31.3	67.8
20120321	86.9	53.1	64.9
20120322	55.7	31.3	36.5
20120323	69	54.8	86.8
20120324	59.9	41.9	46.5
20120325	80.2	69	73.9
20120326	98.1	69	33.5
20120327	63.1	75.8	51.8
20120328	54.8	63	49.5
20120329	80.5	53.2	64.1
20120330	89.2	72.8	46.1
20120331	98.5	79.2	45.1
20120401	62.8	28.1	32.9
20120402	65.7	24.8	41
20120403	81.1	69.7	42.1
20120404	79.4	64.9	86.7
20120405	96.1	21.9	57
20120406	88.5	69.1	37.1
20120407	76.3	35.2	85.1
20120408	98.6	27.5	58.1
20120409	66.4	63.8	45.1
20120410	56.6	24.9	28.9
20120411	67.8	57.1	70.9
20120412	51.7	27.5	87.9
20120413	87.3	58.4	25.6
20120414	87.8	66.4	85.9
20120415	60.4	20.5	29.2
20120416	88.9	31.6	82.2
20120417	70.9	62.5	46.7
20120418	65.4	49.8	69.3
20120419	99	45	47.8
20120420	80.5	32.4	54.6
20120421	93.7	60.3	52.6
20120422	68.4	53.9	82.1
20120423	77.8	24	45.9
20120424	68.6	58.5	54.7
20120425	55.8	54.5	82.8
20120426	52.5	46.1	78.6
20120427	56.7	36.5	81.1
20120428	82.8	43.4	51.8
20120429	59.7	25.7	44.3
20120430	56	22.8	31.1
20120501	57.9	40.5	50.3
20120502	93	64.4	67.2
20120503	82.6	27.8	64.8
20120504	55.5	53.8	35.2
20120505	70.4	78.8	53.6
20120506	74.7	21	66.5
20120507	68	31.4	29.9
20120508	97.7	22.4	62.8
20120509	84.7	66.7	87.9
20120510	62.5	43	35.4
20120511	60.6	23.7	26.8
20120512	80.6	48.9	43.3
20120513	85.1	32.1	78.2
20120514	65.9	38.1	75.5
20120515	61.1	36	35.6
20120516	60.4	69.8	47.8
20120517	72.1	57.8	83.4
20120518	73.2	29.5	34.1
20120519	74	67.6	73.5
20120520	57.8	41	87.1
20120521	92.6	74.9	59.9
20120522	67.5	52.1	63.7
20120523	75.1	57.9	40.7
20120524	90.9	75.4	75.9
20120525	50.6	79.9	60.2
20120526	81.2	59.7	64.9
20120527	72.5	54.6	84.3
20120528	56.9	65.8	62.6
20120529	74.6	22.4	53.6
20120530	62.2	50.5	59.9
20120531	86.6	69.1	79.7
20120601	89.6	22.2	39.7
20120602	67	56.4	52.1
20120603	78.6	23.4	34.1
20120604	74.2	70	83.6
20120605	67.3	72.9	84.3
20120606	58.8	41.9	53.6
20120607	86.1	32.7	57.9
20120608	71.5	22.4	35.8
20120609	95.5	41.7	80.1
20120610	96.8	70.4	30.4
20120611	82.2	73.4	72.1
20120612	80.8	65.4	41.9
20120613	89.9	68	28.9
20120614	87	61.4	59.3
20120615	74.3	65.8	83.8
20120616	76.6	75.6	35.3
20120617	84.7	23.3	73.5
20120618	68.9	21.3	42.7
20120619	84.7	29.3	89.5
20120620	55.2	29	84.2
20120621	91	30.7	70.4
20120622	96.7	34.6	26.4
20120623	68.2	56.5	85.2
20120624	53.6	48.9	78.7
20120625	80.7	80	44.1
20120626	52.2	76.9	42.8
20120627	68.3	56.3	63.5
20120628	62	51.6	63.2
20120629	69.8	27	60.6
20120630	63.6	40.2	31
20120701	85.1	77.1	31.3
20120702	55.6	38.6	77.8
20120703	77.8	67.7	73.2
20120704	56	60.3	62.2
20120705	81.4	39	81.5
20120706	70.2	46.9	60.5
20120707	87	36.7	31.9
20120708	58.2	36.2	57.8
20120709	51.3	46.6	29.1
20120710	96.4	25	38.9
20120711	76.6	20.8	30
20120712	91.5	51.8	72
20120713	76.8	50.2	75.9
20120714	68.4	27.5	57.3
20120715	57.4	36.3	65.3
20120716	63.9	49.5	66.7
20120717	96.6	27.5	65.9
20120718	71.5	35.6	67.8
20120719	81.8	62.2	32.7
20120720	96.9	45.9	57
20120721	63.2	54.7	28.9
20120722	93	35.5	77.6
20120723	53.6	36.4	45.9
20120724	58	80	73.6
20120725	62	56.8	28.6
20120726	92.8	23.5	65.1
20120727	63.3	28.1	81.7
20120728	74.5	43	40.5
20120729	68.7	48.1	65.4
20120730	67.7	28.3	86.9
20120731	73.3	73.8	83.2
20120801	55	20.5	54.6
20120802	69.3	52.1	63.3
20120803	84.5	60.4	89
20120804	78.8	68.4	34.1
