date	Facebook	Twitter	LinkedIn
20111001	92.5	32.2	80.9
20111002	86.9	35.5	52.5
20111003	75.2	29.1	36.7
20111004	51.1	50.1	59.2
20111005	70.1	36.9	40.1
20111006	97.1	38.1	77.8
20111007	61.8	78.2	32.4
20111008	89.4	66.6	51.9
20111009	64.4	44.4	25.4
20111010	79.7	38.6	76.5
20111011	89	26.2	65.8
20111012	58	28.8	43.6
20111013	50.6	33.8	72
20111014	91.6	43.5	86.3
20111015	67.7	48.7	37.5
20111016	62.3	34	50.4
20111017	66.4	43.6	68.9
20111018	70.6	45.7	69.6
20111019	68.4	42.2	73.1
20111020	91.4	44.4	50.8
20111021	50.2	64.3	87.6
20111022	74.6	51.8	48.9
20111023	75.7	59.1	61.3
20111024	51.5	39.7	83.1
20111025	67.4	61.8	48.1
20111026	64.5	67.6	43.7
20111027	91.7	46.2	41.3
20111028	55.1	21.6	28.8
20111029	98.4	39.1	56
20111030	55.8	69.6	35.2
20111031	65.9	58	42.6
20111101	91.7	20.7	27.7
20111102	65.7	48.7	77.6
20111103	65.2	54.1	58
20111104	74.6	74.6	57.9
20111105	54.9	75.1	59.2
20111106	72	63.8	89.9
20111107	74.8	73.4	60.3
20111108	75.5	55	54.3
20111109	51.6	31.6	89
20111110	77.7	40	89.7
20111111	91.3	49.1	84.9
20111112	62.8	73.3	52.9
20111113	66.7	38.8	33.2
20111114	89.9	75.4	57.6
20111115	73.2	52.4	89.5
20111116	97.1	31.5	50.3
20111117	59.5	21.9	27.4
20111118	89.3	41.7	39.8
20111119	53.3	61.7	87.7
20111120	86	55.2	74.6
20111121	67.2	30.5	58.1
20111122	70.5	33.5	56.9
20111123	78.3	66.9	59.2
20111124	89.3	45.2	83.1
20111125	89.4	47.5	29.3
20111126	69	48.5	63.5
20111127	94.3	71.6	50.3
20111128	74.9	32.8	59.6
20111129	78.2	71.2	35.8
20111130	51.8	66.4	60.6
20111201	99.6	21.3	44.3
20111202	99.5	50.5	83.1
20111203	61.5	78.1	32.8
20111204	94.9	77.8	64.6
20111205	92.6	49.9	86.7
20111206	90.1	26.1	76
20111207	71.3	79.5	36.5
20111208	74	32.8	32.4
20111209	88.1	52.3	50.9
20111210	99.9	33.3	44.2
20111211	54.1	58.7	45.5
20111212	92.9	38.7	34.9
20111213	77.3	54.9	47.9
20111214	64.7	24.7	61.4
20111215	87.5	61.3	39.7
20111216	74.1	58	60
20111217	57.6	32.4	86.7
20111218	85.2	41.4	30.3
20111219	78.2	46.9	88.3
20111220	88	35.3	64.9
20111221	55.5	42.6	54.5
20111222	58.1	25.6	32.9
20111223	67	73.8	81.1
20111224	93.7	64.8	48.2
20111225	68.9	47.5	51.4
20111226	83.6	49.1	68.1
20111227	64.5	64.6	89.6
20111228	68.3	26	45.5
20111229	53.1	52.3	70.9
20111230	72.7	25.5	53
20111231	93.5	25.3	25.3
20120101	98.7	40.4	79.8
20120102	76.1	50.7	34.1
20120103	79.6	77.7	56.6
20120104	63.3	25.1	57.6
20120105	60.9	37	36.4
20120106	67.4	47.7	80.4
20120107	84.1	29	82.1
20120108	99.7	29.4	70.3
20120109	62.2	77.5	76.6
20120110	86	70	41.4
20120111	99.7	30.2	82
20120112	56.9	34.7	71.8
20120113	70.8	31.4	65.8
20120114	82.4	72.3	81.6
20120115	81.8	70.3	41.7
20120116	85.6	54.7	33.4
20120117	58.8	70.4	61.8
20120118	79.2	71.8	67.3
20120119	60.6	21.8	35
20120120	83.4	50.1	32.3
20120121	82	32.6	75.7
20120122	96.4	59.7	36.6
20120123	74.5	71.3	89.5
20120124	99.8	68.9	82.3
20120125	72.8	26.3	49.2
20120126	94.5	79	48.9
20120127	79.3	64.3	88.2
20120128	74.8	30.1	74.2
20120129	71.2	23.5	79.1
20120130	62.6	20.2	29.5
20120131	56.4	74.2	65.5
20120201	82.4	78.5	53.8
20120202	67.7	32.3	78.1
20120203	75.1	64	33.7
20120204	97.1	66.8	85.5
20120205	56.3	42.4	89.5
20120206	84.4	40.1	73.2
20120207	91.8	60.7	51.9
20120208	86.8	68.7	59
20120209	71.5	63	87.9
20120210	68.8	55.5	69.9
20120211	78	37.2	37.9
20120212	64.3	30.6	52.6
20120213	58.1	25.8	43.9
20120214	75	40.3	34.1
20120215	67.5	60.7	64.4
20120216	81.7	74.9	82.2
20120217	71	44.6	43.4
20120218	58.1	60.6	25.2
20120219	95.3	29.9	51
20120220	88.8	78.8	73.2
20120221	90.8	47	50.9
20120222	55.6	28	56.9
20120223	73.8	23	74.4
20120224	68.5	60.6	85.1
20120225	81.9	52.5	34.6
20120226	82	20.2	43.3
20120227	88.2	32.7	56.7
20120228	96.6	22	52.6
20120229	81.7	32.4	71.4
20120301	61.2	71.4	58.6
20120302	85.7	79.1	35
20120303	52.5	54	51.6
20120304	95.7	42.2	74.5
20120305	71	61.7	31.8
20120306	83.7	68.5	70
20120307	54.7	78	81.4
20120308	75.2	55.5	85.3
20120309	75.9	37.2	80.4
20120310	71.9	30.3	85.3
20120311	96.5	31.2	46.6
20120312	50.2	70.3	59.1
20120313	72.3	28.4	83.2
20120314	83.5	40.7	60.8
20120315	57	46.9	35.9
20120316	94.7	38	83.7
20120317	71.4	59.3	87.8
20120318	60.1	43.2	26.9
20120319	62.5	59	84.7
20120320	97.8	63.5	27.9
20120321	94.8	75.6	87.3
20120322	85.6	76.7	88.2
20120323	72.3	61.3	40.1
20120324	66.9	67.8	77.6
20120325	58	62.6	46
20120326	64.6	40.4	51.9
20120327	66	31.8	79.9
20120328	86.6	23.3	51
20120329	66.4	22.5	75.3
20120330	68.4	45.7	61.6
20120331	54.7	31.1	33.3
20120401	59.6	70	57.9
20120402	98.9	21.8	77.3
20120403	76.8	65.9	56.2
20120404	93.1	25.2	71.5
20120405	53.8	65.3	66.7
20120406	54.4	37.8	59.8
20120407	87	51.9	37.9
20120408	66.8	63.8	69.3
20120409	80.9	34.3	36.5
20120410	85.8	55.2	48.7
20120411	67.8	66.3	75.8
20120412	79.5	62.5	76.8
20120413	81.5	53.8	61.2
20120414	97.2	21.6	86.1
20120415	82.3	43.1	79.6
20120416	65.6	59.5	47.1
20120417	91.5	77	39
20120418	78	53.5	86.7
20120419	54.1	46	87.5
20120420	52.8	77.8	89.3
20120421	65.1	31.2	69
20120422	50.2	21.3	39.8
20120423	53	33.2	64.6
20120424	50.1	40.8	42.2
20120425	79.3	37.4	48.1
20120426	53.5	43.9	68.4
20120427	74.6	58.4	86.7
20120428	86.1	73.7	28.5
20120429	94.4	62.1	59.9
20120430	92.5	63.1	55.7
20120501	88.8	41	32.4
20120502	72.2	78.2	69.7
20120503	96.6	50.6	28.7
20120504	72.6	28.1	37.7
20120505	81.7	31.1	52
20120506	65.8	53.4	31.1
20120507	96.7	33.3	36.6
20120508	97.4	58.4	33
20120509	67.6	43.3	25.4
20120510	59.7	49.7	58.4
20120511	59.9	53.6	34.1
20120512	54.5	77.2	54.3
20120513	93.7	26.7	54.9
20120514	70.2	28.6	43.2
20120515	93	67.8	84.7
20120516	64.3	24.7	76.5
20120517	64.4	62.6	78.2
20120518	52	76.3	36.3
20120519	61.9	27.7	68.4
20120520	65.6	79.8	57.4
20120521	59.8	38.7	61.5
20120522	61.7	42.1	78.9
20120523	66.4	54.4	47.9
20120524	64.5	22.5	44.1
20120525	72.5	30.9	26.8
20120526	98	71.7	72.2
20120527	96	75.2	30.1
20120528	70.9	45.7	72.2
20120529	88.7	42	75.3
20120530	90.9	24.9	40
20120531	92.6	32	64.6
20120601	97.8	46.1	86.1
20120602	88.1	27.4	49.4
20120603	66.9	27.7	38.7
20120604	93.8	31.7	62.3
20120605	97.8	65.3	41.5
20120606	88	58.5	36
20120607	63.9	29.3	72
20120608	83.8	49.2	81.5
20120609	63.1	50.2	29.7
20120610	56.1	52.1	53.6
20120611	71.3	73.9	41.3
20120612	74.7	52.4	73.8
20120613	62.2	43	63.7
20120614	67.4	58.1	60.1
20120615	70.9	56.3	26.6
20120616	94.5	38.8	32.5
20120617	90.4	51.1	80.8
20120618	79.9	53.6	55
20120619	52.4	73	83.5
20120620	57.6	74.9	56.3
20120621	57.2	46.1	62.8
20120622	54.2	54.1	47.1
20120623	79	77.7	45
20120624	89.7	67	34.5
20120625	86.3	63	46.6
20120626	92.4	32.5	51.6
20120627	78.7	70.9	74.3
20120628	86.2	75.1	28.4
20120629	54.3	68.5	58.6
20120630	70.6	34	82.6
20120701	85.6	74.6	52.9
20120702	75.8	57.9	79
20120703	91	49.4	69
20120704	90.3	39.6	44.8
20120705	56.1	41.6	45.1
20120706	65.9	40.2	60.4
20120707	67.5	49.8	64.3
20120708	74.2	25.1	76.7
20120709	85.9	29	51.5
20120710	94.5	72.9	65.4
20120711	98.3	69.1	75.3
20120712	80.5	68.9	76.5
20120713	51.4	67.1	59.7
20120714	63.3	74.6	55.7
20120715	79	28.7	63.9
20120716	61.1	55.3	70
20120717	52	51.9	34.5
20120718	77.9	65.4	45.3
20120719	88.5	78.2	89.2
20120720	89.1	26.1	87.3
20120721	77.4	53	74.2
20120722	68.5	42.9	67.9
20120723	78.1	72.2	72.6
20120724	80.4	68.7	34.7
20120725	74.8	45.8	52
20120726	67.8	70	27.9
20120727	73	45.6	38.2
20120728	83.3	71.4	51.5
20120729	91.5	58.1	73.8
20120730	69.8	65.7	49.8
20120731	62.5	39.2	81.6
20120801	62.9	36.2	82.2
20120802	68.1	42	30.3
20120803	95.8	46.9	61.9
20120804	51.8	24.8	33.2
20120805	54.7	78	62.8
20120806	56.1	39.6	30.9
