date	Facebook	Twitter	LinkedIn
20111001	69.1	72.1	61.7
20111002	99.9	31.3	76.8
20111003	94.2	45.1	47.6
20111004	81.9	51.2	57.2
20111005	70	33.7	55.6
20111006	72	43.7	76.8
20111007	52.1	23.2	33.3
20111008	73.8	32	38.1
20111009	75.8	54.4	35.6
20111010	86.5	53.7	82.1
20111011	99.2	65	89.1
20111012	98.4	48.3	53.9
20111013	65	34.4	87.1
20111014	85.5	67.7	40
20111015	56.1	25.5	45.6
20111016	96.7	50.3	39.9
20111017	84.8	28.3	28.4
20111018	72.1	30.3	40.3
20111019	67.4	68.4	40.3
20111020	52.8	53.4	82.3
20111021	98.5	34.9	72.5
20111022	51.4	41.3	59.7
20111023	51.6	21.6	47.9
20111024	67.3	45	44
20111025	95.5	66.1	78.2
20111026	91.9	20.1	60.9
20111027	77.5	48.2	31.3
20111028	61.9	73.5	80
20111029	89.1	46.4	25.1
20111030	80.4	46	87.7
20111031	89.7	20.9	33
20111101	90.6	68.5	59.9
20111102	77.4	51.5	54.1
20111103	95.5	27.1	63.5
20111104	60.3	32	42.8
20111105	82.8	24.7	75.7
20111106	90.8	76.1	40.6
20111107	75.7	45.1	41.2
20111108	90.2	27.8	64.9
20111109	91.8	36.3	51.7
20111110	53.4	22	33.4
20111111	56	28.2	26.8
20111112	85.1	37.1	26.8
20111113	75.7	34.3	50.3
20111114	81.3	55.5	31.8
20111115	98.3	39.9	58.9
20111116	83.4	64.8	82.7
20111117	84.4	36.3	68.6
20111118	94.1	44.3	43.3
20111119	91.7	76.3	57.7
20111120	57.1	40.2	43.3
20111121	78.1	37.4	76.6
20111122	63.7	24.4	64.1
20111123	94.9	59.5	58.9
20111124	64.7	29.6	45.4
20111125	51.8	53.9	66.7
20111126	75.8	46.1	80.3
20111127	50	58.6	87.7
20111128	78.3	23.3	87.9
20111129	92.1	49.1	83.8
20111130	79.8	30	57.5
20111201	87.9	47.5	27.7
20111202	61.2	48	27.5
20111203	89.8	70.7	72.4
20111204	50.1	22.4	80.2
20111205	54.1	69.9	39.6
20111206	70.7	32.9	66.1
20111207	84.2	31.3	28.9
20111208	86.5	40.3	90
20111209	78.2	61.9	65.3
20111210	61	61.1	72
20111211	63.4	59.5	36.3
20111212	76.3	76.3	34.1
20111213	61.8	20.5	76.2
20111214	61.5	75.4	43.8
20111215	97.1	74.8	83.8
20111216	94.6	53	66.8
20111217	61	71	57.2
20111218	55.2	28.4	58.1
20111219	74.4	53.2	28.9
20111220	66.9	56.2	56.5
20111221	87.2	39.6	84.7
20111222	81.8	27.5	58.9
20111223	74.7	56	59.3
20111224	69.9	39.5	56.3
20111225	52.7	64.5	76.3
20111226	92.2	24.7	41.8
20111227	93	49.7	62.6
20111228	94.6	46.4	79.1
20111229	84.5	53.4	87.8
20111230	76.7	40.6	79.3
20111231	99.1	29	80.2
20120101	97.1	23.6	57
20120102	82.2	58.5	87.9
20120103	94.6	53.2	26.4
20120104	50.8	51.1	59.7
20120105	62.4	33.4	80.5
20120106	94.9	38.2	85.7
20120107	78.4	61.4	41.9
20120108	90.4	32.6	41
20120109	55.6	55.2	40.7
20120110	92.7	56.6	59.3
20120111	88.4	52.7	75
20120112	96.6	58.2	31.4
20120113	86	67.7	72.7
20120114	55.5	48.9	44.3
20120115	92.3	26.5	38
20120116	68.6	31.9	53.7
20120117	58.7	79.4	76.7
20120118	57.7	25.5	86.5
20120119	95.1	40.4	48.9
