date	Facebook	Twitter	LinkedIn
20111001	66.8	29.7	57.7
20111002	100	79.9	64.5
20111003	96.3	79.8	61.2
20111004	70.7	65.2	81.5
20111005	84.3	40	37.4
20111006	54.5	77.2	41.5
20111007	95.8	40.9	64.3
20111008	59.3	51.9	74.1
20111009	94.7	78.9	65.3
20111010	77.1	35.1	25
20111011	82.4	40.8	64.8
20111012	86.8	36.2	67.1
20111013	86	51.8	35.3
20111014	51.3	52	63.5
20111015	86.8	33.7	69.3
20111016	52.5	54.6	55.9
20111017	90.6	74.7	74
20111018	75	52.1	39.5
20111019	53	47	81.3
20111020	56.1	46.3	62.6
20111021	88.6	43.9	74.6
20111022	87.2	26.1	79.4
20111023	51.1	43.8	72.2
20111024	61.5	30.9	44.5
20111025	87.2	40.2	47.5
20111026	75.3	33.2	32.3
20111027	78.8	36.6	70
20111028	54.9	63.2	58
20111029	99.4	37.3	85.3
20111030	90.1	56.1	67.1
20111031	74.6	58.8	73.7
20111101	71.9	54.8	61.1
20111102	98.4	25.9	40.1
20111103	91	37.6	79.4
20111104	69.3	27	85.8
20111105	68.2	34	37.6
20111106	72.6	41	49
20111107	98.9	69.5	85.4
20111108	99.8	62.5	35.1
20111109	59.3	31	84.7
20111110	54.6	65.2	57.6
20111111	79.2	43.6	76.2
20111112	61.2	42.6	78
20111113	54.7	41.8	41.4
20111114	51.6	75.1	62.2
20111115	82.4	54.6	79.6
20111116	70.7	31.2	75.3
20111117	60.3	38.3	56.6
20111118	50.7	24	63.9
20111119	65.2	25.5	71.1
20111120	70.1	59.4	31.5
20111121	74.9	55.8	47.4
20111122	73.4	27.8	26.9
20111123	69.4	24.7	28.6
20111124	90.3	65.3	35.3
20111125	56.5	27.7	31.6
20111126	57.1	66.2	68.9
20111127	80.2	45.5	30.5
20111128	53.9	23.5	58.2
20111129	81	57.1	66.2
20111130	85	68.4	70.6
20111201	92.9	57.6	42.7
20111202	90.5	55	32.9
20111203	71.3	75.8	84.8
20111204	92.6	53.3	37.4
20111205	60.3	60.6	74.7
20111206	89.3	64.9	50.9
20111207	69.7	59.7	55.9
20111208	73.2	54.5	74.4
20111209	95.8	49.9	88.2
20111210	64.7	22.1	59.3
20111211	79	52.6	40.1
20111212	59.9	39.7	74.9
20111213	59.3	44.4	80.8
20111214	59.9	66.3	67.3
20111215	98	25.7	48.6
20111216	56.3	34.9	61.2
20111217	98.8	26.6	52.4
20111218	62.5	56.3	46.5
20111219	75.8	25.1	60
20111220	93.7	62.9	44.1
20111221	73.2	64.4	81.1
20111222	58.3	27	80.9
20111223	60.1	36.2	33.5
20111224	88.1	46.9	80.4
20111225	82.1	45.6	86.3
20111226	97.5	26.3	81.3
20111227	64.4	75.1	81.1
20111228	71.7	68.3	42.9
20111229	76.9	73.7	28
20111230	99.1	21.6	73.1
20111231	78.8	57.2	50.4
20120101	75.5	49.1	44.2
20120102	78.2	56.9	51.9
20120103	67.2	26	50.2
20120104	50.4	72.8	46.6
20120105	86.9	29.3	53.2
20120106	74.5	77.9	30.6
20120107	95.6	53.9	76
20120108	57.2	79.9	40.4
20120109	57.1	48.5	34.7
20120110	78	77.1	26.7
20120111	85.1	56.3	81
20120112	51	64.4	89.7
20120113	84.1	22.5	61.9
20120114	61	77.1	86.5
20120115	98.2	45.7	37.5
20120116	94.6	36.7	37.3
20120117	95.5	63.8	42.5
20120118	99.5	79.1	44.7
20120119	76.3	20.9	25.4
20120120	67.1	76.1	82.7
20120121	57.2	77.7	67.1
20120122	97.3	22.7	26.1
20120123	95.6	20.6	26.4
20120124	64.3	31.8	50
20120125	81.4	42.1	46.5
20120126	68.1	76.1	47.7
20120127	84.4	37.8	62.6
20120128	66.8	51.4	48.7
20120129	60.4	42.7	36.3
20120130	97	29.7	57.3
20120131	79	62.7	64.8
20120201	53.4	46.5	27.1
20120202	50.5	32.2	45
20120203	60.5	41.3	48.6
20120204	91.8	45.8	84.6
20120205	82.2	44.9	68
20120206	81	64	75.2
20120207	76.4	63.2	26.6
20120208	67.6	50.5	41.2
20120209	66.3	20.6	31.7
20120210	63.1	71.6	37.7
20120211	60.7	22.2	50.6
20120212	52	25.4	72.5
20120213	68.4	70.3	71.8
20120214	74.9	61.2	28.5
20120215	66.3	60.7	61.7
20120216	98	65.9	30
20120217	89.3	67.5	43.1
20120218	95.6	29.6	89.7
20120219	77.7	30.5	48.1
20120220	84.9	55.6	34.1
20120221	75.1	23.4	42.1
20120222	65.2	57.2	71.7
20120223	87	68.7	60.1
20120224	75	37.6	42.2
20120225	68.8	45.1	34.6
20120226	94.8	64.3	85.9
20120227	77.2	65.6	43
20120228	83.6	24.7	87.8
20120229	80.4	40.7	31.9
20120301	51.9	43.6	83.2
20120302	85.4	34.8	39.2
20120303	85.4	60.1	52.3
20120304	51.4	41.6	67.5
20120305	95.3	75.6	87.3
20120306	74.5	35.1	78.3
20120307	85.1	77	42.7
20120308	87.7	32.1	73.1
20120309	86	40.3	74.4
20120310	84.4	34.7	47.2
20120311	74.4	67.9	41.7
20120312	86.9	35.9	76
20120313	98.1	72.4	53.1
20120314	90.9	48.2	27.1
20120315	52.4	53.9	34.7
20120316	84.3	69.6	34.3
20120317	54.5	51.1	49.7
20120318	95.4	34.1	25.9
20120319	83.9	63.4	58
20120320	93.1	53.5	59.3
20120321	63.2	75.4	34.3
20120322	71.4	66.1	48.1
20120323	69.5	30.3	74.6
20120324	63.2	69.8	80.7
20120325	78.5	33.2	77.8
20120326	92.5	25.5	79.1
20120327	54.3	61.7	30.9
20120328	84.3	37.1	28.9
20120329	63.1	34.8	58.6
20120330	66.3	45.8	82.7
20120331	98.9	25.9	66.4
20120401	57.3	32.9	45
20120402	74.1	62.4	55.6
20120403	50.3	60.2	42.8
20120404	87.9	48.8	59.1
20120405	60.8	32.4	37.9
20120406	50.5	62.4	31.3
20120407	74.1	39.8	83
20120408	51.6	31.4	38
20120409	85.5	55.2	49.5
20120410	75.1	33.6	71.2
20120411	93	55.3	46.2
20120412	74.9	75.5	63.3
20120413	62.5	28.5	31.1
20120414	87.1	79.6	42.6
20120415	97.9	70.2	61
20120416	69.4	50	61.9
20120417	61.9	57.7	39.2
20120418	69.1	35.4	70.2
20120419	56.8	35.7	49.1
20120420	82.6	66.3	41.2
20120421	83.5	53.9	36.4
20120422	85.5	79.5	41.3
20120423	63.2	78.6	89.2
20120424	70.3	33.6	63.4
20120425	67.7	69	47
20120426	95	80	57
20120427	64.7	30.7	46
20120428	56.3	63.4	77.8
20120429	50	47.1	47.9
20120430	63.9	45	44.2
20120501	99.4	70.4	57.4
20120502	55.4	74.1	33.9
20120503	84.6	43.8	84.1
20120504	54.1	28.8	52.7
20120505	63.1	46.4	25.6
20120506	83.1	64.9	47.4
20120507	61.2	42.1	54.6
20120508	62.4	61.1	37.8
20120509	82.9	33.9	31.1
20120510	79.3	69.6	66.6
20120511	91.8	55.8	47.5
20120512	83.1	72.3	69.4
20120513	72.2	52.3	77
20120514	68.2	59.4	47.1
20120515	91	69.4	85.8
20120516	72.8	22.3	90
20120517	92.9	55.3	40.1
20120518	82.3	66	82.2
20120519	74.9	25.9	32.8
20120520	89.2	24.7	35.3
20120521	97.7	43.2	57.5
20120522	73.4	74.1	65.9
20120523	54.4	71.2	77.5
20120524	80.3	75.2	88.6
20120525	80.2	27.5	80
20120526	85.8	73.2	27.1
20120527	97.4	65.6	79.7
20120528	99	74.7	61.9
20120529	55.4	56.5	56.1
20120530	68.5	59.2	60.9
20120531	84.6	72.7	80.4
20120601	67.8	56.6	81.8
20120602	97.6	35	63.1
