date	Facebook	Twitter	LinkedIn
20111001	50	77.2	53.7
20111002	71.2	27.5	84.8
20111003	77.1	60.8	69.4
20111004	64.5	47	79.4
20111005	92.9	59.8	56.1
20111006	53.4	56.7	47.2
20111007	69.2	39.7	84.4
20111008	64.4	23.1	27.6
20111009	83.5	45	81.9
20111010	54.8	77.1	75.6
20111011	58.7	58	37.5
20111012	54.5	78.1	78.6
20111013	65.3	38.7	53.1
20111014	88.1	75.1	49.8
20111015	75.1	50.3	71.9
20111016	73.1	78	81.3
20111017	68.5	33.8	37
20111018	52.1	29	70.8
20111019	58.7	66.6	79.5
20111020	78.9	36.5	64.5
20111021	61.1	37.3	27.8
20111022	92.6	52.4	60.7
20111023	95.4	23	81.8
20111024	73.9	44.8	84
20111025	73.9	31.1	89
20111026	93.6	57.7	59
20111027	88.7	61	78.8
20111028	70.6	38.2	64.5
20111029	76.1	78.2	46.2
20111030	76.3	53.6	74.7
20111031	95.3	47	47.4
20111101	77.6	30.2	61.2
20111102	76.3	62.9	60.9
20111103	78.6	23.5	49.6
20111104	97.5	41.4	59.6
20111105	80	63.9	62.3
20111106	73.4	55.6	39.6
20111107	91.2	76.4	28.3
20111108	88.8	27	29.7
20111109	87.8	29.4	80
20111110	82.9	73.2	53.3
20111111	75.4	59.9	48.7
20111112	97.2	67.5	35.3
20111113	78.5	40.1	43.2
20111114	63.2	42.6	47.7
20111115	87.4	45.2	44.4
20111116	70.8	24.8	73.9
20111117	59.5	74.3	43.1
20111118	67.2	59.8	44.3
20111119	83.3	34.8	52.1
20111120	51.8	67.1	67.5
20111121	73.1	54.9	55.8
20111122	94.2	73.8	86.3
20111123	81.7	61	42.3
20111124	62.5	75.4	82.4
20111125	71.4	36.4	83.2
20111126	66.8	43.9	26.4
20111127	56.8	48.2	53.6
20111128	79	20.4	82.4
20111129	84.7	48.2	29.8
20111130	58.1	63.1	33
20111201	88.5	65.5	80.3
20111202	68.5	78.5	27.9
20111203	59.2	45.5	63.9
20111204	94.3	55.1	29.6
20111205	93.5	43.4	69.9
20111206	63.1	38.2	27.2
20111207	88.1	57.6	64.6
20111208	56.7	36.2	47.5
20111209	63.3	60.7	62.8
20111210	97.1	64.8	54.1
20111211	62.3	22.6	72
20111212	60.3	71.7	30.4
20111213	83.2	34.7	52.1
20111214	81.8	36.3	43.5
20111215	64.6	59.5	84.8
20111216	80.9	77.7	34.1
20111217	58.3	43.3	50.5
20111218	92.7	57.2	71.9
20111219	83.1	67.9	80.4
20111220	59	35.8	72.1
20111221	70.3	48.7	73
20111222	94.7	23.7	71.9
20111223	68.1	64	31.8
20111224	52.7	54.3	30.6
20111225	91.2	74.1	65.6
20111226	80.3	67	86.7
